N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;INTRODUCCION A LA INGENIERIA CIVIL;0;1;2;3;2;Null
2;;I;COMPRENSION Y ARGUMENTACION;0;3;2;5;4;Null
3;;I;PENSAMIENTO RACIONAL Y ETICA;0;2;2;4;3;Null
4;;I;MATEMATICA BASICA;0;3;2;5;4;Null
5;;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;0;2;2;4;3;Null
6;;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
7;;I;ESTADISTICA;0;3;2;5;4;Null
8;;II;INGENIERÍA GRÁFICA Y DESCRIPTIVA;0;2;2;4;3;Null
9;;II;INTRODUCCIÓN A LA GEOTECNIA;0;2;2;4;3;Null
10;;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;Null
11;;II;CÁLCULO DIFERENCIAL;0;3;2;5;4;Null
12;;II;FÍSICA I;0;3;2;5;4;Null
13;;II;ALGEBRA VECTORIAL LINEAL Y MATRICIAL;0;2;2;4;3;Null
14;;II;QUÍMICA APLICADA;0;2;2;4;3;Null
15;;III;MATERIALES DE CONSTRUCCIÓN;0;2;2;4;3;Null
16;;III;ESTÁTICA;0;3;2;5;4;Null
17;;III;MECÁNICA DE SUELOS I;0;3;2;5;4;Null
18;;III;DESARROLLO PERSONAL;0;2;2;4;3;Null
19;;III;FÍSICA II;0;2;2;4;3;Null
20;;III;CÁLCULO INTEGRAL;0;2;2;4;3;Null
21;;III;GEOMETRÍA ANALÍTICA;0;2;2;4;3;Null
22;;IV;TECNOLOGÍA DEL CONCRETO;0;3;2;5;4;Null
23;;IV;RESISTENCIA DE MATERIALES I;0;3;2;5;4;Null
24;;IV;MECÁNICA DE SUELOS II;0;3;2;5;4;Null
25;;IV;MECÁNICA DE FLUIDOS I;0;3;2;5;4;Null
26;;IV;TOPOGRAFÍA I;0;4;2;6;5;Null
27;;IV;ECUACIONES DIFERENCIALES ORDINARIAS;0;2;2;4;3;Null
28;;V;CONSTRUCCIONES I;0;3;2;5;4;Null
29;;V;RESISTENCIA DE MATERIALES II;0;3;2;5;4;Null
30;;V;MECÁNICA DE ROCAS;0;2;2;4;3;Null
31;;V;MECÁNICA DE FLUIDOS II;0;3;2;5;4;Null
32;;V;TOPOGRAFÍA II;0;3;4;7;5;Null
33;;V;MÉTODOS NUMÉRICOS;0;2;2;4;3;Null
34;;VI;DISEÑO ARQUITECTÓNICO;0;3;2;5;4;Null
35;;VI;CONSTRUCCIONES II;0;2;2;4;3;Null
36;;VI;ANÁLISIS ESTRUCTURAL I;0;4;2;6;5;Null
37;;VI;HIDROLOGÍA;0;3;2;5;4;Null
38;;VI;CAMINOS I;0;4;2;6;5;Null
39;;VI;INGLÉS;0;2;2;4;3;Null
40;;VII;PROGRAMACIÓN DIGITAL;0;2;2;4;3;Null
41;;VII;COSTOS Y PRESUPUESTOS;0;3;2;5;4;Null
42;;VII;CONCRETO ARMADO I;0;4;2;6;5;Null
43;;VII;GEOTECNIA APLICADA;0;2;2;4;3;Null
44;;VII;ABASTECIMIENTO DE AGUA Y ALCANTARILLADO;0;4;2;6;5;Null
45;;VII;CAMINOS II;0;3;2;5;4;Null
46;;VIII;TECNOLOGÍA DEL ASFALTO;0;2;2;4;3;Null
47;;VIII;PROGRAMACIÓN Y CONTROL DE OBRAS;0;2;2;4;3;Null
48;;VIII;GESTIÓN Y ADMINISTRACIÓN EN LA CONSTRUCCIÓN;0;2;2;4;3;Null
49;;VIII;PUENTES Y OBRAS DE ARTE;0;3;2;5;4;Null
50;;VIII;INGENIERÍA DE CIMENTACIONES;0;3;2;5;4;Null
51;;VIII;IRRIGACIONES;0;2;2;4;3;Null
52;;VIII;GESTIÓN AMBIENTAL;0;2;2;4;3;Null
53;;IX;TALLER EN PROYECTOS DE EDIFICACIÓN;0;3;2;5;4;Null
54;;IX;PROYECTOS DE INVERSIÓN;0;2;2;4;3;Null
55;;IX;ADMINISTRACIÓN DE CONTRATOS EN OBRAS PÚBLICAS;0;2;2;4;3;Null
56;;IX;SEGURIDAD SALUD Y CALIDAD EN OBRA;0;2;2;4;3;Null
57;;IX;INGENIERÍA SISMO RESISTENTE;0;2;2;4;3;Null
58;;IX;ANÁLISIS ESTRUCTURAL II;0;2;2;4;3;Null
59;;IX;DISEÑO EN ACERO;0;2;2;4;3;Null
60;;IX;CONCRETO ARMADO II;0;2;2;4;3;Null
61;;IX;INSTALACIÓN EN EDIFICACIONES;0;2;2;4;3;Null
62;;IX;DISEÑO DE PAVIMENTOS;0;3;2;5;4;Null
63;;IX;METODOLOGÍA DE LA INVESTIGACIÓN;0;2;2;4;3;Null
64;;X;LEGISLACIÓN EN LA CONSTRUCCIÓN;0;2;2;4;3;Null
65;;X;ESTABILIDAD DE TALUDES Y GEOSINTÉTICOS;0;2;2;4;3;Null
66;;X;FUNDAMENTOS DEL DISEÑO DE TÚNELES;0;2;2;4;3;Null
67;;X;PRESAS DE TIERRA;0;2;2;4;3;Null
68;;X;TALLER EN PROYECTOS DE HIDRÁULICA;0;2;2;4;3;Null
69;;X;ESTRUCTURAS HIDRÁULICAS;0;2;2;4;3;Null
70;;X;HIDRÁULICA FLUVIAL;0;2;2;4;3;Null
71;;X;PLANTAS DE TRATAMIENTO DE AGUAS;0;2;2;4;3;Null
72;;X;TALLER EN PROYECTOS DE TRANSPORTE;0;2;2;4;3;Null
73;;X;INGENIERÍA DE TRANSPORTE;0;2;2;4;3;Null
74;;X;SEÑALIZACIÓN Y SEGURIDAD VIAL;0;2;2;4;3;Null
75;;X;MANTENIMIENTO DE CARRETERAS;0;2;2;4;3;Null
76;;X;TRABAJO DE INVESTIGACIÓN;0;2;2;4;3;Null
77;;X;PRÁCTICA PRE PROFESIONAL;0;0;2;2;1;Null
