N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;0;2;2;4;3;Null
3;;I;PENSAMIENTO RACIONAL Y ETICA;0;2;2;4;3;Null
4;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;ESTADISTICA;0;3;2;5;4;Null
7;;I;FUNDAMENTOS DE MICROECONOMIA;0;2;2;4;3;Null
8;;II;PRODUCCION DE TEXTOS ACADÉMICOS;0;2;2;4;3;Null
9;;II;DESARROLLO PERSONAL;0;2;2;4;3;Null
10;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
11;;II;ECONOMÍA MATEMÁTICA I;0;2;4;6;4;Null
12;;II;ESTADÍSTICA INFERENCIAL;0;4;2;6;5;Null
13;;II;FUNDAMENTOS DE MACROECONOMÍA;0;4;2;6;5;Null
14;;III;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null
15;;III;EPISTEMOLOGÍA;0;2;2;4;3;Null
16;;III;ECONOMÍA MATEMÁTICA II;0;2;4;6;4;Null
17;;III;MICROECONOMÍA I;0;4;2;6;5;Null
18;;III;MACROECONOMÍA I;0;4;2;6;5;Null
19;;III;ECONOMETRÍA I;0;2;4;6;4;Null
20;;IV;TALLER DE ARTE Y CREATIVIDAD;0;2;2;4;3;Null
21;;IV;INGLÉS TÉCNICO;0;1;2;3;2;Null
22;;IV;ECONOMETRÍA II;0;2;4;6;4;Null
23;;IV;ECONOMÍA MATEMÁTICA III;0;2;4;6;4;Null
24;;IV;MICROECONOMÍA II;0;4;2;6;5;Null
25;;IV;MACROECONOMÍA II;0;4;2;6;5;Null
26;;V;INVESTIGACIÓN DE MERCADOS Y MARKETING;0;2;2;4;3;Null
27;;V;ECONOMETRÍA III;0;2;4;6;4;Null
28;;V;INGENIERÍA ECONÓMICA;0;2;4;6;4;Null
29;;V;MICROECONOMÍA III;0;4;2;6;5;Null
30;;V;MACROECONOMÍA III;0;4;2;6;5;Null
31;;V;CONTABILIDAD GERENCIAL;0;2;2;4;3;Null
32;;VI;INVESTIGACIÓN OPERATIVA;0;4;2;6;5;Null
33;;VI;ECONOMÍA MONETARIA Y BANCARIA;0;2;2;4;3;Null
34;;VI;ADMINISTRACIÓN GENERAL;0;2;2;4;3;Null
35;;VI;COSTOS Y PRESUPUESTO;0;4;2;6;5;Null
36;;VI;INFORMÁTICA EMPRESARIAL;0;2;4;6;4;Null
37;;VI;ECONOMÍA Y POBLACIÓN;0;2;2;4;3;Null
38;;VII;DESARROLLO ECONÓMICO Y SOCIAL;0;4;2;6;5;Null
39;;VII;ECONOMÍA REGIONAL Y URBANA;0;4;2;6;5;Null
40;;VII;FORMULACIÓN DE PROYECTOS DE INVERSIÓN;0;2;4;6;4;Null
41;;VII;FINANZAS CORPORATIVAS;0;2;4;6;4;Null
42;;VII;ECONOMÍA AGRARIA;0;2;2;4;3;Null
43;;VII;DESARROLLO TERRITORIAL CON SISTEMA DE INFORMACIÓN GEOGRÁFICA;0;2;2;4;3;Null
44;;VII;ECONOMETRÍA FINANCIERA;0;2;2;4;3;Null
45;;VII;TECNOLOGÍA DE INFORMACIÓN Y COMUNICACIÓN PARA LA INVESTIGACION ECONÓMICA;0;2;2;4;3;Null
46;;VIII;ECONOMÍA INTERNACIONAL;0;2;2;4;3;Null
47;;VIII;CIENCIA POLITICA;0;2;2;4;3;Null
48;;VIII;METODOLOGÍA DE LA INVESTIGACIÓN;0;4;2;6;5;Null
49;;VIII;EVALUACIÓN PRIVADA DE PROYECTOS;0;2;4;6;4;Null
50;;VIII;ECONOMÍA AMBIENTAL;0;4;2;6;5;Null
51;;VIII;TALLER DE GESTION DE SISTEMAS ADMINISTRATIVOS;0;2;2;4;3;Null
52;;VIII;EVALUACIÓN DE IMPACTO AMBIENTAL;0;2;2;4;3;Null
53;;VIII;MICROFINANZAS;0;2;2;4;3;Null
54;;VIII;TALLER DE PLANES DE NEGOCIOS;0;2;2;4;3;Null
55;;IX;TALLER DE INVESTIGACIÓN;0;2;4;6;4;Null
56;;IX;DISEÑO Y EVALUACION DE POLITICAS PÚBLICAS;0;4;2;6;5;Null
57;;IX;EVALUACIÓN SOCIAL DE PROYECTOS;0;2;4;6;4;Null
58;;IX;PLANIFICACIÓN ESTRATÉGICA;0;4;2;6;5;Null
59;;IX;GERENCIA DE PROYECTOS;0;2;2;4;3;Null
60;;IX;TALLER DE PROYECTOS DE INVERSIÓN;0;2;2;4;3;Null
61;;IX;TALLER DE PROYECTOS EDUCATIVOS Y SOCIALES;0;2;2;4;3;Null
62;;IX;PROGRAMACION MULTIANUAL DE INVERSION;0;2;2;4;3;Null
63;;IX;NEGOCIOS INTERNACIONALES;0;2;2;4;3;Null
64;;X;PRACTICAS PRE PROFESIONALES;0;2;20;22;12;Null
65;;X;TRABAJO DE INVESTIGACIÓN;0;1;2;3;2;Null
