N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;QUIMICA GENERAL;0;3;2;5;4;Null
2;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
3;;I;FÍSICA I;0;3;2;5;4;Null
4;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
5;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
6;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
7;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
8;;II;FÍSICOQUÍMICA;0;3;2;5;4;Null
9;;II;CÁLCULO DIFERENCIAL;0;3;2;5;4;Null
10;;II;FÍSICA II;0;3;2;5;4;Null
11;;II;GEOLOGÍA GENERAL;0;3;2;5;4;Null
12;;II;GEOMETRÍA DESCRIPTIVA Y DIBUJO GEOLÓGICO COMPUTARIZADO;0;2;2;4;3;Null
13;;II;EPISTEMOLOGÍA;0;2;2;4;3;Null
14;;III;CRISTALOGRAFÍA Y MINERALOGÍA;0;3;2;5;4;Null
15;;III;CÁLCULO INTEGRAL;0;3;2;5;4;Null
16;;III;ESTÁTICA;0;2;2;4;3;Null
17;;III;SEDIMENTOLOGÍA Y ESTRATIGRAFÍA;0;3;2;5;4;Null
18;;III;GEOESTADÍSTICA;0;2;2;4;3;Null
19;;III;INGLÉS TÉCNICO;0;2;2;4;3;Null
20;;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
21;;IV;RESISTENCIA DE GEOMATERIALES;0;3;2;5;4;Null
22;;IV;ECUACIONES DIFERENCIALES;0;3;2;5;4;Null
23;;IV;GEOMORFOLOGÍA;0;3;2;5;4;Null
24;;IV;PALEONTOLOGÍA GENERAL;0;3;2;5;4;Null
25;;IV;PETROLOGÍA IGNEA;0;3;2;5;4;Null
26;;IV;TOPOGRAFÍA GEOLÓGICA I;0;3;2;5;4;Null
27;;V;HIDROGEOLOGÍA;0;3;2;5;4;Null
28;;V;MINERALOGÍA ÓPTICA;0;3;2;5;4;Null
29;;V;GEOLOGÍA HISTÓRICA Y DEL PERÚ;0;3;2;5;4;Null
30;;V;PETROLOGÍA SEDIMENTARIA Y METAMÓRFICA;0;3;2;5;4;Null
31;;V;GEOLOGÍA ESTRUCTURAL I;0;3;2;5;4;Null
32;;V;TOPOGRAFÍA GEOLÓGICA II;0;3;2;5;4;Null
33;;VI;GEOLOGÍA DE RECURSOS ENERGÉTICOS;0;3;2;5;4;Null
34;;VI;GEOQUÍMICA;0;3;2;5;4;Null
35;;VI;GEOMECÁNICA DE SUELOS;0;3;2;5;4;Null
36;;VI;TELEDETECCIÓN GEOLÓGICA;0;3;2;5;4;Null
37;;VI;GEOTECTÓNICA;0;3;2;5;4;Null
38;;VI;EVALUACIÓN DE IMPACTO AMBIENTAL;0;2;2;4;3;Null
39;;VI;GEOFÍSICA;0;2;2;4;3;Null
40;;VII;GEOLOGÍA DE YACIMIENTOS NO METÁLICOS;0;3;2;5;4;Null
41;;VII;ALTERACIONES HIDROTERMALES;0;2;2;4;3;Null
42;;VII;GEOMECÁNICA DE ROCAS;0;3;2;5;4;Null
43;;VII;PETROGRAFÍA;0;2;2;4;3;Null
44;;VII;SEGURIDAD Y SALUD EN EL TRABAJO;0;3;2;5;4;Null
45;;VII;GEOLOGÍA AMBIENTAL;0;2;2;4;3;Null
46;;VII;GEOLOGÍA ESTRUCTURAL II;0;2;2;4;3;Null
47;;VII;VULCANOLOGIA;0;2;2;4;3;Null
48;;VIII;GEOLOGÍA DE YACIMIENTOS MINERALES METÁLICOS;0;3;2;5;4;Null
49;;VIII;GEOMETALÚRGIA;0;2;2;4;3;Null
50;;VIII;GEOMATERIALES PARA LA CONSTRUCCIÓN;0;2;2;4;3;Null
51;;VIII;CARACTERIZACIÓN GEOTÉCNICA;0;2;2;4;3;Null
52;;VIII;GEOLOGÍA DE CAMPO I;0;2;2;4;3;Null
53;;VIII;GESTIÓN DE PROYECTOS GEOLÓGICOS;0;3;2;5;4;Null
54;;VIII;SEGURIDAD EN OBRAS CIVILES;0;2;2;4;3;Null
55;;VIII;GEOESTADISTICA APLICADA;0;2;2;4;3;Null
56;;IX;PROSPECCIÓN GEOQUÍMICA;0;2;2;4;3;Null
57;;IX;MODELAMIENTO GEOLÓGICO;0;2;2;4;3;Null
58;;IX;GEOLOGÍA DE CAMPO II;0;2;2;4;3;Null
59;;IX;GEOLOGÍA DE MINAS;0;3;2;5;4;Null
60;;IX;GEOTECNIA I;0;3;2;5;4;Null
61;;IX;INVESTIGACIÓN GEOLÓGICA;0;2;2;4;3;Null
62;;IX;PROSPECCIÓN GEOFÍSICA;0;2;2;4;3;Null
63;;IX;GEOLOGÍA DEL PETRÓLEO;0;2;2;4;3;Null
64;;X;METALOGÉNESIS;0;2;2;4;3;Null
65;;X;PERFORACIONES Y LOGUEO;0;2;2;4;3;Null
66;;X;GEOTECNIA II;0;3;2;5;4;Null
67;;X;RIESGO GEOLÓGICO;0;3;2;5;4;Null
68;;X;SISTEMAS INTEGRADOS DE GESTIÓN;0;2;2;4;3;Null
69;;X;PRÁCTICAS PREPROFESIONALES;0;2;2;4;3;Null
70;;X;EXPLOTACIÓN DE MINAS;0;2;2;4;3;Null
71;;X;PATRIMONIO GEOLÓGICO Y GEOTURISMO;0;2;2;4;3;Null
72;;X;TRABAJO DE INVESTIGACIÓN;0;1;2;3;2;Null
