N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;CALCULO DIFERENCIAL;0;3;2;5;4;Null
7;;I;DIBUJO ELECTROMECÁNICO;0;1;2;3;2;Null
8;;II;ESTADÍSTICA;0;3;2;5;4;Null
9;;II;FÍSICA I;0;3;2;5;4;Null
10;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null
11;;II;CALCULO INTEGRAL;0;3;2;5;4;Null
12;;II;GEOMETRÍA DESCRIPTIVA;0;2;2;4;3;Null
13;;II;INGLES TÉCNICO;0;1;2;3;2;Null
14;;II;CIENCIA E INGENIERÍA DE LOS MATERIALES;0;2;2;4;3;Null
15;;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
16;;III;FÍSICA II;0;3;2;5;4;Null
17;;III;CALCULO VECTORIAL;0;3;2;5;4;Null
18;;III;ESTÁTICA;0;3;2;5;4;Null
19;;III;MÁQUINAS HERRAMIENTAS;0;3;2;5;4;Null
20;;III;DISEÑO MECÁNICO;0;1;2;3;2;Null
21;;III;DISEÑO ELÉCTRICO;0;1;2;3;2;Null
22;;IV;PROGRAMACIÓN ELECTROMECÁNICA;0;2;2;4;3;Null
23;;IV;ELECTRICIDAD Y ELECTROMAGNETISMO;0;3;2;5;4;Null
24;;IV;ECUACIONES DIFERENCIALES;0;2;2;4;3;Null
25;;IV;SEGURIDAD Y SALUD INDUSTRIAL;0;1;2;3;2;Null
26;;IV;DINÁMICA;0;3;2;5;4;Null
27;;IV;RESISTENCIA DE MATERIALES;0;3;2;5;4;Null
28;;IV;TERMODINÁMICA I;0;3;2;5;4;Null
29;;V;MÉTODOS NUMÉRICOS;0;2;2;4;3;Null
30;;V;LABORATORIO DE INGENIERÍA MECÁNICA I;0;0;2;2;1;Null
31;;V;DISEÑO DE ELEMENTOS DE MÁQUINAS I;0;3;2;5;4;Null
32;;V;ANÁLISIS DE CIRCUITOS ELÉCTRICOS I;0;3;2;5;4;Null
33;;V;NEUMÁTICA E HIDRÁULICA;0;2;2;4;3;Null
34;;V;TERMODINÁMICA II;0;3;2;5;4;Null
35;;V;MECÁNICA DE FLUIDOS;0;3;2;5;4;Null
36;;VI;COSTOS Y PRESUPUESTOS;0;2;2;4;3;Null
37;;VI;LABORATORIO DE CIRCUITOS ELÉCTRICOS I;0;0;2;2;1;Null
38;;VI;CONTROL DE PROCESOS I;0;3;2;5;4;Null
39;;VI;DISEÑO DE ELEMENTOS DE MÁQUINAS II;0;3;2;5;4;Null
40;;VI;CIRCUITOS ELECTRÓNICOS Y DIGITALES;0;2;2;4;3;Null
41;;VI;ANÁLISIS DE CIRCUITOS ELÉCTRICOS II;0;3;2;5;4;Null
42;;VI;DINÁMICA DE GASES;0;3;2;5;4;Null
43;;VII;LABORATORIO DE CIRCUITOS ELÉCTRICOS II;0;0;2;2;1;Null
44;;VII;LABORATORIO DE INGENIERÍA MECÁNICA II;0;0;2;2;1;Null
45;;VII;CONTROL DE PROCESOS II;0;3;2;5;4;Null
46;;VII;TRANSFERENCIA DE CALOR;0;3;2;5;4;Null
47;;VII;TEORÍA DE MÁQUINAS Y MECANISMOS;0;1;2;3;2;Null
48;;VII;MÁQUINAS ELÉCTRICAS I;0;3;2;5;4;Null
49;;VII;MEDIDAS ELÉCTRICAS;0;2;2;4;3;Null
50;;VII;MÁQUINAS TÉRMICAS I;0;2;2;4;3;Null
51;;VIII;LABORATORIO DE MÁQUINAS ELÉCTRICAS I;0;0;2;2;1;Null
52;;VIII;LABORATORIO DE MEDIDAS ELÉCTRICAS;0;0;2;2;1;Null
53;;VIII;LABORATORIO DE INGENIERÍA MECÁNICA III;0;0;2;2;1;Null
54;;VIII;LABORATORIO DE CONTROL Y PROCESOS;0;0;2;2;1;Null
55;;VIII;TURBOMÁQUINAS;0;3;2;5;4;Null
56;;VIII;ELECTRÓNICA DE POTENCIA;0;2;2;4;3;Null
57;;VIII;INSTALACIONES ELÉCTRICAS I;0;2;2;4;3;Null
58;;VIII;MÁQUINAS TÉRMICAS II;0;2;2;4;3;Null
59;;VIII;MÁQUINAS ELÉCTRICAS II;0;3;2;5;4;Null
60;;IX;LABORATORIO DE MÁQUINAS ELÉCTRICAS II;0;0;2;2;1;Null
61;;IX;METODOLOGÍA DE LA INVESTIGACIÓN;0;2;2;4;3;Null
62;;IX;INGENIERÍA DE MANTENIMIENTO;0;1;2;3;2;Null
63;;IX;ANÁLISIS DE SISTEMAS DE POTENCIA;0;3;2;5;4;Null
64;;IX;INSTALACIONES ELÉCTRICAS II;0;2;2;4;3;Null
65;;IX;CENTRALES HIDROELÉCTRICAS;0;2;2;4;3;Null
66;;IX;CENTRALES TERMOELÉCTRICAS;0;2;2;4;3;Null
67;;IX;SISTEMAS DE REFRIGERACIÓN Y CALEFACCIÓN;0;2;2;4;3;Null
68;;X;GESTIÓN DE CENTRALES ELÉCTRICAS;0;2;2;4;3;Null
69;;X;PROYECTOS DE INGENIERÍA;0;2;2;4;3;Null
70;;X;VALUACIÓN Y TARIFACIÓN;0;2;2;4;3;Null
71;;X;INGENIERÍA DE LA ILUMINACIÓN;0;2;2;4;3;Null
