N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSION Y ARGUMENTACION;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ETICA;0;2;2;4;3;Null
3;;I;MATEMATICA BASICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;GEOHISTORIA REGIONAL;0;2;2;4;3;Null
7;;I;INTRODUCCION A LA INGENIERIA METALURGICA Y SU REALIDAD NACIONAL;0;2;2;4;3;Null
8;;II;ESTADISTICA;0;3;2;5;4;Null
9;;II;CALCULO DIFERENCIAL;0;3;2;5;4;Null
10;;II;FISICA I;0;3;2;5;4;Null
11;;II;PRODUCCION DE TEXTOS ACADEMICOS;0;2;2;4;3;Null
12;;II;QUIMICA DE LOS MINERALES Y METALES;0;2;4;6;4;Null
13;;II;ORGANOMETALURGIA;0;3;2;5;4;Null
14;;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
15;;III;CALCULO II;0;3;2;5;4;Null
16;;III;FISICA II;0;3;2;5;4;Null
17;;III;FISICOQUIMICA DE PROCESOS METALURGICOS;0;3;2;5;4;Null
18;;III;ELECTROMECANICA METALURGICA;0;1;2;3;2;Null
19;;III;ANALISIS DE MINERALES Y METALES I;0;3;2;5;4;Null
20;;III;MINERIA GENERAL;0;3;0;3;3;Null
21;;IV;CALCULO III;0;3;2;5;4;Null
22;;IV;DIBUJO DE INGENIERIA;0;1;4;5;3;Null
23;;IV;DISEÑOS EXPERIMENTALES;0;3;2;5;4;Null
24;;IV;GEOMETALURGIA;0;3;2;5;4;Null
25;;IV;ANALISIS DE MINERALES Y METALES II;0;3;2;5;4;Null
26;;IV;METALURGIA FISICA;0;3;2;5;4;Null
27;;V;ANALISIS METALURGICO INSTRUMENTAL;0;3;2;5;4;Null
28;;V;MECANICA DE FLUIDOS;0;4;2;6;5;Null
29;;V;TERMODINAMICA Y CINETICA METALURGICA;0;3;2;5;4;Null
30;;V;SEGURIDAD INDUSTRIAL Y MEDIO AMBIENTE;0;2;2;4;3;Null
31;;V;SOLIDIFICACION DE METALES Y ALEACIONES;0;3;2;5;4;Null
32;;V;MINERALURGIA;0;3;2;5;4;Null
33;;VI;TRANSFERENCIA DE MASA Y CALOR;0;4;2;6;5;Null
34;;VI;METALURGIA DE LITIO Y URANIO;0;2;2;4;3;Null
35;;VI;CIENCIA E INGENIERIA DE LOS MATERIALES;0;2;2;4;4;Null
36;;VI;METALURGIA MECANICA;0;3;2;5;4;Null
37;;VI;HIDROMETALURGIA;0;3;2;5;4;Null
38;;VI;METALURGIA DEL ORO Y PLATA I;0;3;2;5;4;Null
39;;VI;CONCENTRACION DE MINERALES I;0;3;2;5;4;Null
40;;VII;ENSAYOS NO DESTRUCTIVOS;0;3;2;5;4;Null
41;;VII;PIROMETALURGIA;0;3;2;5;4;Null
42;;VII;METALURGIA DEL ORO Y PLATA II;0;3;2;5;4;Null
43;;VII;CONCENTRACION DE MINERALES II;0;3;2;5;4;Null
44;;VII;TECNOLOGIA Y METALURGIA DE LA SOLDADURA;0;3;2;5;4;Null
45;;VII;CONFORMADO DE METALES POR DEFORMACION PLASTICA;0;3;2;5;4;Null
46;;VIII;METODOLOGIA DE INVESTIGACION;0;3;2;5;4;Null
47;;VIII;OPERACIONES Y PROCESOS AUXILIARES EN PLANTAS CONCENTRADORAS;0;3;2;5;4;Null
48;;VIII;ELECTROMETALURGIA;0;3;2;5;4;Null
49;;VIII;SIDERURGIA;0;3;2;5;4;Null
50;;VIII;FUNDICION Y MOLDEO NO FERROSA;0;2;4;6;4;Null
51;;VIII;INGLES TECNICO;0;2;2;4;3;Null
52;;IX;MODELAMIENTO Y SIMULACION DE PROCESOS METALURGICOS;0;3;2;5;4;Null
53;;IX;REFINACION DEL ORO Y PLATA;0;3;2;5;4;Null
54;;IX;FUNDICION Y MOLDEO FERROSA;0;3;2;5;4;Null
55;;IX;MECANIZADO DE METALES;0;2;4;6;4;Null
56;;IX;TRATAMIENTOS TERMICOS;0;2;2;4;3;Null
57;;IX;LABORATORIO METALURGICO;0;1;4;5;3;Null
58;;IX;TOPICOS MODERNOS DE SOLDADURAS ESPECIALES;0;1;4;5;3;Null
59;;X;EMPRENDIMIENTO Y GESTION DE LA PRODUCCION METALURGICA;0;3;0;3;3;Null
60;;X;TRABAJO DE INVESTIGACIÓN;0;3;0;3;3;Null
61;;X;PRÁCTICAS PRE - PROFESIONALES;0;1;2;3;2;Null
62;;X;JOYERIA;0;1;4;5;3;Null
63;;X;CORROSION Y RECUBRIMIENTOS ELECTROLITICOS;0;3;2;5;4;Null
64;;X;PROCESOS DE METALURGIA DEL ORO Y LA PLATA;0;1;4;5;3;Null
64;;X;FUNDICION Y MOLDEO;0;1;4;5;3;Null
64;;X;CONSTRUCCION DE EQUIPO Y MAQUINARIA METALURGICA;0;2;4;6;4;Null
64;;X;TOPICOS MODERNOS DE HIDROMETALURGIA;0;2;4;6;4;Null
