N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;ANATOMÍA I;0;3;4;7;5;Null
7;;II;ANATOMÍA II;0;3;4;7;5;Null
8;;II;ESTADÍSTICA;0;3;2;5;4;Null
9;;II;BIOLOGÍA CELULAR Y MOLECULAR;0;3;2;5;4;Null
10;;II;BIOFÍSICA;0;2;2;4;3;Null
11;;II;QUÍMICA GENERAL;0;3;2;5;4;Null
12;;II;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;0;2;2;4;3;Null
13;;III;FISIOLOGÍA I;0;4;4;8;6;Null
14;;III;HISTOLOGÍA HUMANA;0;4;4;8;6;Null
15;;III;BIOQUÍMICA;0;4;4;8;6;Null
16;;III;EMBRIOLOGÍA Y GENÉTICA;0;2;2;4;3;Null
17;;III;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;Null
18;;IV;FISIOLOGÍA II;0;4;4;8;6;Null
19;;IV;MICROBIOLOGÍA;0;3;4;7;5;Null
20;;IV;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null
21;;IV;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
22;;IV;INGLES TÉCNICO;0;2;2;4;3;Null
23;;IV;PARASITOLOGÍA;0;3;2;5;4;Null
24;;V;FISIOPATOLOGÍA;0;5;2;7;6;Null
25;;V;FARMACOLOGÍA;0;6;4;10;8;Null
26;;V;PRIMEROS AUXILIOS Y BIOSEGURIDAD;0;2;4;6;4;Null
27;;V;PSICOLOGÍA;0;2;2;4;3;Null
28;;V;INMUNOLOGÍA BÁSICA;0;2;2;4;3;Null
29;;VI;SEMIOLOGÍA;0;5;10;15;10;Null
30;;VI;PATOLOGÍA GENERAL;0;3;2;5;4;Null
31;;VI;LABORATORIO CLÍNICO;0;2;2;4;3;Null
32;;VI;METODOLOGÍA DE LA INVESTIGACIÓN;0;2;2;4;3;Null
33;;VI;PSICOPATOLOGÍA MÉDICA;0;3;2;5;4;Null
34;;VII;CLÍNICA MÉDICA I;0;10;10;20;15;Null
36;;VII;DIAGNÓSTICO POR IMÁGENES;0;3;2;5;4;Null
37;;VII;SALUD PUBLICA I;0;3;4;7;5;Null
38;;VIII;CLÍNICA MÉDICA II;0;10;10;20;15;Null
40;;VIII;PATOLOGÍA ESPECIAL;0;3;2;5;4;Null
41;;VIII;EPIDEMIOLOGÍA;0;3;2;5;4;Null
42;;IX;CLÍNICA QUIRÚRGICA I;0;10;10;20;15;Null
44;;IX;NUTRICIÓN Y DIETOTERAPIA;0;2;2;4;3;Null
45;;IX;ÉTICA Y DEONTOLOGÍA MÉDICA;0;2;2;4;3;Null
46;;IX;TESIS;0;2;2;4;3;Null
47;;X;CLÍNICA QUIRÚRGICA II;0;10;10;20;15;Null
49;;X;PSIQUIATRÍA;0;3;2;5;4;Null
50;;X;SALUD PUBLICA II;0;3;2;5;4;Null
51;;XI;CLÍNICA GINECOLÓGICA Y OBSTÉTRICA I;0;4;8;12;8;Null
52;;XI;CLÍNICA PEDIÁTRICA I;0;4;8;12;8;Null
53;;XI;EMERGENCIAS Y URGENCIAS MEDICA;0;3;4;7;5;Null
54;;XI;TRABAJO DE INVESTIGACIÓN;0;2;2;4;3;Null
55;;XII;CLÍNICA GINECOLÓGICA Y OBSTÉTRICA II;0;4;8;12;8;Null
56;;XII;CLÍNICA PEDIÁTRICA II;0;4;8;12;8;Null
57;;XII;MEDICINA LEGAL Y PATOLOGÍA FORENSE;0;3;2;5;4;Null
58;;XII;SALUD PÚBLICA III;0;3;2;5;4;Null
58;;XIII;ROTACIÓN DE MEDICINA;0;0;20;20;10;Null
58;;XIII;ROTACIÓN DE CIRUGÍA;0;0;20;20;10;Null
58;;XIV;ROTACIÓN DE PEDIATRÍA;0;0;20;20;10;Null
58;;XIV;ROTACIÓN DE GINECOLOGÍA Y OBSTETRICIA;0;0;20;20;10;Null
