N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;INGLÉS TÉCNICO;0;1;2;3;2;Null
7;;I;FUNDAMENTOS DE ALIMENTACIÓN Y NUTRICIÓN;0;3;2;5;4;Null
8;;II;EPISTEMOLOGÍA;0;2;2;4;3;Null
9;;II;QUÍMICA GENERAL;0;3;2;5;4;Null
10;;II;ESTADÍSTICA;0;3;2;5;4;Null
11;;II;BIOLOGÍA GENERAL;0;3;2;5;4;Null
12;;II;BIOQUÍMICA;0;4;2;6;5;Null
13;;II;ANATOMÍA HUMANA;0;3;2;5;4;Null
14;;III;BIOQUÍMICA NUTRICIONAL I;0;3;2;5;4;Null
15;;III;FISIOLOGÍA DE LA NUTRICIÓN I;0;3;2;5;4;Null
16;;III;PARASITOLOGÍA;0;2;2;4;3;Null
17;;III;LABORATORIO DE TÉCNICA DIETÉTICA;0;3;2;5;4;Null
18;;III;MICROBIOLOGÍA GENERAL Y DE LOS ALIMENTOS;0;3;2;5;4;Null
19;;III;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;0;4;2;6;5;Null
20;;IV;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null
21;;IV;BIOQUÍMICA NUTRICIONAL II;0;3;2;5;4;Null
22;;IV;FISIOLOGÍA DE LA NUTRICIÓN II;0;3;2;5;4;Null
23;;IV;NUTRICIÓN Y MACRONUTRIENTES;0;4;2;6;5;Null
24;;IV;POLÍTICAS PÚBLICAS Y PROGRAMAS ALIMENTARIO NUTRICIONALES;0;3;2;5;4;Null
25;;IV;BIOESTADÍSTICA APLICADA;0;3;2;5;4;Null
26;;V;SEMIOLOGÍA Y FISIOPATOLOGÍA DE LA NUTRICIÓN;0;3;2;5;4;Null
27;;V;NUTRICIÓN EN EL CRECIMIENTO Y DESARROLLO;0;3;2;5;4;Null
28;;V;LABORATORIO DE BIOQUÍMICA Y ANÁLISIS DE LOS ALIMENTOS;0;3;2;5;4;Null
29;;V;SISTEMAS Y SOBERANÍA ALIMENTARIA;0;3;2;5;4;Null
30;;V;TALLER DE NUTRICIÓN Y ACTIVIDAD FÍSICA;0;3;2;5;4;Null
31;;V;NUTRICIÓN Y MICRONUTRIENTES;0;3;2;5;4;Null
32;;VI;EVALUACIÓN NUTRICIONAL;0;3;2;5;4;Null
33;;VI;HIGIENE Y CALIDAD DE LOS ALIMENTOS;0;3;2;5;4;Null
34;;VI;TALLER DE TÉCNICAS DE COMUNICACIÓN EN ALIMENTACIÓN Y SALUD;0;3;2;5;4;Null
35;;VI;PLANIFICACIÓN EN PROGRAMAS DE ALIMENTACIÓN, NUTRICIÓN Y SALUD;0;3;2;5;4;Null
36;;VI;EPIDEMIOLOGÍA APLICADA;0;3;2;5;4;Null
37;;VI;GESTIÓN DE LA CALIDAD ALIMENTARIA;0;3;2;5;4;Null
38;;VI;FORMULACIÓN Y EVALUACIÓN PROYECTOS DE INVERSIÓN EN SALUD;0;3;2;5;4;Null
39;;VI;ÉTICA PROFESIONAL;0;3;2;5;4;Null
40;;VII;DIETOTERAPIA DEL ADULTO;0;3;2;5;4;Null
41;;VII;SOPORTE NUTRICIONAL;0;3;2;5;4;Null
42;;VII;TECNOLOGÍA DE LOS ALIMENTOS;0;3;2;5;4;Null
43;;VII;PROMOCIÓN DE LA SALUD;0;3;2;5;4;Null
44;;VII;GESTIÓN DE SERVICIOS DE ALIMENTACIÓN Y NUTRICIÓN;0;3;2;5;4;Null
45;;VII;TALLER DE PROYECTOS DE INVESTIGACIÓN;0;3;2;5;4;Null
46;;VIII;ATENCIÓN EN URGENCIAS Y EMERGENCIAS EN SALUD;0;2;2;4;3;Null
47;;VIII;DIETOTERAPIA DEL NIÑO;0;3;2;5;4;Null
48;;VIII;TALLER DE EVALUACIÓN NUTRICIONAL;0;2;2;4;3;Null
49;;VIII;EDUCACIÓN EN ALIMENTACIÓN, NUTRICIÓN Y SALUD;0;3;2;5;4;Null
50;;VIII;GERENCIA PÚBLICA EN PROGRAMAS Y PROYECTOS DE NUTRICIÓN Y SALUD;0;2;2;4;3;Null
51;;VIII;INFORME Y ARTÍCULO DE INVESTIGACIÓN;0;2;2;4;3;Null
52;;VIII;ALIMENTOS FUNCIONALES Y NUTRACEÚTICOS;0;2;2;4;3;Null
52;;VIII;NUTRICIÓN Y MEDICINA ALTERNATIVA Y COMPLEMENTARIA;0;2;2;4;3;Null
52;;VIII; FARMACOLOGÍA APLICADA A LA NUTRICIÓN;0;2;2;4;3;Null
54;;IX;INTERNADO DE NUTRICIÓN COMUNITARIA Y PROMOCIÓN DE LA SALUD;0;0;48;48;24;Null
53;;X;INTERNADO DE NUTRICIÓN CLÍNICA;0;0;48;48;24;Null
54;;X;TRABAJO DE INVESTIGACIÓN;0;1;2;3;2;Null
