N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;ANATOMIA HUMANA;0;2;4;6;4;Null
7;;I;EMBRIOLOGIA GENERAL Y ESTOMATOLÓGICA;0;2;2;4;3;Null
8;;II;PRODUCCION DE TEXTOS ACADÉMICOS;0;2;2;4;3;Null
9;;II;BIOLOGÍA GENERAL;0;3;2;5;4;Null
10;;II;FÍSICA GENERAL;0;3;2;5;4;Null
11;;II;QUÍMICA GENERAL;0;3;2;5;4;Null
12;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null
13;;II;ANATOMÍA DE CABEZA Y CUELLO;0;2;4;6;4;Null
14;;II;HISTOLOGÍA GENERAL Y ESTOMATOLÓGICA;0;1;2;3;2;Null
15;;III;EPISTEMOLOGÍA;0;2;2;4;3;Null
16;;III;ANATOMÍA DENTAL;0;3;4;7;5;Null
17;;III;FISIOLOGÍA GENERAL Y ESTOMATOLÓGICA;0;2;2;4;3;Null
18;;III;MICROBIOLOGÍA GENERAL Y ESTOMATOLÓGICA;0;2;2;4;3;Null
19;;III;BIOFÍSICA;0;1;2;3;2;Null
20;;III;BIOMATERIALES DENTALES;0;3;4;7;5;Null
21;;III;BIOQUÍMICA;0;2;2;4;3;Null
22;;IV;OCLUSIÓN;0;3;2;5;4;Null
23;;IV;PATOLOGÍA GENERAL;0;2;2;4;3;Null
24;;IV;FARMACOLOGÍA GENERAL;0;2;2;4;3;Null
25;;IV;PATOLOGÍA ESTOMATOLÓGICA;0;3;2;5;4;Null
26;;IV;BIOSEGURIDAD Y ERGONOMÍA;0;3;2;5;4;Null
27;;IV;LABORATORIO CLÍNICO;0;1;2;3;2;Null
28;;IV;IMAGENOLOGÍA ESTOMATOLÓGICA;0;2;4;6;4;Null
29;;V;SEMIOLOGÍA GENERAL Y ESTOMATOLÓGICA;0;4;4;8;6;Null
30;;V;FISIOPATOLOGÍA;0;2;2;4;3;Null
31;;V;PSICOLOGÍA CLÍNICA;0;1;2;3;2;Null
32;;V;FARMACOLOGÍA ESTOMATOLÓGICA;0;3;2;5;4;Null
33;;V;ANESTESIOLOGÍA ESTOMATOLÓGICA;0;2;2;4;3;Null
34;;V;EMERGENCIAS EN ESTOMATOLOGÍA;0;2;2;4;3;Null
35;;V;FISIOPATOLOGÍA DE LA OCLUSIÓN;0;2;2;4;3;Null
36;;VI;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;0;1;2;3;2;Null
37;;VI;GLOBALIZACIÓN Y POLÍTICAS PÚBLICAS EN SALUD;0;1;2;3;2;Null
38;;VI;MEDICINA ESTOMATOLÓGICA;0;2;4;6;4;Null
39;;VI;PERIODONTOLOGÍA E IMPLANTOLOGÍA;0;2;4;6;4;Null
40;;VI;CIRUGÍA BUCAL I;0;2;4;6;4;Null
41;;VI;ODONTOLOGÍA RESTAURADORA;0;2;4;6;4;Null
42;;VI;ENDODONCIA;0;2;4;6;4;Null
43;;VII;SALUD PÚBLICA Y EPIDEMIOLÓGICA;0;2;2;4;3;Null
44;;VII;PRÓTESIS PARCIAL REMOVIBLE;0;2;4;6;4;Null
45;;VII;PRÓTESIS DENTAL FIJA;0;2;4;6;4;Null
46;;VII;CIRUGÍA BUCAL II;0;2;4;6;4;Null
47;;VII;CLÍNICA ADULTO I;0;3;12;15;9;Null
48;;VIII;PROYECTO DE INVESTIGACIÓN;0;2;4;6;4;Null
49;;VIII;PRÓTESIS TOTAL REMOVIBLE;0;2;2;4;3;Null
50;;VIII;ORTODONCIA Y ORTOPEDIA MAXILAR;0;2;2;4;3;Null
51;;VIII;ODONTOPEDIATRÍA;0;2;4;6;4;Null
52;;VIII;ODONTOLOGÍA PREVENTIVA Y COMUNITARIA;0;2;2;4;3;Null
53;;VIII;CLÍNICA ADULTO II;0;2;10;12;7;Null
54;;IX;BIOESTADÍSTICA;0;1;2;3;2;Null
55;;IX;GERENCIA Y GESTIÓN EN SERVICIOS DE SALUD;0;1;2;3;2;Null
56;;IX;INGLÉS TÉCNICO;0;2;2;4;3;Null
57;;IX;GESTIÓN DE PROYECTOS DE INTERVENCIÓN COMUNITARIA;0;2;2;4;3;Null
58;;IX;CLÍNICA ADULTO III;0;2;10;12;7;Null
59;;IX;CLÍNICA DEL NIÑO;0;2;10;12;7;Null
60;;X;INFORME Y ARTÍCULO DE INVESTIGACIÓN CIENTÍFICA;0;2;2;4;3;Null
61;;X;IDIOMA NATIVO QUECHUA;0;2;0;2;2;Null
61;;X;IDIOMA NATIVO AIMARA;0;2;0;2;2;Null
62;;X;ODONTOLOGÍA LEGAL Y FORENSE;0;2;2;4;3;Null
63;;X;EJECUCIÓN DE PROYECTOS DE INTERVENCIÓN COMUNITARIA;0;1;2;3;2;Null
64;;X;CLÍNICA INTEGRAL DEL ADULTO;0;2;10;12;7;Null
65;;X;CLÍNICA INTEGRAL DEL NIÑO;0;2;10;12;7;Null
66;;XI;INTERNADO HOSPITALARIO;0;0;48;48;24;Null
67;;XII;INTERNADO RURAL;0;0;48;48;24;Null
68;;XII;TRABAJO DE INVESTIGACIÓN;0;1;2;3;2;Null
