N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;ADM201;ADMINISTRACIÓN GENERAL;0;2;2;4;3;NINGUNO
2;I;EG101;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;NINGUNO
3;I;EG102;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;NINGUNO
4;I;EG103;MATEMÁTICA BÁSICA;0;3;2;5;4;NINGUNO
5;I;EG104;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
6;I;EG105;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
7;I;EG106;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;NINGUNO
8;II;ADM202;MATEMÁTICA PARA NEGOCIOS;0;3;2;5;4;NINGUNO
9;II;ADM301;TALLER DE LIDERAZGO Y COMUNICACIÓN;0;2;2;4;3;NINGUNO
10;II;EG110;ESTADÍSTICA;0;3;2;5;4;NINGUNO
11;II;EG114;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;NINGUNO
12;II;EG115;DESARROLLO PERSONAL;0;2;2;4;3;NINGUNO
13;II;EG116;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;0;2;2;4;3;NINGUNO
14;II;HUM203;INGLÉS TÉCNICO;0;2;2;4;3;NINGUNO
15;III;ADM204;ECONOMÍA DE LA EMPRESA;0;3;2;5;4;ADM202
16;III;ADM205;FUNDAMENTOS DEL MARKETING;0;3;2;5;4;NINGUNO
17;III;ADM302;DISEÑO ORGANIZACIONAL;0;3;2;5;4;NINGUNO
18;III;ADM303;MATEMÁTICA FINANCIERA;0;3;2;5;4;NINGUNO
19;III;ADM304;TEORÍA DEL ESTADO;0;3;2;5;4;NINGUNO
20;III;EG119;SEGURIDAD Y DEFENSA NACIONAL;0;3;2;5;4;NINGUNO
21;IV;ADM305;GESTIÓN DE TALENTO HUMANO;0;3;2;5;4;NINGUNO
22;IV;ADM306;INVESTIGACIÓN DE MERCADOS;0;3;2;5;4;ADM205
23;IV;ADM307;PLANEAMIENTO Y PRESUPUESTO PÚBLICO;0;3;2;5;4;ADM304
24;IV;ADM308;GESTIÓN DE LA INFORMACIÓN Y TECNOLOGÍAS EMERGENTES;0;3;2;5;4;NINGUNO
25;IV;ADM309;AUDITORÍA OPERATIVA;0;3;2;5;4;NINGUNO
26;IV;ADM310;GESTIÓN DE RIESGO Y TOMA DE DECISIONES;0;3;2;5;4;NINGUNO
27;V;ADM206;DERECHO LABORAL;0;2;2;4;3;NINGUNO
28;V;ADM311;COMPORTAMIENTO ORGANIZACIONAL;0;2;2;4;3;NINGUNO
29;V;ADM312;CONTABILIDAD GERENCIAL;0;3;2;5;4;NINGUNO
30;V;ADM313;COMERCIO INTERNACIONAL;0;2;2;4;3;ADM306
31;V;ADM314;MICROFINANZAS ;0;2;2;4;3;NINGUNO
32;V;ADM315;GERENCIA PÚBLICA ;0;2;2;4;3;NINGUNO
33;V;ADM316;GESTIÓN DE LA INVERSIÓN PÚBLICA;0;3;2;5;4;ADM307
34;V;ADM317;TRANSFORMACIÓN DIGITAL EMPRESARIAL;0;2;2;4;3;ADM308
35;VI;ADM207;CONTABILIDAD FINANCIERA Y DE COSTOS;0;3;2;5;4;ADM312
36;VI;ADM318;ADMINISTRACIÓN ESTRATÉGICA;0;3;2;5;4;NINGUNO
37;VI;ADM319;MARKETING ESTRATÉGICO Y DIGITAL;0;3;2;5;4;ADM205
38;VI;ADM320;ADMINISTRACIÓN DE OPERACIONES;0;3;2;5;4;NINGUNO
39;VI;ADM321;SISTEMAS ADMINISTRATIVOS I;0;3;2;5;4;ADM316
40;VI;ADM322;COMERCIO ELECTRÓNICO;0;3;2;5;4;ADM317
41;VII;ADM208;GESTIÓN TRIBUTARIA;0;3;2;5;4;ADM207
42;VII;ADM323;NEGOCIOS INTERNACIONALES;0;2;2;4;3;NINGUNO
43;VII;ADM324;GERENCIA DE PROYECTOS;0;3;2;5;4;NINGUNO
44;VII;ADM325;BANCA Y SEGUROS;0;2;2;4;3;NINGUNO
45;VII;ADM326;CIENCIA POLÍTICA ;0;2;2;4;3;NINGUNO
