N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;Null
7;;I;ADMINISTRACIÓN GENERAL;0;2;2;4;3;Null
8;;II;ESTADÍSTICA;0;3;2;5;4;Null
9;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null
10;;II;DESARROLLO PERSONAL;0;2;2;4;3;Null
11;;II;MATEMÁTICA PARA NEGOCIOS;0;3;2;5;4;Null
12;;II;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;0;2;2;4;3;Null
13;;II;INGLÉS TÉCNICO;0;2;2;4;3;Null
14;;II;TALLER DE LIDERAZGO Y COMUNICACIÓN;0;2;2;4;3;Null
15;;III;SEGURIDAD Y DEFENSA NACIONAL;0;3;2;5;4;Null
16;;III;ECONOMÍA DE LA EMPRESA;0;3;2;5;4;Null
17;;III;DISEÑO ORGANIZACIONAL;0;3;2;5;4;Null
18;;III;FUNDAMENTOS DEL MARKETING;0;3;2;5;4;Null
19;;III;MATEMÁTICA FINANCIERA;0;3;2;5;4;Null
20;;III;TEORÍA DEL ESTADO;0;3;2;5;4;Null
21;;IV;GESTIÓN DE TALENTO HUMANO;0;3;2;5;4;Null
22;;IV;INVESTIGACIÓN DE MERCADOS;0;3;2;5;4;Null
23;;IV;PLANEAMIENTO Y PRESUPUESTO PÚBLICO;0;3;2;5;4;Null
24;;IV;GESTIÓN DE LA INFORMACIÓN Y TECNOLOGÍAS EMERGENTES;0;3;2;5;4;Null
25;;IV;AUDITORIA OPERATIVA;0;3;2;5;4;Null
26;;IV;GESTIÓN DE RIESGO Y TOMA DE DECISIONES;0;3;2;5;4;Null
27;;V;COMPORTAMIENTO ORGANIZACIONAL;0;2;2;4;3;Null
28;;V;CONTABILIDAD GERENCIAL;0;3;2;5;4;Null
29;;V;COMERCIO INTERNACIONAL;0;2;2;4;3;Null
30;;V;GERENCIA PÚBLICA ;0;2;2;4;3;Null
31;;V;DERECHO LABORAL;0;2;2;4;3;Null
32;;V;GESTIÓN DE LA INVERSIÓN PÚBLICA;0;3;2;5;4;Null
33;;V;TRANSFORMACIÓN DIGITAL EMPRESARIAL;0;2;2;4;3;Null
34;;VI;CONTABILIDAD FINANCIERA Y DE COSTOS;0;3;2;5;4;Null
35;;VI;ADMINISTRACIÓN ESTRATÉGICA;0;3;2;5;4;Null
36;;VI;MARKETING ESTRATÉGICO Y DIGITAL;0;3;2;5;4;Null
37;;VI;ADMINISTRACIÓN DE OPERACIONES;0;3;2;5;4;Null
38;;VI;SISTEMAS ADMINISTRATIVOS I;0;3;2;5;4;Null
39;;VI;COMERCIO ELECTRÓNICO;0;3;2;5;4;Null
40;;VII;GESTIÓN TRIBUTARIA;0;3;2;5;4;Null
41;;VII;NEGOCIOS INTERNACIONALES;0;2;2;4;3;Null
42;;VII;GERENCIA DE PROYECTOS;0;3;2;5;4;Null
43;;VII;BANCA Y SEGUROS;0;2;2;4;3;Null
44;;VII;COACHING Y MENTORING ;0;2;2;4;3;Null
45;;VII;SISTEMAS ADMINISTRATIVOS II;0;2;2;4;3;Null
46;;VII;METODOLOGÍAS ÁGILES;0;2;2;4;3;Null
47;;VIII;NEGOCIACIÓN EN LA GESTIÓN;0;2;2;4;3;Null
48;;VIII;GESTIÓN DE LA CALIDAD;0;2;2;4;3;Null
49;;VIII;AGRONEGOCIOS;0;2;2;4;3;Null
50;;VIII;FINANZAS CORPORATIVAS;0;3;2;5;4;Null
51;;VIII;SISTEMA NACIONAL DE CONTROL;0;2;2;4;3;Null
52;;VIII;MODELOS DE NEGOCIOS INNOVADORES;0;2;2;4;3;Null
53;;VIII;INTELIGENCIA DE NEGOCIOS Y BIG DATA;0;3;2;5;4;Null
54;;IX;METODOLOGÍA DE LA INVESTIGACIÓN;0;3;2;5;4;Null
55;;IX;GESTIÓN COMERCIAL;0;2;2;4;3;Null
56;;IX;PRÁCTICAS PRE PROFESIONALES;0;1;4;5;3;Null
57;;IX;GESTIÓN TURÍSTICA;0;2;2;4;3;Null
58;;IX;INGENIERÍA FINANCIERA;0;2;2;4;3;Null
59;;IX;POLÍTICAS PÚBLICAS;0;2;2;4;3;Null
60;;IX;GESTIÓN DE BUSINESS ANALYTICS;0;2;2;4;3;Null
61;;X;INFORME DE INVESTIGACIÓN;0;3;2;5;4;Null
62;;X;GESTIÓN LOGÍSTICA;0;2;2;4;3;Null
63;;X;GESTIÓN MINERA;0;2;2;4;3;Null
64;;X;GERENCIA DE GOBIERNOS REGIONALES Y LOCALES;0;2;2;4;3;Null
65;;X;DERECHO ADMINISTRATIVO;0;2;2;4;3;Null
66;;X;GESTIÓN DEL EMPRENDIMIENTO;0;2;2;4;3;Null
67;;X;JUEGOS SERIOS Y SIMULACIÓN DE NEGOCIOS;0;3;2;5;4;Null
