N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
3;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;INTRODUCCIÓN A LA ANTROPOLOGÍA;0;4;2;6;5;Null
7;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
8;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null
9;;II;GEOHISTÓRIA REGIONAL;0;2;2;4;3;Null
10;;II;ANTROPOLOGÍA VISUAL;0;4;2;6;5;Null
11;;II;IDIOMA NATIVO AYMARA;0;3;2;5;4;Null
12;;II;IDIOMAS NATIVOS QUECHUA;0;3;2;5;4;Null
13;;II;ESTUDIOS AMAZÓNICOS;0;3;2;5;4;Null
14;;III;EPISTEMOLOGÍA;0;2;2;4;3;Null
15;;III;DESARROLLO PERSONAL;0;2;2;4;3;Null
16;;III;TEORÍA SOCIAL;0;4;2;6;5;Null
17;;III;ANTROPOLOGÍA DE LA RELIGIÓN;0;3;2;5;4;Null
18;;III;CULTURA ANDINA Y SABERES ANCESTRALES;0;3;2;5;4;Null
19;;III;TEORÍAS DEL DESARROLLO SOCIAL;0;4;2;6;5;Null
20;;IV;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null
21;;IV;INTRODUCCIÓN A LA INVESTIGACIÓN ANTROPOLÓGICA;0;4;2;6;5;Null
22;;IV;TEORÍAS ANTROPOLÓGICAS I;0;3;2;5;4;Null
23;;IV;ANTROPOLOGÍA JURÍDICA;0;2;2;4;3;Null
24;;IV;INTRODUCCIÓN A LA ANTROPOLOGÍA BIOLÓGICA;0;4;2;6;5;Null
25;;IV;POLÍTICAS SOCIALES;0;3;2;5;4;Null
26;;V;ETNOGRAFÍA;0;3;2;5;4;Null
27;;V;TEORÍAS ANTROPOLÓGICAS II;0;3;2;5;4;Null
28;;V;ANTROPOLOGÍA MEDIOAMBIENTAL;0;3;2;5;4;Null
29;;V;FUNDAMENTOS DE BIOANTROPOLOGIA FORENSE;0;4;2;6;5;Null
30;;V;DESARROLLO TERRITORIAL Y CULTURA;0;2;2;4;3;Null
31;;V;ANTROPOLOGÍA APLICADA;0;3;2;5;4;Null
32;;VI;METODOLOGÍA DE LA INVESTIGACIÓN CUALITATIVA;0;2;4;6;4;Null
33;;VI;TEORÍAS ANTROPOLÓGICAS III;0;3;2;5;4;Null
34;;VI;TEORÍAS Y ANÁLISIS DE LA CULTURA;0;3;2;5;4;Null
35;;VI;DERECHOS DE LOS PUEBLOS ORIGINARIOS;0;2;2;4;3;Null
36;;VI;FORMULACIÓN DE PROYECTOS SOCIALES;0;3;2;5;4;Null
37;;VI;PLANIFICACIÓN DEL DESARROLLO;0;3;2;5;4;Null
38;;VII;METODOLOGÍA DE LA INVESTIGACIÓN CUANTITATIVA;0;3;2;5;4;Null
39;;VII;ANTROPOLOGÍA PERUANA;0;3;2;5;4;Null
40;;VII;PROCESOS INTERCULTURALES;0;3;2;5;4;Null
41;;VII;GESTIÓN CULTURAL;0;3;2;5;4;Null
42;;VII;GESTIÓN DE PROGRAMAS Y PROYECTOS SOCIALES;0;3;2;5;4;Null
43;;VII;METODOLOGÍAS DE FACILITACIÓN PARTICIPATIVA;0;3;2;5;4;Null
44;;VIII;METODOLOGÍA DE LA INVESTIGACIÓN ANTROPOLÓGICA;0;3;2;5;4;Null
45;;VIII;ANTROPOLOGÍA URBANA Y GLOBALIZACIÓN;0;3;2;5;4;Null
46;;VIII;ANTROPOLOGÍA DE LA MINERÍA Y EXTRACTIVISMO;0;3;2;5;4;Null
47;;VIII;TALLER DEL PATRIMONIO CULTURAL;0;3;2;5;4;Null
48;;VIII;BIOANTROPOLOGÍA APLICADA;0;3;2;5;4;Null
49;;VIII;MONITOREO Y EVALUACIÓN DE PROGRAMAS SOCIALES;0;3;2;5;4;Null
50;;IX;SEMINARIO DE PRODUCCIÓN INTELECTUAL;0;3;2;5;4;Null
51;;IX;ANTROPOLOGÍA DE LA SALUD;0;3;2;5;4;Null
52;;IX;ANTROPOLOGÍA DEL PARENTESCO, GÉNERO Y SEXUALIDAD;0;3;2;5;4;Null
53;;IX;CULTURA Y CLIMA ORGANIZACIONAL;0;3;2;5;4;Null
54;;IX;FUNDAMENTOS DE LA ANTROPOLOGÍA CULTURAL FORENSE;0;3;2;5;4;Null
55;;IX;SISTEMATIZACIÓN DE EXPERIENCIAS DE DESARROLLO;0;3;2;5;4;Null
56;;X;TRABAJO DE INVESTIGACIÓN;0;2;4;6;4;Null
57;;X;PRACTICAS PRE PROFESIONALES;0;8;24;32;20;Null
