N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;ARQ301;TALLER I: ESTRUCTURA Y ARTICULACION ESPACIAL;0;2;6;8;5;NINGUNO
2;I;EG101;COMPRENSION Y ARGUMENTACION;0;3;2;5;4;NINGUNO
3;I;EG102;PENSAMIENTO RACIONAL Y ETICA;0;2;2;4;3;NINGUNO
4;I;EG103;MATEMATICA BASICA;0;3;2;5;4;NINGUNO
5;I;EG104;TALLER DE INNOVACION Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
6;I;EG105;ECOLOGIA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
7;II;ARQ302;DIBUJO ARQUITECTONICO E IDEACION;0;3;2;5;4;NINGUNO
8;II;ARQ303;TALLER II: ARQUITECTURA Y UNIDAD HABITABLE;0;2;6;8;5;ARQ301
9;II;ARQ304;GEOMETRIA DESCRIPTIVA;0;2;2;4;3;NINGUNO
10;II;ARQ305;MODELAMIENTO ESPACIO FORMAL;0;2;2;4;3;NINGUNO
11;II;EG109;FISICA GENERAL;0;3;2;5;4;NINGUNO
12;II;EG114;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;NINGUNO
13;III;ARQ306;TALLER III: ARQUITECTURA Y UNIDAD FAMILIAR;0;2;6;8;5;ARQ303
14;III;ARQ307;PERSPECTIVAS Y SOMBRAS;0;2;2;4;3;ARQ304
15;III;EG110;ESTADISTICA;0;3;2;5;4;NINGUNO
16;III;EG111;CALCULO DIFERENCIAL;0;3;2;5;4;EG103
17;III;EG119;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
18;III;TOP201;GEOGRAFIA Y TOPOGRAFIA;0;2;2;4;3;ARQ305
19;IV;ARQ203;TECNOLOGIA DE RECURSOS CONSTRUCTIVOS;0;2;2;4;3;EG109
20;IV;ARQ204;MODELAMIENTO Y SIMULACION DE PROYECTOS ARQUITECTONICOS;0;2;2;4;3;ARQ305
21;IV;ARQ308;TALLER IV: ARQUITECTURA Y EQUIPAMIENTO LOCAL;0;2;6;8;5;ARQ306
22;IV;ARQ309;HISTORIA DE LA ARQUITECTURA ANTIGUA Y MEDIA;0;3;2;5;4;NINGUNO
23;IV;ARQ310;METODOLOGIA Y FUNDAMENTOS DEL DISEÑO ARQUITECTONICO;0;3;2;5;4;EG111
24;IV;CIV202;RESISTENCIA DE MATERIALES;0;2;2;4;3;TOP201
25;V;ARQ206;SISTEMAS CONSTRUCTIVOS;0;2;2;4;3;ARQ203
26;V;ARQ207;MODELAMIENTO Y SIMULACION URBANA;0;2;2;4;3;ARQ204
27;V;ARQ311;TALLER V: ARQUITECTURA Y EQUIPAMIENTOS BARRIALES;0;2;6;8;5;ARQ308
28;V;ARQ312;HISTORIA DE LA ARQUITECTURA MODERNA Y CONTEMPORANEA;0;2;2;4;3;ARQ309
29;V;ARQ313;ARQUITECTURA Y ACONDICIONAMIENTO BIOCLIMATICO;0;2;4;6;5;ARQ310
30;V;CIV205;SISTEMAS ESTRUCTURALES;0;2;2;4;3;CIV202
31;VI;ARQ209;SISTEMAS ARTERIALES DE OBRA;0;2;2;4;3;ARQ206
32;VI;ARQ314;TALLER VI: ARQUITECTURA URBANO SECTORIAL;0;2;6;8;5;ARQ311
33;VI;ARQ315;HISTORIA DE LA ARQUITECTURA PREINCA E INCA;0;2;2;4;3;ARQ312
34;VI;ARQ316;ARQUITECTURA DEL PAISAJE Y TRATAMIENTO DE ESPACIOS ABIERTOS;0;2;2;4;3;ARQ313
35;VI;ARQ317;EVOLUCION DE LA CIUDAD Y ANALISIS URBANO;0;4;2;6;5;NINGUNO
36;VI;CIV208;DISEÑO ESTRUCTURAL;0;2;2;4;3;CIV205
37;VII;ARQ210;COSTOS, PRESUPUESTOS Y PROGRAMACION DE OBRA;0;3;2;5;4;ARQ209
38;VII;ARQ318;TALLER VII: EQUIPAMIENTO URBANO Y CIUDADES PEQUEÑAS;0;2;6;8;5;ARQ314
39;VII;ARQ319;HISTORIA DE LA ARQUITECTURA COLONIAL Y REPUBLICANA;0;2;2;4;3;ARQ315
40;VII;ARQ320;ILUMINACION Y ACUSTICA EN PROYECTOS ARQUITECTONICOS;0;3;2;5;4;ARQ316
41;VII;ARQ321;DISEÑO URBANO Y SISTEMAS VIALES;0;2;2;4;3;ARQ317
42;VII;ECO211;ECONOMIA URBANA ;0;2;2;4;3;NINGUNO
43;VII;EST212;ESTADISTICA INFERENCIAL ;0;2;2;4;3;NINGUNO
44;VIII;ARQ213;EVALUACION AMBIENTAL Y ARQUITECTURA SOSTENIBLE;0;2;2;4;3;ARQ320
45;VIII;ARQ214;LEGISLACION DE OBRA;0;3;2;5;4;CIV208
46;VIII;ARQ215;EJECUCION Y CALIDAD DE LA CONSTRUCCION;0;2;2;4;3;ARQ210
47;VIII;ARQ322;TALLER VIII: EQUIPAMIENTO URBANO Y CIUDADES INTERMEDIAS;0;2;6;8;5;ARQ318
48;VIII;ARQ323;HISTORIA Y LEGADO DE LA ARQUITECTURA ANDINA;0;2;2;4;3;ARQ319
49;VIII;ARQ324;PLANIFICACION URBANA;0;3;2;5;4;ARQ321
50;IX;ARQ216;GERENCIA DE LA CONSTRUCCION;0;2;2;4;3;ARQ215
51;IX;ARQ217;METODOLOGIA Y PROYECTOS DE INVESTIGACION;0;3;2;5;4;EST212
52;IX;ARQ325;TALLER IX: EQUIPAMIENTO METROPOLITANO;0;2;6;8;5;ARQ322
53;IX;ARQ326;VALORACION Y GESTION DE PATRIMONIO ARQUITECTONICO;0;2;2;4;3;ARQ323
54;IX;ARQ327;ACONDICIONAMIENTO Y RENOVACION URBANO AMBIENTAL;0;2;2;4;3;ARQ213
55;IX;ARQ328;PLANIFICACION REGIONAL;0;3;2;5;4;ARQ324
56;X;ARQ218;EJECUCION DE PROYECTOS DE INVESTIGACION;0;3;2;5;4;ARQ217
57;X;ARQ219;INGLES TECNICO;0;2;2;4;3;NINGUNO
58;X;ARQ329;TALLER X: ARQUITECTURA, SISTEMA DE CIUDADES Y TERRITORIO;0;2;6;8;5;ARQ325
59;X;ARQ330;VALORACION Y GESTION DE PATRIMONIO URBANO;0;2;2;4;3;ARQ326
60;X;ARQ331;ASENTAMIENTOS HUMANOS INFORMALES;0;3;2;5;4;ARQ328
61;X;ARQ332;PRACTICAS PRE PROFESIONALES;0;2;2;4;3;ARQ216
