N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSION Y ARGUMENTACION;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ETICA;0;2;2;4;3;Null
3;;I;MATEMATICA BASICA;0;3;2;5;4;Null
4;;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
5;;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;0;2;2;4;3;Null
6;;I;TECNICA PARA LAS DANZAS MESTIZAS DE PUNO;0;4;2;6;5;Null
7;;I;TEORIA DE LA DANZA;0;2;0;2;2;Null
8;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
9;;II;PRODUCCION DE TEXTOS ACADEMICOS;0;2;2;4;3;Null
10;;II;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null
11;;II;DANZA CLASICA I;0;2;2;4;3;Null
12;;II;TECNICA PARA LAS DANZAS DE LA ZONA QUECHUA DE PUNO;0;4;4;8;6;Null
13;;II;KINESIOLOGIA;0;3;0;3;3;Null
14;;II;TECNICA DANZARIA;0;3;0;3;3;Null
15;;III;ACTIVIDADES FISICAS Y DEPORTE PARA LA SALUD;0;2;2;4;3;Null
16;;III;EPISTEMOLOGÍA;0;2;2;4;3;Null
17;;III;GEOHISTORIA REGIONAL;0;2;2;4;3;Null
;;III;DESARROLLO PERSONAL;0;2;2;4;3;Null
18;;III;DANZA CLASICA II;0;2;2;4;3;Null
19;;III;TECNICA PARA LAS DANZAS DE LA ZONA AYMARA DE PUNO;0;4;6;10;7;Null
20;;III;LABORATORIO DE PROCESO DE INVESTIGACION CORPORAL;0;4;0;4;4;Null
21;;III;HISTORIA DE LA DANZA UNIVERSAL;0;4;0;4;4;Null
22;;IV;ESTADISTICA;0;3;2;5;4;Null
23;;IV;MAQUILLAJE;0;3;0;3;3;Null
24;;IV;REPERTORIO DE LA DANZA CLASICA;0;2;2;4;3;Null
25;;IV;TECNICA PARA LAS DANZAS DE LA SIERRA SUR DEL PERU;0;4;6;10;7;Null
26;;IV;DANZA CREATIVA I;0;3;2;5;4;Null
27;;IV;HISTORIA DE LA DANZA PERUANA;0;3;0;3;3;Null
28;;V;DANZA CONTEMPORANEA I;0;2;2;4;3;Null
29;;V;TECNICA PARA LAS DANZAS DE LA SIERRA CENTRAL DEL PERU;0;4;6;10;7;Null
30;;V;TEORIA DE LA COREOGRAFIA;0;4;0;4;4;Null
31;;V;PATRONAJE DEL VESTUARIO;0;2;2;4;3;Null
32;;V;EDICION DE AUDIO Y VIDEO PARA LA DANZA;0;3;0;3;3;Null
33;;V;DANZA CREATIVA II;0;3;2;5;4;Null
34;;VI;DANZA CONTEMPORANEA II;0;2;2;4;3;Null
35;;VI;TECNICA PARA LAS DANZAS DE LA SELVA PERUANA;0;4;6;10;7;Null
36;;VI;COMPOSICION COREOGRAFICA;0;2;2;4;3;Null
37;;VI;DISEÑO Y PRODUCCION DE VESTUARIO I;0;3;2;5;4;Null
38;;VI;METODOS DE INVESTIGACION;0;4;0;4;4;Null
39;;VI;TEORIA DEL FOLKLORE;0;3;0;3;3;Null
40;;VII;REPERTORIO DE DANZA CONTEMPORANEA;0;2;2;4;3;Null
41;;VII;TECNICA PARA LAS DANZAS DE LA COSTA PERUANA;0;4;6;10;7;Null
42;;VII;DISEÑO Y PRODUCCION DE VESTUARIO II;0;3;2;5;4;Null
43;;VII;INVESTIGACION APLICADA A LA DANZA;0;4;0;4;4;Null
44;;VII;DIRECCION DE LA DANZA I;0;2;2;4;3;Null
45;;VII;SEMIOTICA DE LA DANZA;0;3;0;3;3;Null
46;;X;TRABAJO DE INVESTIGACIÓN;0;4;0;4;4;Null
47;;VIII;TECNICA PARA LAS DANZAS AFROPERUANAS;0;4;6;10;7;Null
48;;VIII;DISEÑO Y PRODUCCION DE VESTUARIO III;0;3;2;5;4;Null
49;;VIII;DIRECCION DE LA DANZA II;0;2;2;4;3;Null
50;;VIII;TEATRO MUSICAL;0;2;2;4;3;Null
51;;VIII;ESCENOGRAFIA;0;3;0;3;3;Null
52;;IX;EVALUACION DE LA DANZA;0;4;0;4;4;Null
53;;IX;TECNICA PARA LAS DANZAS LATINOAMERICANAS;0;4;6;10;7;Null
54;;IX;TEORIA E INTERPRETACION DE LA MUSICA;0;4;0;4;4;Null
55;;IX;PRODUCCION DE ESPECTACULOS EN DANZA;0;2;2;4;3;Null
56;;IX;TALLER COREOGRAFICO DE DANZAS INTERNACIONALES;0;2;2;4;3;Null
57;;IX;PRACTICAS PREPROFESIONALES - PRODUCCION;0;2;2;4;3;Null
58;;X;TECNICA PARA LAS DANZAS INTERNACIONALES;0;2;4;6;4;Null
59;;VIII;IDIOMA INGLES;0;4;0;4;4;Null
60;;X;PRACTICAS PREPROFESIONALES - PROMOCION;0;8;8;16;12;Null
61;;X;GESTION EMPRESARIAL Y MARKETING PARA LA DANZA;0;4;0;4;4;Null
