N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;AMUS201;INSTRUMENTO PRINCIPAL BÁSICO I;6;2;2;4;3;NINGUNO
2;I;AMUS202;LENGUAJE MUSICAL I;6;4;0;4;4;NINGUNO
3;I;EG101;COMPRENSIÓN Y ARGUMENTACIÓN;6;3;2;5;4;NINGUNO
4;I;EG102;PENSAMIENTO RACIONAL Y ÉTICA;6;2;2;4;3;NINGUNO
5;I;EG103;MATEMÁTICA BÁSICA;6;3;2;5;4;NINGUNO
6;I;EG104;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;6;2;2;4;3;NINGUNO
7;I;EG105;ECOLOGÍA Y DESARROLLO SOSTENIBLE;6;2;2;4;3;NINGUNO
8;II;AMUS203;INSTRUMENTO PRINCIPAL BÁSICO II;6;4;4;8;6;AMUS201
9;II;AMUS204;LENGUAJE MUSICAL II;6;4;2;6;5;AMUS202
10;II;EG106;PRODUCCIÓN DE TEXTOS ACADÉMICOS;6;2;2;4;3;NINGUNO
11;II;EG118;IDENTIDAD Y DIVERSIDAD CULTURAL;6;2;2;4;3;NINGUNO
12;II;EG119;SEGURIDAD Y DEFENSA NACIONAL;6;2;2;4;3;NINGUNO
13;II;HUM205;INGLÉS TÉCNICO;6;4;0;4;4;NINGUNO
14;III;AMUS206;LENGUAJE MUSICAL III;6;4;2;6;5;AMUS204
15;III;AMUS207;INSTRUMENTO COMPLEMENTARIO I;6;4;0;4;4;NINGUNO
16;III;AMUS208;HISTORIA DE LA MÚSICA OCCIDENTAL I;6;4;0;4;4;NINGUNO
17;III;AMUS301;INSTRUMENTO PRINCIPAL INTERMEDIO I;6;2;6;8;5;AMUS203
18;III;EG 107;EPISTEMOLOGÍA ;6;2;2;4;3;NINGUNO
19;III;EG114;ESTRATEGIAS DE APRENDIZAJE ;6;2;2;4;3;NINGUNO
20;III;EG116;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD ;6;2;2;4;3;NINGUNO
21;III;EG120;GEOHISTORIA REGIONAL ;6;2;2;4;3;NINGUNO
22;IV;AMUS209;INSTRUMENTO COMPLEMENTARIO II;6;1;2;3;2;AMUS207
23;IV;AMUS210;LENGUAJE MUSICAL IV;6;1;2;3;2;AMUS206
24;IV;AMUS211;HISTORIA DE LA MÚSICA OCCIDENTAL II;6;4;0;4;4;AMUS208
25;IV;AMUS212;SOFTWARE PARA LA EDICION DE PARTITURAS;6;3;0;3;3;NINGUNO
26;IV;AMUS302;ARMONÍA I;6;4;0;4;4;NINGUNO
27;IV;AMUS303;INSTRUMENTO PRINCIPAL INTERMEDIO II;6;2;6;8;5;AMUS301
28;IV;EG110;ESTADÍSTICA;6;3;2;5;4;NINGUNO
29;V;AMUS213;CORO I;6;2;2;4;3;NINGUNO
