N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;APLA201;INTRODUCCIÓN A LAS ARTES PLÁSTICAS;4;1;2;3;2;NINGUNO
2;I;APLA202;INTRODUCCIÓN AL DIBUJO ARTÍSTICO I;4;4;2;6;5;NINGUNO
3;I;EG101;COMPRENSIÓN Y ARGUMENTACIÓN;4;3;2;5;4;NINGUNO
4;I;EG102;PENSAMIENTO RACIONAL Y ETICA;4;2;2;4;3;NINGUNO
5;I;EG103;MATEMÁTICA BÁSICA;4;3;2;5;4;NINGUNO
6;I;EG104;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;4;2;2;4;3;NINGUNO
7;I;EG105;ECOLOGÍA Y DESARROLLO SOSTENIBLE;4;2;2;4;3;NINGUNO
8;II;APLA203;INTRODUCCIÓN AL DIBUJO ARTÍSTICO II;4;4;2;6;5;APLA202
9;II;APLA204;TALLER DE LAS ARTES PLÁSTICAS BÁSICA I;4;5;4;9;7;APLA201
10;II;APLA205;TEORÍA DEL COLOR;4;3;0;3;3;NINGUNO
11;II;EG106;PRODUCCIÓN DE TEXTOS ACADÉMICOS;4;2;2;4;3;NINGUNO
12;II;EG118;IDENTIDAD Y DIVERSIDAD CULTURAL;4;2;2;4;3;NINGUNO
13;II;EG119;SEGURIDAD Y DEFENSA NACIONAL;4;2;2;4;3;NINGUNO
14;III;APLA206;TÉCNICA BÁSICA I: ESCULTURA ;4;4;0;4;4;NINGUNO
15;III;APLA207;TÉCNICA BÁSICA I: GRABADO ;4;4;0;4;4;NINGUNO
16;III;APLA208;TÉCNICA BÁSICA I: ACUARELA ;4;4;0;4;4;NINGUNO
17;III;APLA209;TALLER DE DIBUJO ARTÍSTICO;4;4;2;6;5;APLA203
18;III;APLA210;TALLER DE LAS ARTES PLÁSTICAS BÁSICA II;4;3;6;9;6;APLA204
19;III;APLA211;GEOMETRÍA Y PERSPECTIVA ARTÍSTICA;4;3;0;3;3;NINGUNO
