N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;INTRODUCCION A LAS ARTES PLASTICAS;0;1;2;3;2;Null
2;;I;INTRODUCCION AL DIBUJO ARTISTICO I;0;4;2;6;5;Null
3;;I;COMPRENSION Y ARGUMENTACION;0;3;2;5;4;Null
4;;I;PENSAMIENTO RACIONAL Y ETICA;0;2;2;4;3;Null
5;;I;MATEMATICA BASICA;0;3;2;5;4;Null
6;;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
7;;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;0;2;2;4;3;Null
8;;II;INTRODUCCION AL DIBUJO ARTISTICO II;0;4;2;6;5;Null
9;;II;TALLER DE LAS ARTES PLASTICAS BASICA I;0;5;4;9;7;Null
10;;II;TEORIA DEL COLOR;0;3;0;3;3;Null
11;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
12;;II;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null
13;;II;PRODUCCION DE TEXTOS ACADEMICOS;0;2;2;4;3;Null
;;III;TECNICA BASICA I: GRABADO;0;4;0;4;4;Null
;;III;TECNICA BASICA I: ESCULTURA;0;4;0;4;4;Null
14;;III;TECNICA BASICA I: ACUARELA;0;4;0;4;4;Null
15;;III;TALLER DE DIBUJO ARTISTICO;0;4;2;6;5;Null
16;;III;TALLER DE LAS ARTES PLASTICAS BASICA II;0;3;6;9;6;Null
17;;III;GEOMETRIA Y PERSPECTIVA ARTISTICA;0;3;0;3;3;Null
;;III;EPISTEMOLOGIA;0;2;2;4;3;Null
18;;III;ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD;0;2;2;4;3;Null
;;III;GEOHISTORIA REGIONAL;0;2;2;4;3;Null
19;;III;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null
20;;IV;TECNICA BASICA II: ESCULTURA;0;3;2;5;4;Null
;;IV;TECNICA BASICA II: GRABADO;0;3;2;5;4;Null
;;IV;TECNICA BASICA II: ACUARELA;0;3;2;5;4;Null
21;;IV;ANATOMIA ARTISTICA;0;4;0;4;4;Null
22;;IV;TALLER DE LAS ARTES PLASTICAS INTERMEDIA I;0;5;4;9;7;Null
23;;IV;FOTOGRAFIA I;0;2;2;4;3;Null
24;;IV;COMPOSICION;0;1;2;3;2;Null
25;;IV;ESTADISTICA;0;3;2;5;4;Null
26;;V;TALLER DIBUJO DE FIGURA HUMANA I;0;4;2;6;5;Null
27;;V;TALLER DE LAS ARTES PLASTICAS INTERMEDIA II;0;5;4;9;7;Null
28;;V;HISTORIA DE LAS ARTES PLASTICAS UNIVERSAL I;0;3;0;3;3;Null
29;;V;TALLER DE DIBUJO ANALITICO, SINTETICO Y CONTEMPORANEO;0;2;2;4;3;Null
30;;V;FOTOGRAFIA II;0;2;2;4;3;Null
31;;V;DISEÑO GRAFICO I;0;2;2;4;3;Null
32;;VI;TALLER DE LAS ARTES PLASTICAS INTERMEDIA III;0;5;4;9;7;Null
33;;VI;ARTE MURAL;0;1;2;3;2;Null
34;;VI;HISTORIA DE LAS ARTES PLASTICAS UNIVERSAL II;0;3;0;3;3;Null
35;;VI;TALLER DE ARTE POPULAR I;0;3;2;5;4;Null
36;;VI;DISEÑO GRAFICO II;0;2;2;4;3;Null
37;;VI;TALLER DIBUJO DE FIGURA HUMANA II;0;4;2;6;5;Null
38;;VII;TALLER DE LAS ARTES PLASTICAS AVANZADA I;0;4;6;10;7;Null
39;;VII;CATALOGACION Y CONSERVACION;0;4;0;4;4;Null
40;;VII;GESTION DE INDUSTRIAS CULTURALES;0;3;0;3;3;Null
41;;VII;TALLER DE ARTE POPULAR II;0;3;2;5;4;Null
42;;VII;HISTORIA DEL ARTE PERUANO I;0;2;2;4;3;Null
43;;VII;ANIMACION DIGITAL Y EFECTOS VISUALES I;0;2;2;4;3;Null
44;;VIII;TALLER DE LAS ARTES PLASTICAS AVANZADA II;0;5;4;9;7;Null
45;;VIII;HISTORIA DEL ARTE PERUANO II;0;3;0;3;3;Null
46;;VIII;PROYECTOS INNOVACION DE ARTE ORIGINARIO;0;2;2;4;3;Null
47;;VIII;GESTION DE TALLERES DE ARTES PLASTICAS;0;2;2;4;3;Null
48;;VIII;SEMIOTICA DE LA IMAGEN;0;2;2;4;3;Null
49;;VIII;ANIMACION DIGITAL Y EFECTOS VISUALES II;0;4;2;6;5;Null
50;;IX;PRACTICAS PRE PROFESIONALES - PRODUCCION;0;5;4;9;7;Null
51;;IX;RESTAURACIÓN DE OBRAS DE ARTE BIDIMENSIONAL;0;3;2;5;4;Null
52;;IX;MUSEOLOGIA, CRITICA Y CURADURIA DEL ARTE;0;4;0;4;4;Null
53;;IX;PROYECTOS ARTISTICOS Y CULTURALES;0;2;2;4;3;Null
54;;IX;INVESTIGACION PLASTICA I;0;2;2;4;3;Null
55;;IX;IDENTIDAD VISUAL;0;2;2;4;3;Null
56;;X;RESTAURACION DE OBRAS DE ARTE TRIDIMENSIONAL;0;3;2;5;4;Null
57;;X;PRACTICAS PRE PROFESIONALES - PROMOCION;0;9;10;19;14;Null
58;;X;INGLES;0;2;0;2;2;Null
59;;X;TRABAJO DE INVESTIGACIÓN;0;4;0;4;4;Null
