N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;EG101;COMPRENSIÓN Y ARGUMENTACIÓN;8;3;2;5;4;NINGUNO
2;I;EG102;PENSAMIENTO RACIONAL Y ETICA;8;2;2;4;3;NINGUNO
3;I;EG103;MATEMÁTICA BASICA;8;3;2;5;4;NINGUNO
4;I;EG104;TALLER DE INNOVACION Y EMPRENDIMIENTO;8;2;2;4;3;NINGUNO
5;I;EG105;ECOLOGIA Y DESARROLLO SOSTENIBLE;8;2;2;4;3;NINGUNO
6;I;EG113;BIOLOGIA GENERAL;8;3;2;5;4;NINGUNO
7;I;EG115;SEGURIDAD Y DEFENSA NACIONAL;8;2;2;4;3;NINGUNO
8;II;BECO201;BOTÁNICA GENERAL;8;2;2;4;3;EG113
9;II;BECO202;ZOOLOGIA GENERAL;8;2;2;4;3;EG113
10;II;BECO203;ECOLOGIA HUMANA;8;2;2;4;3;EG105
11;II;BECO204;MATÉMATICA SUPERIOR;8;2;2;4;3;EG103
12;II;EG106;PRODUCCION DE TEXTOS ACADÉMICOS;8;2;2;4;3;NINGUNO
13;II;EG108;QUIMICA GENERAL;8;3;2;5;4;NINGUNO
14;II;EG109;FISICA GENERAL;8;3;2;5;4;NINGUNO
15;III;BECO205;GENÉTICA;8;2;2;4;3;EG113
16;III;BECO206;BOTÁNICA CRIPTOGÁMICA;8;3;2;5;4;BECO201
17;III;BECO207;BIOQUÍMICA;8;2;2;4;3;EG108
18;III;BECO208;MICROBIOLOGÍA AMBIENTAL;8;2;2;4;3;EG113
19;III;BECO209;ZOOLOGIA DE INVERTEBRADOS;8;3;2;5;4;BECO202
20;III;BECO210;QUÍMICA ORGÁNICA;8;2;2;4;3;EG108
21;III;HUM211;INGLÉS;8;2;2;4;3;NINGUNO
22;IV;BECO212;ENTOMOLOGÍA;8;3;2;5;4;BECO209
23;IV;BECO213;BOTÁNICA FANEROGÁMICA;8;3;2;5;4;BECO206
24;IV;BECO214;ECOLOGÍA MOLECULAR;8;2;2;4;3;BECO205
25;IV;BECO215;ZOOLOGIA DE CORDADOS;8;3;2;5;4;BECO209
26;IV;BECO216;BIOESTADÍSTICA;8;3;2;5;4;EG103
27;IV;BECO217;ECOFISIOLOGÍA;8;3;2;5;4;BECO207
28;V;BECO218;DISEÑOS EXPERIMENTALES;8;3;2;5;4;BECO216
29;V;BECO301;LIMNOLOGÍA FISICOQUÍMICA;8;3;2;5;4;BECO210
30;V;BECO302;EDUCACIÓN AMBIENTAL Y EXTENSIÓN;8;3;2;5;4;BECO203
31;V;BECO303;METEOROLOGIA Y CLIMATOLOGIA;8;3;2;5;4;EG109
32;V;BECO304;ETOLOGÍA;8;3;2;5;4;BECO215
33;V;BECO305;ECOLOGIA DE SUELOS;8;2;2;4;3;NINGUNO
34;V;BECO306;BIOINFORMATICA;8;2;2;4;3;NINGUNO
35;VI;BECO219;METODOLOGIA DE LA INVESTIGACION CIENTÍFICA;8;3;2;5;4;BECO218
