N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;EG101;COMPRENSIÓN Y ARGUMENTACIÓN;9;3;2;5;4;NINGUNO
2;I;EG102;PENSAMIENTO RACIONAL Y ETICA;9;2;2;4;3;NINGUNO
3;I;EG103;MATEMATICA BASICA;9;3;2;5;4;NINGUNO
4;I;EG104;TALLER DE INNOVACION Y EMPRENDIMIENTO;9;2;2;4;3;NINGUNO
5;I;EG105;ECOLOGIA Y DESARROLLO SOSTENIBLE;9;2;2;4;3;NINGUNO
6;I;EG113;BIOLOGÍA GENERAL;9;3;2;5;4;NINGUNO
7;II;BMI201;BIOLOGIA CELULAR;9;3;2;5;4;NINGUNO
8;II;BMIC202;BOTÁNICA CRIPTOGÁMICA;9;3;2;5;4;EG105
9;II;BMIC203;MICROBIOLOGÍA GENERAL;9;3;2;5;4;NINGUNO
10;II;EG118;QUÍMICA GENERAL;9;3;2;5;4;NINGUNO
11;II;EG119;SEGURIDAD Y DEFENSA NACIONAL;9;2;2;4;3;NINGUNO
12;II;HUM204;INGLÉS;9;2;2;4;3;NINGUNO
13;III;BMIC205;BIOESTADÍSTICA;9;3;2;5;4;EG103
14;III;BMIC206;BOTÁNICA FANEROGÁMICA;9;3;2;5;4;BMIC202
15;III;BMIC207;ZOOLOGIA DE INVERTEBRADOS;9;3;2;5;4;NINGUNO
16;III;BMIC208;GENÉTICA;9;3;2;5;4;NINGUNO
17;III;EG109;FÍSICA GENERAL;9;3;2;5;4;NINGUNO
18;III;EG115;DESARROLLO PERSONAL;9;2;2;4;3;NINGUNO
19;IV;BMIC209;DISEÑOS EXPERIMENTALES;9;3;2;5;4;BMIC205
20;IV;BMIC210;BIOSEGURIDAD;9;3;2;5;4;NINGUNO
21;IV;BMIC211;ANATOMIA HUMANA;9;3;2;5;4;NINGUNO
22;IV;BMIC212;ZOOLOGÍA DE CORDADOS;9;3;2;5;4;NINGUNO
23;IV;BMIC213;BIOQUÍMICA;9;3;2;5;4;EG118
24;V;BMIC214;HISTOLOGÍA HUMANA;9;3;2;5;4;EG113
25;V;BMIC215;FISIOLOGÍA HUMANA;9;3;2;5;4;BMIC211
26;V;BMIC216;BIOLOGÍA MOLECULAR;9;3;2;5;4;BMIC213
27;V;BMIC301;GENÉTICA MICROBIANA;9;2;2;4;3;BMIC208
28;V;BMIC302;ADMINISTRACION DE LABORATORIOS;9;3;2;5;4;BMIC210
29;V;BMIC303;MICROBIOLOGÍA AMBIENTAL;9;3;2;5;4;BMIC203
30;VI;BMIC304;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;9;3;2;5;4;BMIC209
31;VI;BMIC305;INMUNOLOGÍA CLÍNICA;9;3;2;5;4;BMIC216
32;VI;BMIC306;BIOTECNOLOGÍA MICROBIANA;9;3;2;5;4;BMIC301
33;VI;BMIC307;SALUD AMBIENTAL;9;3;2;5;4;BMIC303
34;VI;BMIC308;INSTRUMENTACIÓN EN LABORATORIO CLÍNICO;9;2;2;4;3;BMIC302
35;VI;BMIC309;EDUCACIÓN PARA LA SALUD ;9;2;2;4;3;NINGUNO
36;VI;BMIC310;GESTIÓN Y MANEJO DE RESIDUOS SÓLIDOS HOSPITALARIOS;9;2;2;4;3;NINGUNO
37;VII;BMIC311;FORMULACIÓN DE PROYECTOS DE INVESTIGACIÓN EN BIOLOGÍA DE LA SALUD;9;2;4;6;4;BMIC304
38;VII;BMIC312;BIOTECNOLOGÍA EN SALUD;9;3;2;5;4;BMIC306
39;VII;BMIC313;MICROBIOLOGÍA DE LOS ALIMENTOS;9;3;2;5;4;BMIC307
40;VII;BMIC314;ENTOMOLOGÍA MÉDICA;9;3;2;5;4;BMIC207
41;VII;BMIC315;HEMATOLOGÍA CLÍNICA;9;3;2;5;4;BMIC215
42;VIII;BMIC316;PARASITOLOGÍA CLÍNICA;9;3;2;5;4;BMIC314
43;VIII;BMIC317;CONTROL DE CALIDAD DE ALIMENTOS;9;3;2;5;4;BMIC313
44;VIII;BMIC318;BIOLOGÍA FORENSE;9;3;2;5;4;BMIC315
45;VIII;BMIC319;MICOLOGÍA CLÍNICA;9;3;2;5;4;NINGUNO
46;VIII;BMIC320;CITOLOGÍA EXFOLIATIVA;9;3;2;5;4;BMIC214
47;IX;BMIC321;SEMINARIO DE TESIS;9;2;4;6;4;BMIC311
48;IX;BMIC322;VIROLOGÍA CLÍNICA;9;3;2;5;4;BMIC319
49;IX;BMIC323;EPIDEMIOLOGÍA;9;3;2;5;4;BMIC317
50;IX;BMIC324;BACTERIOLOGÍA CLÍNICA;9;3;2;5;4;BMIC215
51;IX;BMIC325;BIOQUIMICA CLÍNICA;9;3;2;5;4;BMIC213
52;X;BMIC326;INTERNADO EN PARASITOLOGÍA CLÍNICA;9;0;8;8;4;191
53;X;BMIC327;INTERNADO EN BACTERIOLOGÍA Y MICOLOGÍA CLÍNICA;9;0;8;8;4;191
54;X;BMIC328;INTERNADO EN HEMATOLOGIA CLÍNICA;9;0;8;8;4;191
55;X;BMIC329;INTERNADO EN BIOQUÍMICA CLÍNICA;9;0;8;8;4;191
56;X;BMIC330;INTERNADO EN ANATOMÍA PATOLÓGICA;9;0;8;8;4;191
;;;;;;;;;
57;X;BMIC331;INTERNADO EN BANCO DE SANGRE;9;0;8;8;4;191
58;X;BMIC332;TRABAJO DE INVESTIGACIÓN;9;1;2;3;2;NINGUNO
