N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;EG101;COMPRENSIÓN Y ARGUMENTACIÓN;10;3;2;5;4;NINGUNO
2;I;EG102;PENSAMIENTO RACIONAL Y ETICA;10;2;2;4;3;NINGUNO
3;I;EG103;MATEMATICA BASICA;10;3;2;5;4;NINGUNO
4;I;EG104;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;10;2;2;4;3;NINGUNO
5;I;EG105;ECOLOGIA Y DESARROLLO SOSTENIBLE;10;2;2;4;3;NINGUNO
6;I;EG113;BIOLOGIA GENERAL;10;3;2;5;4;NINGUNO
7;I;EG114;ESTRATEGIAS DE APRENDIZAJE;10;2;2;4;3;NINGUNO
8;II;BPES201;BOTANICA CRIPTOGÁMICA;10;3;2;5;4;EG105
9;II;BPES202;BIOLOGIA CELULAR Y MOLECULAR;10;3;2;5;4;EG113
10;II;BPES203;ZOOLOGIA DE INVERTEBRADOS;10;3;2;5;4;NINGUNO
11;II;EG109;FISICA GENERAL;10;3;2;5;4;NINGUNO
12;II;EG118;IDENTIDAD Y DIVERSIDAD CULTURAL;10;2;2;4;3;NINGUNO
13;II;EG119;SEGURIDAD Y DEFENSA NACIONAL;10;2;2;4;3;NINGUNO
14;III;BPES;BOTÁNICA FANEROGÁMICA;10;3;2;5;4;BPES201
15;III;BPES204;BIOESTADISTICA;10;3;2;5;4;EG103
16;III;BPES206;BIOLOGÍA PESQUERA;10;3;2;5;4;BPES202
17;III;BPES207;MICROBIOLOGÍA GENERAL;10;3;2;5;4;NINGUNO
18;III;BPES208;ZOOLOGIA DE CORDADOS;10;3;2;5;4;BPES203
19;III;EG108;QUÍMICA GENERAL;10;3;2;5;4;NINGUNO
20;IV;BPES209;ECOLOGÍA APLICADA A LA PESCA Y ACUICULTURA;10;3;2;5;4;BPES
21;IV;BPES210;GENÉTICA;10;3;2;5;4;BPES206
22;IV;BPES211;BIOQUÍMICA DE ORGANISMOS ACUÁTICOS;10;3;2;5;4;EG108
23;IV;BPES212;ENTOMOLOGÍA;10;3;2;5;4;BPES208
24;IV;BPES301;MICROBIOLOGÍA Y CONTROL DE CALIDAD DE PRODUCTOS PESQUEROS;10;3;2;5;4;BPES207
25;IV;ECO213;ECONOMIA Y ADMINISTRACIÓN PESQUERA;10;3;2;5;4;NINGUNO
26;V;BPES215;QUÍMICA ANALÍTICA Y BROMATOLOGÍA PESQUERA;10;3;2;5;4;BPES211
27;V;BPES216;FISIOLOGÍA DE ORGANISMOS ACUÁTICOS;10;2;2;4;3;BPES212
28;V;BPES302;MANEJO DE ECOSISTEMAS ACUÁTICOS;10;2;2;4;3;BPES209
29;V;BPES303;REPRODUCCIÓN Y MEJORAMIENTO GENÉTICO DE PECES;10;3;2;5;4;BPES210
30;V;BPES304;METEOROLOGÍA Y CLÍMATOLOGIA;10;2;2;4;3;NINGUNO
31;V;BPES305;CULTIVO DE MICROALGAS;10;2;2;4;3;NINGUNO
32;V;EST214;DISEÑOS EXPERIMENTALES PESQUEROS;10;3;2;5;4;BPES204
33;V;HUM217;INGLÉS TÉCNICO;10;2;2;4;3;NINGUNO
34;VI;BPES306;BIOLOGIA MARINA Y PESCA SUSTENTABLE;10;3;2;5;4;BPES302
