N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;BIOLOGÍA GENERAL;0;3;2;5;4;Null
7;;I;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null
8;;II;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null
9;;II;FÍSICA GENERAL;0;3;2;5;4;Null
10;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
11;;II;BOTÁNICA CRIPTOGÁMICA;0;3;2;5;4;Null
12;;II;BIOLOGIA CELULAR Y MOLECULAR;0;3;2;5;4;Null
13;;II;ZOOLOGÌA DE INVERTEBRADOS;0;3;2;5;4;Null
14;;III;QUÍMICA GENERAL;0;3;2;5;4;Null
15;;III;BIOESTADÍSTICA;0;3;2;5;4;Null
16;;III;BOTÁNICA FANEROGÁMICA;0;3;2;5;4;Null
17;;III;BIOLOGIA PESQUERA;0;3;2;5;4;Null
18;;III;MICROBIOLOGÍA GENERAL;0;3;2;5;4;Null
19;;III;ZOOLOGÌA DE CORDADOS;0;3;2;5;4;Null
20;;IV;ECOLOGÍA APLICADA A LA PESCA Y ACUICULTURA;0;3;2;5;4;Null
21;;IV;GENÉTICA;0;3;2;5;4;Null
22;;IV;BIOQUÍMICA DE ORGANISMOS ACUÁTICOS;0;3;2;5;4;Null
23;;IV;ENTOMOLOGÍA;0;3;2;5;4;Null
24;;IV;ECONOMÍA Y ADMINISTRACIÓN PESQUERA;0;3;2;5;4;Null
25;;IV;MICROBIOLOGÍA Y CONTROL DE CALIDAD DE PRODUCTOS PESQUEROS;0;3;2;5;4;Null
26;;V;DISEÑOS EXPERIMENTALES PESQUEROS;0;3;2;5;4;Null
27;;V;QUÍMICA ANALITICA Y BROMATOLOGÍA PESQUERA;0;3;2;5;4;Null
28;;V;FISIOLOGÍA DE ORGANISMOS ACUÁTICOS;0;2;2;4;3;Null
29;;V;INGLÉS TÉCNICO;0;2;2;4;3;Null
30;;V;MANEJO DE ECOSISTEMAS ACUÁTICOS;0;2;2;4;3;Null
31;;V;REPRODUCCIÓN Y MEJORAMIENTO GENÉTICO DE PECES;0;3;2;5;4;Null
;;V;CULTIVO DE MICROALGAS;0;2;2;4;3;Null
32;;V;METEOROLOGÍA Y CLIMATOLOGÍA;0;2;2;4;3;Null
33;;VI;GESTIÓN Y CONTABILIDAD DE COSTOS DE EMPRESAS PESQUERAS;0;3;2;5;4;Null
34;;VI;BIOLOGÍA MARINA Y PESCA SUSTENTABLE;0;3;2;5;4;Null
35;;VI;NUTRICIÓN Y ALIMENTACIÓN DE PECES;0;3;2;5;4;Null
36;;VI;TECNOLOGÍA PESQUERA DE CONSERVACIÓN;0;3;2;5;4;Null
37;;VI;ICTIOLOGÍA I;0;2;2;4;3;Null
38;;VI;TOPOGRAFIA Y BATIMETRÍA;0;2;2;4;3;Null
;;VI;PRODUCTIVIDAD ACUÁTICA;0;2;2;4;3;Null
39;;VII;METODOLOGIA DE LA INVESTIGACIÓN CIENTÍFICA;0;3;2;5;4;Null
40;;VII;DINÁMICA DE POBLACIONES DE PECES;0;3;2;5;4;Null
41;;VII;ACUICULTURA;0;3;2;5;4;Null
42;;VII;TECNOLOGÍA PESQUERA DE TRANSFORMACIÓN;0;3;2;5;4;Null
43;;VII;ICTIOLOGÍA II;0;2;2;4;3;Null
44;;VII;EVALUACIÓN DEL IMPACTO AMBIENTAL PESQUERO;0;2;2;4;3;Null
;;VII;ACUAPONÍA;0;2;2;4;3;Null
45;;VIII;CONTAMINACIÓN DE ECOSISTEMAS ACUÁTICOS;0;3;2;5;4;Null
46;;VIII;COMERCIALIZACIÓN Y MARKETING DE RECURSOS HIDROBIOLÓGICOS;0;3;2;5;4;Null
47;;VIII;PESCA Y NAVEGACIÓN;0;3;2;5;4;Null
48;;VIII;TRUCHICULTURA;0;3;2;5;4;Null
49;;VIII;OCEANOGRAFÍA;0;3;2;5;4;Null
50;;VIII;LEGISLACIÓN PESQUERA;0;2;2;4;3;Null
;;VIII;SISTEMA DE INFORMACIÓN GEOGRÁFICA;0;2;2;4;3;Null
51;;IX;SEMINARIO DE TESIS;0;3;2;5;4;Null
52;;IX;ORDENAMIENTO Y DESARROLLO PESQUERO;0;3;2;5;4;Null
53;;IX;ICTIOPATOLOGÍA Y PARASITOLOGÍA;0;3;2;5;4;Null
54;;IX;DISEÑO DE INFRAESTRUCTURA Y OPERACIONES ACUÍCOLAS;0;3;2;5;4;Null
55;;IX;LIMNOLOGÍA;0;2;2;4;3;Null
56;;IX;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS PESQUEROS;0;3;2;5;4;Null
57;;X;PRÁCTICAS PRE PROFESIONALES;0;0;30;30;15;Null
;;X;TRABAJO DE INVESTIGACIÓN;0;1;2;3;2;Null
