N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;EG101;COMPRENSIÓN Y ARGUMENTACIÓN;013;3.0;2.0;5.0;4.0;NINGUNO
2;I;EG102;PENSAMIENTO RACIONAL Y ÉTICA;013;2.0;2.0;4.0;3.0;NINGUNO
3;I;EG103;MATEMÁTICA BÁSICA;013;3.0;2.0;5.0;4.0;NINGUNO
4;I;EG104;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;013;2.0;2.0;4.0;3.0;NINGUNO
5;I;EG105;ECOLOGÍA Y DESARROLLO SOSTENIBLE;013;2.0;2.0;4.0;3.0;NINGUNO
6;I;MAT201;LÓGICA MATEMÁTICA;013;2.0;2.0;4.0;3.0;NINGUNO
7;I;SIS202;TECNOLOGÍA DE PROCESAMIENTO DE INFORMACIÓN;013;2.0;2.0;4.0;3.0;NINGUNO
8;II;EG108;QUIMICA GENERAL;013;3.0;2.0;5.0;4.0;NINGUNO
9;II;EG111;CALCULO DIFERENCIAL;013;3.0;2.0;5.0;4.0;EG103
10;II;EG112;FISICA I;013;3.0;2.0;5.0;4.0;NINGUNO
11;II;EG114;ESTRATEGIAS DE APRENDIZAJE;013;2.0;2.0;4.0;3.0;NINGUNO
12;II;EG119;SEGURIDAD Y DEFENSA NACIONAL;013;2.0;2.0;4.0;3.0;NINGUNO
13;II;FIS203;LABORATORIO DE FISICA I;013;0.0;2.0;2.0;1.0;NINGUNO
14;II;MAT204;GEOMETRIA ANALITICA;013;3.0;2.0;5.0;4.0;NINGUNO
15;III;EG106;PRODUCCION DE TEXTOS ACADEMICOS;013;2.0;2.0;4.0;3.0;NINGUNO
16;III;EG110;ESTADISTICA;013;3.0;2.0;5.0;4.0;NINGUNO
17;III;FIS207;FISICA II;013;3.0;2.0;5.0;4.0;EG112
18;III;FIS208;LABORATORIO DE FISICA II;013;0.0;2.0;2.0;1.0;FIS203
19;III;MAT205;ALGEBRA I;013;4.0;2.0;6.0;5.0;MAT201
20;III;MAT206;CALCULO INTEGRAL;013;4.0;2.0;6.0;5.0;EG111
21;IV;EG115;DESARROLLO PERSONAL;013;2.0;2.0;4.0;3.0;NINGUNO
22;IV;EG116;ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD;013;2.0;2.0;4.0;3.0;NINGUNO
23;IV;EG117;TALLER DE ARTE Y CREATIVIDAD;013;2.0;2.0;4.0;3.0;NINGUNO
24;IV;EG118;IDENTIDAD Y DIVERSIDAD CULTURAL;013;2.0;2.0;4.0;3.0;NINGUNO
25;IV;EG120;GEOHISTORIA REGIONAL;013;2.0;2.0;4.0;3.0;NINGUNO
26;IV;EG121;EQUIDAD DE GENERO;013;2.0;2.0;4.0;3.0;NINGUNO
27;IV;FIS211;FISICA III;013;3.0;2.0;5.0;4.0;FIS207
28;IV;FIS212;LABORATORIO DE FÍSICA III;013;0.0;2.0;2.0;1.0;FIS208
29;IV;HUM213;INGLES BASICO;013;1.0;2.0;3.0;2.0;NINGUNO
30;IV;MAT209;ALGEBRA II;013;4.0;2.0;6.0;5.0;MAT205
31;IV;MAT210;CALCULO VECTORIAL;013;4.0;2.0;6.0;5.0;EG111
32;V;FIS215;FISICA IV;013;3.0;2.0;5.0;4.0;FIS211
33;V;FIS216;LABORATORIO DE FISICA IV;013;0.0;2.0;2.0;1.0;FIS212
34;V;FIS217;FISICA ELECTRONICA;013;2.0;2.0;4.0;3.0;FIS212
35;V;HUM220;INGLES TECNICO;013;2.0;2.0;4.0;3.0;HUM213
36;V;MAT218;ALGEBRA LINEAL Y TENSORIAL;013;3.0;2.0;5.0;4.0;MAT210
37;V;MAT219;ECUACIONES DIFERENCIALES ORDINARIAS;013;3.0;2.0;5.0;4.0;MAT206
38;V;SIS214;LENGUAJE DE PROGRAMACION;013;3.0;2.0;5.0;4.0;SIS202
39;VI;FIS223;ELECTROMAGNETISMO;013;3.0;2.0;5.0;4.0;FIS211
40;VI;FIS301;MECANICA CLASICA;013;3.0;2.0;5.0;4.0;MAT210
41;VI;FIS302;TERMODINAMICA;013;3.0;2.0;5.0;4.0;FIS207
42;VI;FIS303;FISICA MODERNA;013;3.0;2.0;5.0;4.0;FIS215
43;VI;MAT221;ECUACIONES DIFERENCIALES PARCIALES;013;3.0;2.0;5.0;4.0;MAT219
44;VI;MAT222;VARIABLE COMPLEJA;013;3.0;2.0;5.0;4.0;MAT219
45;VII;FIS224;FISICA DE LA ATMOSFERA;013;2.0;2.0;4.0;3.0;FIS302
46;VII;FIS225;FISICA COMPUTACIONAL I;013;3.0;2.0;5.0;4.0;SIS214
47;VII;FIS304;MECANICA CUANTICA I;013;3.0;2.0;5.0;4.0;FIS303
48;VII;FIS305;METODOS MATEMATICOS DE LA FISICA;013;3.0;2.0;5.0;4.0;MAT221
49;VII;FIS306;TRANSFERENCIA DE CALOR;013;3.0;2.0;5.0;4.0;FIS302
50;VII;FIS307;FISICA EXPERIMENTAL;013;2.0;4.0;6.0;4.0;FIS303
51;VIII;FIS308;ENERGIAS RENOVABLES I;013;3.0;2.0;5.0;4.0;FIS306
52;VIII;FIS309;MECANICA CUANTICA II;013;3.0;2.0;5.0;4.0;FIS304
53;VIII;FIS310;FISICA ESTADISTICA;013;3.0;2.0;5.0;4.0;FIS302
54;VIII;FIS311;FISICA DE LA TIERRA;013;3.0;2.0;5.0;4.0;FIS224
55;VIII;FIS312;FISICA COMPUTACIONAL II;013;3.0;2.0;5.0;4.0;FIS225
56;VIII;HUM313;METODOLOGIA DE LA INVESTIGACION;013;2.0;2.0;4.0;3.0;EG106
57;IX;ADM318;GESTION DE PROYECTOS;013;3.0;2.0;5.0;4.0;166.00
58;IX;FIS314;PROYECTO DE TESIS I;013;3.0;2.0;5.0;4.0;166.00
59;IX;FIS315;FISICA ATOMICA Y MOLECULAR;013;3.0;2.0;5.0;4.0;FIS309
60;IX;FIS316;FISICA DE LAS RADIACIONES;013;3.0;2.0;5.0;4.0;FIS309
61;IX;FIS317;FISICA DEL ESTADO SOLIDO;013;3.0;2.0;5.0;4.0;FIS304
62;IX;FIS319;ENERGIAS RENOVABLES II;013;3.0;2.0;5.0;4.0;FIS308
63;IX;FIS320;INTRODUCCION A LA OPTICA CUANTICA;013;3.0;2.0;5.0;4.0;FIS304
64;IX;FIS321;BIOFISICA;013;3.0;2.0;5.0;4.0;FIS307
65;X;FIS322;PRACTICAS PRE PROFESIONALES;013;2.0;4.0;6.0;4.0;200.00
66;X;FIS323;PROYECTO DE TESIS II;013;3.0;2.0;5.0;4.0;FIS314
67;X;FIS324;FISICA NUCLEAR;013;3.0;2.0;5.0;4.0;FIS315
68;X;FIS325;FISICA DE PARTICULAS;013;2.0;2.0;4.0;3.0;FIS309
69;X;FIS326;MODELACION Y SIMULACION DE SISTEMAS AMBIENTALES;013;3.0;2.0;5.0;4.0;FIS312
70;X;FIS327;METODOS EXPERIMENTALES EN FISICA DEL ESTADO SOLIDO;013;3.0;2.0;5.0;4.0;FIS317
71;X;FIS328;FISICA MEDICA;013;3.0;2.0;5.0;4.0;FIS316
72;X;FIS329;RELATIVIDAD;013;3.0;2.0;5.0;4.0;FIS309
73;X;FIS330;"ANALISIS DE DATOS Y SIMULACION DE PROCESOS EN FISICA
MODERNA";013;3.0;2.0;5.0;4.0;FIS312
74;X;FIS331;METEOROLOGIA Y CLIMATOLOGIA;013;3.0;2.0;5.0;4.0;FIS224
