N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;EG101;COMPRENSIÓN Y ARGUMENTACIÓN;014;3.0;2.0;5.0;4.0;NINGUNO
2;I;EG102;PENSAMIENTO RACIONAL Y ÉTICA;014;2.0;2.0;4.0;3.0;NINGUNO
3;I;EG103;MATEMÁTICA BÁSICA;014;3.0;2.0;5.0;4.0;NINGUNO
4;I;EG104;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;014;2.0;2.0;4.0;3.0;NINGUNO
5;I;EG105;ECOLOGÍA Y DESARROLLO SOSTENIBLE;014;2.0;2.0;4.0;3.0;NINGUNO
6;I;MAT201;LÓGICA MATEMÁTICA;014;2.0;2.0;4.0;3.0;NINGUNO
7;I;SIS202;TECNOLOGÍA DE PROCESAMIENTO DE INFORMACIÓN;014;2.0;2.0;4.0;3.0;NINGUNO
8;II;EG108;QUIMICA GENERAL;014;3.0;2.0;5.0;4.0;NINGUNO
9;II;EG111;CALCULO DIFERENCIAL;014;3.0;2.0;5.0;4.0;EG103
10;II;EG112;FISICA I;014;3.0;2.0;5.0;4.0;NINGUNO
11;II;EG114;ESTRATEGIAS DE APRENDIZAJE;014;2.0;2.0;4.0;3.0;NINGUNO
12;II;EG119;SEGURIDAD Y DEFENSA NACIONAL;014;2.0;2.0;4.0;3.0;NINGUNO
13;II;FIS203;LABORATORIO DE FISICA I;014;0.0;2.0;2.0;1.0;NINGUNO
14;II;MAT204;GEOMETRIA ANALITICA;014;3.0;2.0;5.0;4.0;NINGUNO
15;III;EG106;PRODUCCION DE TEXTOS ACADEMICOS;014;2.0;2.0;4.0;3.0;NINGUNO
16;III;EG110;ESTADISTICA;014;3.0;2.0;5.0;4.0;NINGUNO
17;III;FIS207;FISICA II;014;3.0;2.0;5.0;4.0;EG112
18;III;FIS208;LABORATORIO DE FISICA II;014;0.0;2.0;2.0;1.0;EG112
19;III;MAT205;ALGEBRA I;014;4.0;2.0;6.0;5.0;MAT201
20;III;MAT206;CALCULO INTEGRAL;014;4.0;2.0;6.0;5.0;EG111
21;IV;EG115;DESARROLLO PERSONAL;014;2.0;2.0;4.0;3.0;NINGUNO
22;IV;EG116;ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD;014;2.0;2.0;4.0;3.0;NINGUNO
23;IV;EG117;TALLER DE ARTE Y CREATIVIDAD;014;2.0;2.0;4.0;3.0;NINGUNO
24;IV;EG118;IDENTIDAD Y DIVERSIDAD CULTURAL;014;2.0;2.0;4.0;3.0;NINGUNO
25;IV;EG120;GEOHISTORIA REGIONAL;014;2.0;2.0;4.0;3.0;NINGUNO
26;IV;EG121;EQUIDAD DE GENERO;014;2.0;2.0;4.0;3.0;NINGUNO
27;IV;FIS211;FISICA III;014;3.0;2.0;5.0;4.0;FIS208
28;IV;FIS212;LABORATORIO DE FISICA III;014;0.0;2.0;2.0;1.0;FIS207
29;IV;HUM213;INGLES BASICO;014;1.0;2.0;3.0;2.0;NINGUNO
30;IV;MAT209;ALGEBRA II;014;4.0;2.0;6.0;5.0;MAT205
