N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;CON201;INDUCCIÓN Y FUNDAMENTOS DE LAS CIENCIAS CONTABLES;0;3;2;5;4;NINGUNO
2;I;CON202;FUNDAMENTOS DE INFORMÁTICA CONTABLE;0;3;0;3;3;NINGUNO
3;I;EG101;COMPRENSION Y ARGUMENTACION;0;3;2;5;4;NINGUNO
4;I;EG102;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;NINGUNO
5;I;EG103;MATEMATICA BASICA;0;3;2;5;4;NINGUNO
6;I;EG104;TALLER DE INNOVACION Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
7;I;EG105;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
8;II;ADM204;GESTIÓN ADMINISTRATIVA Y MARKETING ESTRATÉGICO;0;3;0;3;3;EG104
9;II;CON203;DOCUMENTACIÓN CONTABLE Y TRIBUTARIA;0;3;2;5;4;NINGUNO
10;II;CON205;CONTABILIDAD FINANCIERA BÁSICA;0;3;2;5;4;CON201
11;II;ECO206;ECONOMÍA;0;2;2;4;3;NINGUNO
12;II;EG111;CALCULO DIFERENCIAL;0;3;2;5;4;EG103
13;II;EG118;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;NINGUNO
14;II;EG119;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
15;III;CON207;GESTIÓN Y LEGISLACIÓN LABORAL;0;3;2;5;4;ADM204
16;III;CON209;CONTABILIDAD FINANCIERA INTERMEDIA;0;3;2;5;4;CON205
17;III;CON210;DOCTRINA Y CÓDIGO TRIBUTARIO;0;2;2;4;3;CON203
18;III;DER208;DERECHO CONSTITUCIONAL Y CIVIL;0;3;0;3;3;ECO206
19;III;EG110;ESTADÍSTICA;0;3;2;5;4;NINGUNO
20;III;EG115;DESARROLLO PERSONAL;0;2;2;4;3;NINGUNO
21;III;EG116;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;0;2;2;4;3;NINGUNO
22;IV;CON211;MATEMÁTICA FINANCIERA;0;3;2;5;4;EG110
23;IV;CON212;CONTABILIDAD DE SOCIEDADES;0;3;2;5;4;CON209
24;IV;CON213;GESTIÓN GUBERNAMENTAL;0;2;2;4;3;DER208
25;IV;CON214;CONTABILIDAD DE IMPUESTOS INDIRECTOS;0;3;2;5;4;CON210
26;IV;CON215;GESTIÓN DEL TALENTO HUMANO;0;2;2;4;3;CON207
27;IV;CON216;CONTABILIDAD DE COSTOS BÁSICOS;0;3;2;5;4;CON209
28;V;CON217;CONTABILIDAD DE COSTOS INTERMEDIOS;0;3;2;5;4;CON216
29;V;CON218;ÉTICA DEL CONTADOR Y RESPONSABILIDAD SOCIAL;0;3;0;3;3;CON215
30;V;CON219;ADMINISTRACIÓN FINANCIERA;0;2;2;4;3;CON211
31;V;CON220;CONTABILIDAD DE IMPUESTOS DIRECTOS;0;3;2;5;4;CON214
32;V;CON221;PRESUPUESTO Y FINANZAS PUBLICAS;0;2;2;4;3;CON213
33;V;CON222;TECNOLOGÍAS DE INFORMACIÓN CONTABLE;0;2;2;4;3;CON202
34;V;CON223;NIIFs. PARA EL ESTADO DE SITUACIÓN FINANCIERA;0;3;2;5;4;CON212
35;VI;CON224;GESTIÓN Y ASESORAMIENTO TRIBUTARIO DE MiPymes;0;3;2;5;4;CON220
36;VI;CON225;DESARROLLO DE SISTEMAS DE INFORMACIÓN CONTABLE;0;2;2;4;3;CON222
37;VI;CON226;CONTABILIDAD DE SERVICIOS;0;2;2;4;3;CON217
38;VI;CON227;INGLES TÉCNICO;0;3;0;3;3;NINGUNO
39;VI;CON228;CONTRATACIONES DEL ESTADO;0;3;2;5;4;CON221
40;VI;CON229;NIIFs. PARA EL ESTADO DE RESULTADOS;0;3;2;5;4;CON223
41;VI;CON230;FINANZAS CORPORATIVAS;0;2;2;4;3;CON219
42;VII;CON231;PLANEAMIENTO TRIBUTARIO;0;2;2;4;3;CON224
43;VII;CON232;FORMULACIÓN DE ESTADOS FINANCIEROS PRIVADOS;0;2;4;6;4;CON229
44;VII;CON233;CONTABILIDAD AGROPECUARIA E INDUSTRIAS EXTRACTIVAS;0;2;4;6;4;CON226
45;VII;CON301;CONTABILIDAD Y GESTIÓN DE COMERCIO INTERNACIONAL;0;2;2;4;3;CON226
46;VII;CON302;CONTABILIDAD GUBERNAMENTAL: SIAF;0;3;2;5;4;CON228
47;VII;CON303;GESTIÓN DE INVERSIÓN PÚBLICA Y PRIVADA;0;3;2;5;4;NINGUNO
48;VIII;CON234;INTRODUCCIÓN, MÉTODOS Y TÉCNICAS DE LA INVESTIGACIÓN;0;2;2;4;3;NINGUNO
49;VIII;CON235;TRIBUTACIÓN MUNICIPAL;0;3;2;5;4;CON231
50;VIII;CON236;ANÁLISIS E INTERPRETACIÓN DE ESTADOS FINANCIEROS;0;3;2;5;4;CON232
51;VIII;CON304;FORMULACIÓN DE ESTADOS FINANCIEROS Y PRESUPUESTARIOS PÚBLICOS;0;3;2;5;4;CON302
52;VIII;CON305;GABINETE DE CONTABILIDAD Y GESTIÓN PRIVADA;0;2;2;4;3;CON303
53;VIII;CON306;GESTIÓN DE INSTITUCIONES FINANCIERAS;0;2;2;4;3;CON230
54;VIII;CON307;CONTABILIDAD MINERA ;0;3;0;3;3;CON230
55;VIII;CON308;"MERCADO DE VALORES SEGUROS Y REASEGUROS
";0;3;0;3;3;CON230
56;VIII;CON309;"CONTABILIDAD DE INDUSTRIAS DE LA CONSTRUCCIÓN
";0;3;0;3;3;CON230
57;IX;CON237;DISEÑO DE PROYECTOS DE INVESTIGACIÓN CIENTÍFICA;0;2;2;4;3;CON234
58;IX;CON310;PERITAJE, CONTABLE, JUDICIAL Y FISCAL;0;2;2;4;3;CON236
59;IX;CON311;PRÁCTICAS PRE-PROFESIONALES PRIVADAS;0;1;4;5;3;CON305
60;IX;CON312;GABINETE DE CONTABILIDAD Y GESTIÓN PUBLICA;0;2;2;4;3;CON305
61;IX;CON313;AUDITORIA GUBERNAMENTAL;0;3;2;5;4;CON304
62;IX;CON314;MÉTODOS CUANTITATIVOS PARA LOS NEGOCIOS;0;2;2;4;3;CON306
63;IX;CON315;AUDITORÍA FINANCIERA;0;3;2;5;4;CON236
64;X;CON238;DESARROLLO DEL TRABAJO DE INVESTIGACIÓN CIENTÍFICA;0;2;2;4;3;CON237
65;X;CON316;CONTABILIDAD GERENCIAL;0;3;2;5;4;CON301
66;X;CON317;PRÁCTICAS PRE-PROFESIONALES PUBLICAS;0;1;4;5;3;CON312
67;X;CON318;GESTIÓN INTEGRAL DE RIESGOS FINANCIEROS;0;2;2;4;3;CON314
68;X;CON319;AUDITORÍA FORENSE, FRAUDE Y DELITOS ECONÓMICOS;0;2;2;4;3;CON313
69;X;CON320;AUDITORÍA TRIBUTARIA;0;3;2;5;4;CON315
70;X;CON321;CONTABILIDAD Y AUDITORÍA AMBIENTAL DE EMPRESAS;0;3;2;5;4;CON313
71;X;CON238;TRABAJO DE INVESTIGACIÓN;0;2;2;4;3;CON237
