N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
3;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
4;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
5;;I;INDUCCIÓN Y FUNDAMENTOS DE LAS CIENCIAS CONTABLES;0;3;2;5;4;Null
6;;I;FUNDAMENTOS DE INFORMÁTICA CONTABLE;0;3;0;3;3;Null
7;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
8;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
9;;II;DOCUMENTACIÓN CONTABLE Y TRIBUTARIA;0;3;2;5;4;Null
10;;II;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null
11;;II;CALCULO DIFERENCIAL;0;3;2;5;4;Null
12;;II;GESTIÓN ADMINISTRATIVA Y MARKETING ESTRATÉGICO;0;3;0;3;3;Null
13;;II;CONTABILIDAD FINANCIERA BÁSICA;0;3;2;5;4;Null
14;;II;ECONOMÍA;0;2;2;4;3;Null
15;;III;ESTADÍSTICA;0;3;2;5;4;Null
16;;III;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;0;2;2;4;3;Null
17;;III;DESARROLLO PERSONAL;0;2;2;4;3;Null
18;;III;GESTIÓN Y LEGISLACIÓN LABORAL;0;3;2;5;4;Null
19;;III;DERECHO CONSTITUCIONAL Y CIVIL;0;3;0;3;3;Null
20;;III;CONTABILIDAD FINANCIERA INTERMEDIA;0;3;2;5;4;Null
21;;III;DOCTRINA Y CÓDIGO TRIBUTARIO;0;2;2;4;3;Null
22;;IV;MATEMÁTICA FINANCIERA;0;3;2;5;4;Null
23;;IV;CONTABILIDAD DE SOCIEDADES;0;3;2;5;4;Null
24;;IV;GESTIÓN GUBERNAMENTAL;0;2;2;4;3;Null
25;;IV;CONTABILIDAD DE IMPUESTOS INDIRECTOS;0;3;2;5;4;Null
26;;IV;GESTIÓN DEL TALENTO HUMANO;0;2;2;4;3;Null
27;;IV;CONTABILIDAD DE COSTOS BÁSICOS;0;3;2;5;4;Null
28;;V;CONTABILIDAD DE COSTOS INTERMEDIOS;0;3;2;5;4;Null
29;;V;ÉTICA DEL CONTADOR Y RESPONSABILIDAD SOCIAL;0;3;0;3;3;Null
30;;V;ADMINISTRACIÓN FINANCIERA;0;2;2;4;3;Null
31;;V;CONTABILIDAD DE IMPUESTOS DIRECTOS;0;3;2;5;4;Null
32;;V;PRESUPUESTO Y FINANZAS PUBLICAS;0;2;2;4;3;Null
33;;V;TECNOLOGÍAS DE INFORMACIÓN CONTABLE;0;2;2;4;3;Null
34;;V;NIIFS. PARA EL ESTADO DE SITUACIÓN FINANCIERA;0;3;2;5;4;Null
35;;VI;GESTIÓN Y ASESORAMIENTO TRIBUTARIO DE MIPYMES;0;3;2;5;4;Null
36;;VI;DESARROLLO DE SISTEMAS DE INFORMACIÓN CONTABLE;0;2;2;4;3;Null
37;;VI;CONTABILIDAD DE SERVICIOS;0;2;2;4;3;Null
38;;VI;INGLES TÉCNICO;0;3;0;3;3;Null
39;;VI;CONTRATACIONES DEL ESTADO;0;3;2;5;4;Null
40;;VI;NIIFS. PARA EL ESTADO DE RESULTADOS;0;3;2;5;4;Null
41;;VI;FINANZAS CORPORATIVAS;0;2;2;4;3;Null
42;;VII;PLANEAMIENTO TRIBUTARIO;0;2;2;4;3;Null
43;;VII;FORMULACIÓN DE ESTADOS FINANCIEROS PRIVADOS;0;2;4;6;4;Null
44;;VII;CONTABILIDAD AGROPECUARIA E INDUSTRIAS EXTRACTIVAS;0;2;4;6;4;Null
45;;VII;CONTABILIDAD Y GESTIÓN DE COMERCIO INTERNACIONAL;0;2;2;4;3;Null
46;;VII;CONTABILIDAD GUBERNAMENTAL: SIAF;0;3;2;5;4;Null
47;;VII;GESTIÓN DE INVERSIÓN PÚBLICA Y PRIVADA;0;3;2;5;4;Null
48;;VIII;INTRODUCCIÓN, MÉTODOS Y TÉCNICAS DE LA INVESTIGACIÓN;0;2;2;4;3;Null
49;;VIII;FORMULACIÓN DE ESTADOS FINANCIEROS Y PRESUPUESTARIOS PÚBLICOS;0;3;2;5;4;Null
50;;VIII;TRIBUTACIÓN MUNICIPAL;0;3;2;5;4;Null
51;;VIII;GABINETE DE CONTABILIDAD Y GESTIÓN PRIVADA;0;2;2;4;3;Null
52;;VIII;CONTABILIDAD MINERA;0;3;0;3;3;Null
52;;VIII; MERCADO DE VALORES SEGUROS Y REASEGUROS;0;3;0;3;3;Null
52;;VIII;CONTABILIDAD DE INDUSTRIAS DE LA CONSTRUCCIÓN;0;3;0;3;3;Null
53;;VIII;GESTIÓN DE INSTITUCIONES FINANCIERAS;0;2;2;4;3;Null
54;;VIII;ANÁLISIS E INTERPRETACIÓN DE ESTADOS FINANCIEROS;0;3;2;5;4;Null
55;;IX;DISEÑO DE PROYECTOS DE INVESTIGACIÓN CIENTÍFICA;0;2;2;4;3;Null
56;;IX;PERITAJE, CONTABLE, JUDICIAL Y FISCAL;0;2;2;4;3;Null
57;;IX;PRACTICAS PRE-PROFESIONALES PRIVADAS;0;1;4;5;3;Null
58;;IX;GABINETE DE CONTABILIDAD Y GESTIÓN PUBLICA;0;2;2;4;3;Null
59;;IX;AUDITORIA GUBERNAMENTAL;0;3;2;5;4;Null
60;;IX;MÉTODOS CUANTITATIVOS PARA LOS NEGOCIOS;0;2;2;4;3;Null
61;;IX;AUDITORÍA FINANCIERA;0;3;2;5;4;Null
62;;X;TRABAJO DE INVESTIGACIÓN;0;2;2;4;3;Null
63;;X;CONTABILIDAD GERENCIAL;0;3;2;5;4;Null
64;;X;PRACTICAS PRE-PROFESIONALES PUBLICAS;0;1;4;5;3;Null
65;;X;GESTIÓN INTEGRAL DE RIESGOS FINANCIEROS;0;2;2;4;3;Null
66;;X;AUDITORIA FORENSE, FRAUDE Y DELITOS ECONÓMICOS;0;2;2;4;3;Null
67;;X;AUDITORIA TRIBUTARIA;0;3;2;5;4;Null
68;;X;CONTABILIDAD Y AUDITORÍA AMBIENTAL DE EMPRESAS;0;3;2;5;4;Null
