N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;COS201;Introducción a las ciencias de la comunicación;00;4.0;2.0;6.0;5.0;NINGUNO
2;I;EG101;Comprensión y Argumentación;00;3.0;2.0;5.0;4.0;NINGUNO
3;I;EG102;Pensamiento racional y ética;00;2.0;2.0;4.0;3.0;NINGUNO
4;I;EG103;Matemática básica;00;3.0;2.0;5.0;4.0;NINGUNO
5;I;EG104;Taller de innovación y emprendimiento;00;2.0;2.0;4.0;3.0;NINGUNO
6;I;EG105;Ecología y desarrollo sostenible;00;2.0;2.0;4.0;3.0;NINGUNO
7;II;COS202;Comunicación intercultural;00;2.0;2.0;4.0;3.0;NINGUNO
8;II;COS203;Creatividad en comunicación;00;2.0;2.0;4.0;3.0;NINGUNO
9;II;COS204;Taller de expresión oral;00;1.0;4.0;5.0;3.0;NINGUNO
10;II;COS301;Lenguaje de los medios;00;3.0;2.0;5.0;4.0;NINGUNO
11;II;EG106;Producción de textos académicos;00;2.0;2.0;4.0;3.0;NINGUNO
12;II;EG114;Estrategias de aprendizaje;00;2.0;2.0;4.0;3.0;NINGUNO
13;II;EG115;Desarrollo personal;00;2.0;2.0;4.0;3.0;NINGUNO
14;III;COS205;Teorías de la comunicación;00;3.0;2.0;5.0;4.0;NINGUNO
15;III;COS302;Fotografía;00;4.0;2.0;6.0;5.0;NINGUNO
16;III;COS303;Fundamentos de marketing;00;2.0;2.0;4.0;3.0;NINGUNO
17;III;COS304;Taller de redacción periodística I;00;2.0;4.0;6.0;4.0;NINGUNO
18;III;EG118;Identidad y diversidad cultural;00;2.0;2.0;4.0;3.0;NINGUNO
19;III;EG119;Seguridad y defensa nacional;00;2.0;2.0;4.0;3.0;NINGUNO
20;IV;COS305;Taller de producción fotográfica;00;2.0;4.0;6.0;4.0;NINGUNO
21;IV;COS306;Diseño gráfico;00;3.0;2.0;5.0;4.0;NINGUNO
22;IV;COS307;Investigación de mercados;00;2.0;2.0;4.0;3.0;NINGUNO
23;IV;COS308;Comunicación y relaciones humanas;00;2.0;2.0;4.0;3.0;NINGUNO
24;IV;COS309;Taller de redacción periodística II;00;2.0;4.0;6.0;4.0;COS304
25;IV;EG110;Estadística;00;3.0;2.0;5.0;4.0;NINGUNO
26;V;COS206;Diagnóstico de la comunicación;00;3.0;2.0;5.0;4.0;NINGUNO
27;V;COS310;Taller de diseño gráfico;00;3.0;2.0;5.0;4.0;NINGUNO
28;V;COS311;Producción en audio;00;3.0;2.0;5.0;4.0;NINGUNO
29;V;COS312;Dirección de marketing estratégico;00;3.0;2.0;5.0;4.0;COS303
