N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSION Y ARGUMENTACION;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMATICA BASICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;INTRODUCCIÓN A LAS CIENCIAS DE LA COMUNICACIÓN;0;4;2;6;5;Null
7;;II;PRODUCCION DE TEXTOS ACADEMICOS;0;2;2;4;3;Null
8;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null
9;;II;DESARROLLO PERSONAL;0;2;2;4;3;Null
10;;II;COMUNICACIÓN INTERCULTURAL;0;2;2;4;3;Null
11;;II;CREATIVIDAD EN COMUNICACIÓN;0;2;2;4;3;Null
12;;II;TALLER DE EXPRESION ORAL;0;1;4;5;3;Null
13;;II;LENGUAJE DE LOS MEDIOS;0;3;2;5;4;Null
14;;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
15;;III;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null
16;;III;TEORIAS DE LA COMUNICACIÓN;0;3;2;5;4;Null
17;;III;FOTOGRAFIA;0;4;2;6;5;Null
18;;III;FUNDAMENTOS DE MARKETING;0;2;2;4;3;Null
19;;III;TALLER DE REDACCION PERIODISTICA I;0;2;4;6;4;Null
20;;IV;ESTADISTICA;0;3;2;5;4;Null
21;;IV;TALLER DE PRODUCCION FOTOGRAFICA;0;2;4;6;4;Null
22;;IV;DISEÑO GRAFICO;0;3;2;5;4;Null
23;;IV;INVESTIGACION DE MERCADOS;0;2;2;4;3;Null
24;;IV;COMUNICACIÓN Y RELACIONES HUMANAS;0;2;2;4;3;Null
25;;IV;TALLER DE REDACCION PERIODISTICA II;0;2;4;6;4;Null
26;;V;DIAGNOSTICO DE LA COMUNICACIÓN;0;3;2;5;4;Null
27;;V;TALLER DE DISEÑO GRAFICO;0;3;2;5;4;Null
28;;V;PRODUCCION EN AUDIO;0;3;2;5;4;Null
29;;V;DIRECCION DE MARKETING ESTRATEGICO;0;3;2;5;4;Null
30;;V;"TEORÍAS Y MODELOS DE LA COMUNICACIÓN PARA EL DESARROLLO	";0;3;2;5;4;Null
31;;V;COMUNICACIÓN EN LAS ORGANIZACIONES;0;3;2;5;4;Null
32;;VI;ANÁLISIS Y CRÍTICA DE CINE;0;2;2;4;3;Null
33;;VI;GESTIÓN DE EMPRESAS COMUNICACIONALES;0;2;2;4;3;Null
34;;VI;METODOLOGIA DE LA INVESTIGACION CIENTIFICA;0;3;2;5;4;Null
35;;VI;TALLER DE PRODUCCION EN AUDIO;0;2;4;6;4;Null
36;;VI;MARKETING DIGITAL;0;2;2;4;3;Null
37;;VI;ESTRATEGIAS DE COMUNICACIÓN PARA EL DESARROLLO;0;3;2;5;4;Null
38;;VI;TALLER DE PERIODISMO;0;2;4;6;4;Null
39;;VII;COMUNICACIÓN, ESTADO Y CIUDADANIA;0;3;2;5;4;Null
40;;VII;METODOS Y TECNICAS DE INVESTIGACION EN COMUNICACIÓN;0;3;2;5;4;Null
41;;VII;PRODUCCION AUDIOVISUAL;0;4;2;6;5;Null
42;;VII;MARKETING SOCIAL Y POLITICO;0;2;2;4;3;Null
43;;VII;TALLER DE CAMPAÑAS SOCIALES;0;3;2;5;4;Null
44;;VII;PLANIFICACION DE LA COMUNICACIÓN ORGANIZACIONAL;0;3;2;5;4;Null
45;;VIII;TALLER DE PROYECTOS DE INVESTIGACION EN COMUNICACIÓN;0;2;4;6;4;Null
46;;VIII;TALLER DE PRODUCCION AUDIOVISUAL;0;2;4;6;4;Null
47;;VIII;COMUNICACIÓN PUBLICITARIA;0;2;2;4;3;Null
48;;VIII;RELACIONES COMUNITARIAS Y RESOLUCION DE CONFLICTOS;0;2;2;4;3;Null
49;;VIII;EVENTOS Y PROTOCOLO INSTITUCIONAL;0;3;2;5;4;Null
50;;VIII;PERIODISMO MULTIMEDIA;0;3;2;5;4;Null
51;;IX;OPINION PUBLICA;0;2;2;4;3;Null
52;;IX;DEONTOLOGIA Y LEGISLACION DE LA COMUNICACIÓN;0;2;2;4;3;Null
53;;IX;TALLER DE COMUNIDADES VIRTUALES;0;2;4;6;4;Null
54;;IX;TALLER DE COMUNICACIÓN PUBLICITARIA;0;2;4;6;4;Null
55;;IX;PROYECTOS DE COMUNICACIÓN PARA EL DESARROLLO;0;2;2;4;3;Null
56;;IX;TALLER DE COMUNICACIÓN ORGANIZACIONAL;0;2;4;6;4;Null
57;;X;SEMINARIO DE TESIS;0;3;2;5;4;Null
58;;X;EVALUACION Y SISTEMATIZACION DE PROYECTOS;0;2;2;4;3;Null
59;;X;PRACTICAS PRE-PROFESIONALES EN COMUNICACIÓN SOCIAL;0;2;4;6;4;Null
60;;X;IDIOMA NATIVO AYMARA ;0;2;2;4;3;Null
61;;X;IDIOMA NATIVO QUECHUA;0;2;2;4;3;Null
62;;X;TRABAJO DE INVESTIGACIÓN;0;1;4;5;3;Null
