N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null
7;;I;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;Null
8;;II;EPISTEMOLOGÍA;0;2;2;4;3;Null
9;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
10;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null
11;;II;EQUIDAD DE GÉNERO;0;2;2;4;3;Null
12;;II;CIUDADANÍA Y RESPONSABILIDAD SOCIAL;0;3;2;5;4;Null
13;;II;INTRODUCCIÓN AL DERECHO;0;4;0;4;4;Null
14;;II;SOCIOLOGÍA Y ANTROPOLOGÍA JURÍDICA;0;3;2;5;4;Null
15;;III;DERECHO, ROMANO, GERMANICO Y ANGLO SAJÓN;0;2;2;4;3;Null
16;;III;TEORÍA DE ESTADO;0;2;0;2;2;Null
17;;III;TEORÍA DEL CONFLICTO, CONCILIACIÓN Y ARBITRAJE;0;2;2;4;3;Null
18;;III;ANATOMÍA Y MEDICINA LEGAL;0;3;2;5;4;Null
19;;III;DERECHO DE PROPIEDAD INTELECTUAL Y DERECHO DE LA COMPETENCIA;0;2;2;4;3;Null
20;;III;DERECHO EMPRESARIAL Y DE SOCIEDADES;0;3;0;3;3;Null
21;;III;DERECHOS DE COMUNIDADES CAMPESINAS, NATIVAS Y RECURSOS HÍDRICOS;0;2;2;4;3;Null
22;;III;ARGUMENTACIÓN JURÍDICA;0;2;2;4;3;Null
23;;IV;POLÍTICAS PÚBLICAS Y GESTIÓN PÚBLICA;0;2;0;2;2;Null
24;;IV;DERECHOS HUMANOS I;0;2;2;4;3;Null
25;;IV;FILOSOFÍA DEL DERECHO;0;3;2;5;4;Null
26;;IV;DERECHO CONSTITUCIONAL GENERAL;0;3;2;5;4;Null
27;;IV;DERECHOS DEL CONSUMIDOR Y DERECHO REGULATORIO;0;2;2;4;3;Null
28;;IV;DERECHO NACIONAL, REGIONAL, MUNICIPAL Y LOPE;0;3;0;3;3;Null
29;;IV;DESARROLLO TECNOLÓGICO E INNOVACIÓN Y PUBLICACIÓN ACADÉMICA;0;2;2;4;3;Null
30;;IV;MARCS NO INSTITUCIONALIZADOS Y JUSTICIA ALTERNATIVA;0;1;2;3;2;Null
31;;V;INGLÉS;0;1;2;3;2;Null
32;;V;DERECHOS HUMANOS II;0;2;2;4;3;Null
33;;V;DERECHO CONSTITUCIONAL DEL PERÚ;0;3;2;5;4;Null
34;;V;METODOLOGÍA DE LA INVESTIGACIÓN;0;3;2;5;4;Null
35;;V;DERECHO AMBIENTAL Y ECOLÓGICO;0;3;0;3;3;Null
36;;V;DERECHO CIVIL I: PRINCIPIOS DEL DERECHO CIVIL Y DERECHOS DE LAS PERSONAS;0;3;2;5;4;Null
37;;V;DERECHO PENAL GENERAL I;0;3;2;5;4;Null
38;;VI;TEORÍA GENERAL DEL PROCESO (PENAL, CIVIL, LABORAL, CONSTITUCIONAL Y CONT.ADMIN);0;3;2;5;4;Null
39;;VI;DERECHO CIVIL II: ACTO JURÍDICO, NEGOCIO JURÍDICO, PRESCRIPCIÓN Y CADUCIDAD;0;3;2;5;4;Null
40;;VI;DERECHO PROCESAL CIVIL I;0;3;2;5;4;Null
41;;VI;CRIMINOLOGÍA;0;2;2;4;3;Null
42;;VI;DERECHO DE TÍTULOS VALORES Y BANCARIO;0;2;2;4;3;Null
43;;VI;DERECHO LABORAL COLECTIVO;0;3;0;3;3;Null
44;;VI;SEMINARIO DE DERECHO AMBIENTAL;0;2;2;4;3;Null
45;;VII;DERECHO CIVIL III: DERECHOS REALES;0;3;2;5;4;Null
46;;VII;DERECHO PROCESAL CIVIL II;0;3;2;5;4;Null
47;;VII;DERECHO PENAL GENERAL II;0;3;2;5;4;Null
48;;VII;DERECHO PROCESAL PENAL I;0;3;2;5;4;Null
49;;VII;DERECHO LABORAL INDIVIDUAL;0;3;2;5;4;Null
50;;VII;PLURALISMO JURÍDICO SOCIAL;0;3;2;5;4;Null
51;;VIII;DERECHO PROCESAL CONSTITUCIONAL I;0;2;2;4;3;Null
52;;VIII;DERECHO CIVIL IV: OBLIGACIONES;0;3;2;5;4;Null
53;;VIII;DERECHO PROCESAL CIVIL III;0;3;2;5;4;Null
54;;VIII;DERECHO PENAL ESPECIAL I;0;3;0;3;3;Null
55;;VIII;DERECHO PROCESAL PENAL II;0;3;2;5;4;Null
56;;VIII;DERECHO NOTARIAL;0;2;2;4;3;Null
57;;VIII;DERECHO ADMINISTRATIVO I;0;2;2;4;3;Null
58;;IX;DERECHO PROCESAL CONSTITUCIONAL II;0;2;2;4;3;Null
59;;IX;DERECHO CIVIL V: DERECHO DE CONTRATOS;0;2;2;4;3;Null
60;;IX;DERECHO PENAL ESPECIAL II;0;3;0;3;3;Null
61;;IX;DERECHO PROCESAL PENAL III;0;3;2;5;4;Null
62;;IX;DERECHO REGISTRAL;0;2;2;4;3;Null
63;;IX;DERECHO ADMINISTRATIVO II;0;2;2;4;3;Null
64;;IX;GOBIERNO DIGITAL Y DERECHO INFORMÁTICO;0;2;0;2;2;Null
