N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;CCSS201;HISTORIA DE LA EDUCACION;38;2;2;4;3;NINGUNO
2;I;EG101;COMPRENSIÓN Y ARGUMENTACIÓN;38;3;2;5;4;NINGUNO
3;I;EG102;PENSAMIENTO RACIONAL Y ETICA;38;2;2;4;3;NINGUNO
4;I;EG103;MATEMATICA BASICA;38;3;2;5;4;NINGUNO
5;I;EG104;TALLER DE INNOVACION Y EMPRENDIMIENTO;38;2;2;4;3;NINGUNO
6;I;EG105;ECOLOGIA Y DESARROLLO SOSTENIBLE;38;2;2;4;3;NINGUNO
7;I;EG121;EQUIDAD DE GENERO;38;2;2;4;3;NINGUNO
8;II;CCSS202;TEORÍA DE LA EDUCACION;38;3;2;5;4;NINGUNO
9;II;CCSS203;PRE HISTORIA E HISTORIA DE LA SOCIEDAD ANTIGUA;38;4;2;6;5;NINGUNO
10;II;CCSS204;ENFOQUES PEDAGÓGICOS CONTEMPORÁNEOS;38;4;2;6;5;NINGUNO
11;II;CCSS205;IDIOMA INGLÉS I ;38;2;2;4;3;NINGUNO
12;II;CCSS206;IDIOMA QUECHUA I ;38;2;2;4;3;NINGUNO
13;II;CCSS207;IDIOMA AIMARA I ;38;2;2;4;3;NINGUNO
14;II;EG114;ESTRATEGIAS DE APRENDIZAJE;38;2;2;4;3;NINGUNO
15;II;EG115;DESARROLLO PERSONAL;38;2;2;4;3;NINGUNO
16;III;CCSS208;HISTORIA DE LA SOCIEDAD MEDIEVAL Y MODERNA;38;4;2;6;5;NINGUNO
17;III;CCSS209;FUENTES DE LA HISTORIA;38;2;2;4;3;NINGUNO
18;III;CCSS211;DESARROLLO DE LA PERSONALIDAD E IDENTIDAD;38;2;2;4;3;NINGUNO
19;III;CCSS212;IDIOMA INGLÉS- II ;38;2;2;4;3;NINGUNO
20;III;CCSS213;IDIOMA QUECHUA-II ;38;2;2;4;3;NINGUNO
21;III;CCSS214;IDIOMA AIMARA- II ;38;2;2;4;3;NINGUNO
22;III;EG118;IDENTIDAD Y DIVERSIDAD CULTURAL;38;2;2;4;3;NINGUNO
