N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;HISTORIA DE LA EDUCACION;0;2;2;4;3;Null
2;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
3;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
4;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
5;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
6;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
7;;I;EQUIDAD DE GÉNERO;0;2;2;4;3;Null
8;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null
9;;II;DESARROLLO PERSONAL;0;2;2;4;3;Null
10;;II;TEORÍA DE LA EDUCACIÓN;0;3;2;5;4;Null
11;;II;PRE HISTORIA E HISTORIA DE LA SOCIEDAD ANTIGUA;0;4;2;6;5;Null
12;;II;ENFOQUES PEDAGÓGICOS CONTEMPORÁNEOS;0;4;2;6;5;Null
13;;II;IDIOMA INGLÉS I;0;2;2;4;3;Null
14;;II;IDIOMA QUECHUA I;0;2;2;4;3;Null
15;;II;IDIOMA AIMARA I;0;2;2;4;3;Null
16;;III;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null
17;;III;GEOHISTORIA REGIONAL;0;2;2;4;3;Null
18;;III;HISTORIA DE LA SOCIEDAD MEDIEVAL Y MODERNA;0;4;2;6;5;Null
19;;III;FUENTES DE LA HISTORIA;0;2;2;4;3;Null
20;;III;PSICOLOGÍA EVOLUTIVA;0;2;2;4;3;Null
21;;III;DESARROLLO DE LA PERSONALIDAD E IDENTIDAD;0;2;2;4;3;Null
22;;III;IDIOMA INGLÉS - II ;0;2;2;4;3;Null
23;;III;IDIOMA QUECHUA-II ;0;2;2;4;3;Null
24;;III;IDIOMA AIMARA- II ;0;2;2;4;3;Null
25;;IV;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
26;;IV;FILOSOFÍA DE LA EDUCACIÓN;0;3;2;5;4;Null
27;;IV;HISTORIA DE LAS SOCIEDADES ANTIGUAS DEL PERÚ;0;4;2;6;5;Null
28;;IV;EDUCACIÓN INTERCULTURAL;0;3;2;5;4;Null
29;;IV;PSICOLOGÍA DEL APRENDIZAJE;0;3;2;5;4;Null
30;;IV;TALLER DE FORMACIÓN DE LA PERSONALIDAD E IDENTIDAD;0;3;2;5;4;Null
31;;V;HISTORIA DE LA SOCIEDAD INCA;0;2;2;4;3;Null
32;;V;FILOSOFÍA DE LA HISTORIA;0;2;2;4;3;Null
33;;V;DIDÁCTICA DE LA HISTORIA;0;3;2;5;4;Null
34;;V;FORMACIÓN CIUDADANA Y CÍVICA;0;3;2;5;4;Null
35;;V;PRÁCTICA DE DIAGNÓSTICO EDUCATIVO;0;2;2;4;3;Null
36;;V;PRODUCCIÓN EDITORIAL Y MEDIOS DIGITALES;0;2;2;4;3;Null
37;;V;EDUCACIÓN PARA LA INCLUSIÓN;0;2;2;4;3;Null
38;;VI;GEOGRAFÍA FÍSICA;0;3;2;5;4;Null
39;;VI;HISTORIA DE LA COLONIA;0;3;2;5;4;Null
40;;VI;DIDÁCTICA DE LA GEOGRAFÍA Y LA ECONOMÍA;0;3;2;5;4;Null
41;;VI;TALLER DE EJERCICIO CIUDADANO Y CULTURA CÍVICA;0;2;2;4;3;Null
42;;VI;PRACTICA DE PLANIFICACIÓN CURRICULAR;0;0;6;6;3;Null
43;;VI;EVALUACIÓN DEL APRENDIZAJE;0;3;2;5;4;Null
44;;VII;GEOGRAFÍA DEL PERÚ;0;3;2;5;4;Null
45;;VII;HISTORIA DE LA EMANCIPACIÓN PERUANA;0;3;2;5;4;Null
46;;VII;GERENCIA EDUCATIVA I;0;2;2;4;3;Null
47;;VII;DIDÁCTICA DEL DESARROLLO DE LA PERSONALIDAD Y FORMACIÓN CIUDADANÍA;0;2;2;4;3;Null
48;;VII;PRACTICA DE SESIONES DE APRENDIZAJE;0;1;4;5;3;Null
49;;VII;METODOLOGÍA DE INVESTIGACIÓN CUANTITATIVA Y CUALITATIVA;0;3;2;5;4;Null
50;;VIII;GEOGRAFÍA ECONÓMICA;0;2;2;4;3;Null
51;;VIII;HISTORIA DE LA REPÚBLICA SIGLO XIX;0;2;2;4;3;Null
52;;VIII;HISTORIA DE LA SOCIEDAD CONTEMPORÁNEA;0;2;2;4;3;Null
53;;VIII;PRACTICA DE UNIDADES DIDÁCTICAS I;0;0;6;6;3;Null
54;;VIII;GERENCIA EDUCATIVA II;0;2;2;4;3;Null
55;;VIII;FORMACIÓN Y DESARROLLO DEL TALENTO HUMANO;0;1;2;3;2;Null
56;;VIII;PROYECTO DE INVESTIGACIÓN;0;3;2;5;4;Null
57;;IX;EDUCACIÓN FINANCIERA;0;1;2;3;2;Null
58;;IX;HISTORIA DE LA REPÚBLICA CONTEMPORÁNEA;0;2;2;4;3;Null
59;;IX;HISTORIA REGIONAL;0;2;2;4;3;Null
60;;IX;PRACTICA DE UNIDADES DIDÁCTICAS II;0;0;6;6;3;Null
61;;IX;GERENCIA DE PROYECTOS DE DESARROLLO;0;2;2;4;3;Null
62;;IX;TEORÍA Y DISEÑO CURRICULAR;0;2;2;4;3;Null
63;;IX;EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN;0;3;2;5;4;Null
64;;X;GEOPOLÍTICA Y DEMOGRAFÍA;0;3;2;5;4;Null
65;;X;INVESTIGACIÓN DE HISTORIA Y GEOGRAFÍA;0;3;2;5;4;Null
66;;X;LEGISLACIÓN EDUCATIVA;0;3;2;5;4;Null
67;;X;PRACTICA DE INNOVACIÓN Y FORMACIÓN DOCENTE;0;0;6;6;3;Null
68;;X;TRABAJO DE INVESTIGACIÓN;0;3;2;5;4;Null
69;;X;ACREDITACIÓN Y CERTIFICACIÓN DE INSTITUCIONES EDUCATIVAS;0;2;4;6;4;Null
