N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;EG101;COMPRENSION Y ARGUMENTACION;037;3.0;2.0;5.0;4.0;NINGUNO
2;I;EG102;PENSAMIENTO RACIONAL Y ETICA;037;2.0;2.0;4.0;3.0;NINGUNO
3;I;EG103;MATEMATICA BASICA;037;3.0;2.0;5.0;4.0;NINGUNO
4;I;EG104;TALLER DE INNOVACION Y EMPRENDIMIENTO;037;2.0;2.0;4.0;3.0;NINGUNO
5;I;EG105;ECOLOGIA Y DESARROLLO SOSTENIBLE;037;2.0;2.0;4.0;3.0;NINGUNO
6;I;EG116;ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD;037;2.0;2.0;4.0;3.0;NINGUNO
7;II;CTA202;PLANIFICACION DE LA EDUCACIÓN;037;2.0;4.0;6.0;4.0;NINGUNO
8;II;CTA203;TEORIA DE LA EDUCACIÓN;037;3.0;2.0;5.0;4.0;NINGUNO
9;II;CTA307;EDUCACIÓN AMBIENTAL;037;3.0;2.0;5.0;4.0;NINGUNO
10;II;EG108;FISICA GENERAL;037;3.0;2.0;5.0;4.0;NINGUNO
11;II;EG117;TALLER DE ARTE Y CREATIVIDAD;037;2.0;2.0;4.0;3.0;NINGUNO
12;II;LLPF204;EPISTEMOLOGIA DE LA EDUCACIÓN;037;3.0;2.0;5.0;4.0;NINGUNO
13;III;CTA205;FÍSICA I;037;3.0;2.0;5.0;4.0;EG108
14;III;CTA206;LABORATORIO DE FISICA I;037;0.0;6.0;6.0;3.0;EG108
15;III;CTA207;DISEÑO Y PROGRAMACION CURRICULAR;037;3.0;2.0;5.0;4.0;NINGUNO
16;III;CTA208;DIDACTICA GENERAL;037;2.0;2.0;4.0;3.0;NINGUNO
17;III;EG109;QUÍMICA GENERAL;037;3.0;2.0;5.0;4.0;NINGUNO
18;III;HUM209;PSICOLOGIA DEL APRENDIZAJE;037;3.0;2.0;5.0;4.0;NINGUNO
19;IV;CTA210;FISICA II;037;3.0;2.0;5.0;4.0;CTA205
20;IV;CTA211;QUIMICA INORGANICA;037;3.0;2.0;5.0;4.0;EG109
21;IV;CTA212;LABORATORIO DE QUIMICA;037;0.0;6.0;6.0;3.0;EG109
22;IV;CTA213;NEUROEDUCACIÓN;037;2.0;2.0;4.0;3.0;NINGUNO
23;IV;CTA214;DIDACTICA DE LA FÍSICA;037;3.0;2.0;5.0;4.0;EG108
24;IV;EG113;BIOLOGIA GENERAL;037;3.0;2.0;5.0;4.0;NINGUNO
25;V;CTA215;QUIMICA ORGANICA;037;3.0;2.0;5.0;4.0;CTA211
26;V;CTA216;FÍSICA III;037;2.0;2.0;4.0;3.0;CTA210
27;V;CTA217;ANATOMÍA HUMANA;037;4.0;2.0;6.0;5.0;NINGUNO
28;V;CTA218;LABORATORIO DE BIOLOGIA;037;0.0;6.0;6.0;3.0;EG113
29;V;CTA219;DIDÁCTICA DE LA QUÍMICA;037;3.0;2.0;5.0;4.0;EG109
30;V;CTA301;PRÁCTICA DE DIAGNÓSTICO EDUCATIVO;037;2.0;2.0;4.0;3.0;NINGUNO
31;VI;CTA220;QUIMICA INDUSTRIAL;037;3.0;2.0;5.0;4.0;CTA211
32;VI;CTA221;BOTÁNICA;037;3.0;2.0;5.0;4.0;NINGUNO
33;VI;CTA222;TUTORIA ESCOLAR;037;2.0;2.0;4.0;3.0;NINGUNO
34;VI;CTA223;DIDÁCTICA DE LA BIOLOGÍA;037;3.0;2.0;5.0;4.0;EG113
35;VI;CTA224;PRODUCCION DE MATERIALES DE APRENDIZAJE;037;3.0;2.0;5.0;4.0;NINGUNO
36;VI;CTA302;PRACTICA DE DISEÑO CURRICULAR;037;0.0;6.0;6.0;3.0;CTA301
