N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSION Y ARGUMENTACION;0;3;2;5;4;Null
2;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
3;;I;PENSAMIENTO RACIONAL Y ETICA;0;2;2;4;3;Null
4;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
5;;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;0;2;2;4;3;Null
6;;I;ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD;0;2;2;4;3;Null
7;;II;TALLER DE ARTE Y CREATIVIDAD;0;2;2;4;3;Null
8;;II;FISICA GENERAL;0;3;2;5;4;Null
9;;II;PLANIFICACION DE LA EDUCACIÓN;0;2;4;6;4;Null
10;;II;EDUCACIÓN AMBIENTAL;0;3;2;5;4;Null
11;;II;TEORIA DE LA EDUCACIÓN;0;3;2;5;4;Null
12;;II;EPISTEMOLOGIA DE LA EDUCACIÓN;0;3;2;5;4;Null
13;;III;QUÍMICA GENERAL;0;3;2;5;4;Null
14;;III;FÍSICA I;0;3;2;5;4;Null
15;;III;LABORATORIO DE FISICA I;0;0;6;6;3;Null
16;;III;DISEÑO Y PROGRAMACION CURRICULAR;0;3;2;5;4;Null
17;;III;DIDACTICA GENERAL;0;2;2;4;3;Null
18;;III;PSICOLOGIA DEL APRENDIZAJE;0;3;2;5;4;Null
19;;IV;BIOLOGIA GENERAL;0;3;2;5;4;Null
20;;IV;FISICA II;0;3;2;5;4;Null
21;;IV;QUIMICA INORGANICA;0;3;2;5;4;Null
22;;IV;LABORATORIO DE QUIMICA;0;0;6;6;3;Null
23;;IV;NEUROEDUCACIÓN;0;2;2;4;3;Null
24;;IV;DIDACTICA DE LA FÍSICA;0;3;2;5;4;Null
25;;V;QUIMICA ORGANICA;0;3;2;5;4;Null
26;;V;FÍSICA III;0;2;2;4;3;Null
27;;V;ANATOMÍA HUMANA;0;4;2;6;5;Null
28;;V;LABORATORIO DE BIOLOGIA;0;0;6;6;3;Null
29;;V;DIDÁCTICA DE LA QUÍMICA;0;3;2;5;4;Null
30;;V;PRÁCTICA DE DIAGNÓSTICO EDUCATIVO;0;2;2;4;3;Null
31;;VI;QUIMICA INDUSTRIAL;0;3;2;5;4;Null
32;;VI;BOTÁNICA;0;3;2;5;4;Null
33;;VI;TUTORIA ESCOLAR;0;2;2;4;3;Null
34;;VI;DIDÁCTICA DE LA BIOLOGÍA;0;3;2;5;4;Null
35;;VI;PRODUCCION DE MATERIALES DE APRENDIZAJE;0;3;2;5;4;Null
36;;VI;PRACTICA DE DISEÑO CURRICULAR;0;0;6;6;3;Null
37;;VII;METODOLOGÍA DE LA INVESTIGACIÓN;0;3;2;5;4;Null
38;;VII;ZOOLOGÍA;0;3;2;5;4;Null
39;;VII;SOFTWARE Y APLICACIONES EN EL APRENDIZAJE DE CIENCIA Y TECNOLOGÍA;0;1;4;5;3;Null
40;;VII;ASEGURAMIENTO DE LA CALIDAD EDUCATIVA;0;3;2;5;4;Null
41;;VII;AMBIENTES DE APRENDIZAJE DE LAS CIENCIAS;0;3;2;5;4;Null
42;;VII;PRACTICA DE SESIONES DE APRENDIZAJE SIMULADO;0;1;4;5;3;Null
43;;VIII;PROYECTOS DE INVESTIGACIÓN EN EDUCACIÓN;0;3;2;5;4;Null
44;;VIII;SISTEMATICA ANIMAL Y VEGETAL;0;3;2;5;4;Null
45;;VIII;SEMINARIO DE FERIA DE CIENCIA TECNOLOGÍA Y AMBIENTE;0;3;2;5;4;Null
46;;VIII;GERENCIA EDUCATIVA I;0;3;2;5;4;Null
47;;VIII;EDUCACIÓN EN LINEA Y VIRTUAL PARA CIENCIA Y TECNOLOGIA;0;2;2;4;3;Null
48;;VIII;PRACTICA DE UNIDADES DIDÁCTICAS I;0;0;6;6;3;Null
49;;IX;DISEÑOS ESTADISTICOS APLICADOS A LA INVESTIGACION EDUCATIVA;0;3;2;5;4;Null
50;;IX;EVALUACION POR COMPETENCIAS;0;3;2;5;4;Null
51;;IX;INGLES TECNICO;0;2;2;4;3;Null
52;;IX;IDIOMA QUECHUA;0;2;2;4;3;Null
53;;IX;IDIOMA AIMARA;0;2;2;4;3;Null
54;;IX;GERENCIA EDUCATIVA II;0;3;2;5;4;Null
55;;IX;REALIDAD NACIONAL E INTERCULTURALIDAD;0;2;2;4;3;Null
56;;IX;GESTIÓN DE LA INFORMACIÓN EN CIENCIA, TECNOLOGIA Y AMBIENTE;0;2;2;4;3;Null
57;;IX;PRACTICA DE UNIDADES DIDÁCTICAS II;0;0;6;6;3;Null
58;;X;TRABAJO DE INVESTIGACIÓN;0;3;2;5;4;Null
59;;X;EDUCACIÓN PARA LA SALUD;0;3;2;5;4;Null
60;;X;RECURSOS NATURALES ANDINO-AMAZONICO EN EL PERU;0;3;2;5;4;Null
61;;X;POLITICAS Y LEGISLACIÓN EDUCATIVA;0;3;2;5;4;Null
62;;X;CIENCIA RECREATIVA;0;2;2;4;3;Null
63;;X;ANDRAGOGIA;0;2;2;4;3;Null
64;;X;PRACTICA DE INNOVACIÓN Y FORMACIÓN DOCENTE;0;0;6;6;3;Null
