N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;EG101;COMPRENSION Y ARGUMENTACION;039;3.0;2.0;5.0;4.0;NINGUNO
2;I;EG102;PENSAMIENTO RACIONAL Y ETICA;039;2.0;2.0;4.0;3.0;NINGUNO
3;I;EG103;MATEMATICA BASICA;039;3.0;2.0;5.0;4.0;NINGUNO
4;I;EG104;TALLER DE INNOVACION Y EMPRENDIMIENTO;039;2.0;2.0;4.0;3.0;NINGUNO
5;I;EG105;ECOLOGIA Y DESARROLLO SOSTENIBLE;039;2.0;2.0;4.0;3.0;NINGUNO
6;I;EG121;EQUIDAD DE GENERO;039;2.0;2.0;4.0;3.0;NINGUNO
7;I;LLPF;HISTORIA DE LA EDUCACION;039;2.0;2.0;4.0;3.0;NINGUNO
8;II;EG106;PRODUCCIÓN DE TEXTOS ACADÉMICOS;039;2.0;2.0;4.0;3.0;NINGUNO
9;II;EG114;ESTRATEGIAS DE APRENDIZAJE;039;2.0;2.0;4.0;3.0;NINGUNO
10;II;EG115;DESARROLLO PERSONAL;039;2.0;2.0;4.0;3.0;NINGUNO
11;II;EG118;IDENTIDAD Y DIVERSIDAD CULTURAL;039;2.0;2.0;4.0;3.0;NINGUNO
12;II;LLPF202;TEORIA DE LA EDUCACION;039;3.0;2.0;5.0;4.0;NINGUNO
13;II;LLPF203;INTRODUCCION A LA LINGUISTICA;039;3.0;2.0;5.0;4.0;NINGUNO
14;II;LLPF301;INGLES I ;039;2.0;2.0;4.0;3.0;NINGUNO
15;II;LLPF302;QUECHUA I ;039;2.0;2.0;4.0;3.0;NINGUNO
16;II;LLPF303;AIMARA I ;039;2.0;2.0;4.0;3.0;NINGUNO
17;III;EG119;SEGURIDAD Y DEFENSA NACIONAL;039;2.0;2.0;4.0;3.0;NINGUNO
18;III;LLPF204;ESPAÑOL COMO SEGUNDA LENGUA;039;4.0;2.0;6.0;5.0;NINGUNO
19;III;LLPF205;ANALISIS DE TEXTOS LITERARIOS I;039;4.0;2.0;6.0;5.0;NINGUNO
20;III;LLPF206;LOGICA DIALECTICA Y FORMAL;039;3.0;2.0;5.0;4.0;NINGUNO
21;III;LLPF207;PSICOLOGIA EVOLUTIVA;039;3.0;2.0;5.0;4.0;NINGUNO
22;III;LLPF304;INGLES II ;039;2.0;2.0;4.0;3.0;LLPF301
23;III;LLPF305;QUECHUA II ;039;2.0;2.0;4.0;3.0;LLPF302
24;III;LLPF306;AIMARA II ;039;2.0;2.0;4.0;3.0;LLPF303
25;IV;LLPF208;ENFOQUES PEDAGOGICOS CONTEMPORANEOS;039;2.0;2.0;4.0;3.0;NINGUNO
26;IV;LLPF209;DIDACTICA DE LA COMUNICACION;039;2.0;2.0;4.0;3.0;NINGUNO
27;IV;LLPF210;FONETICA Y FONOLOGIA DEL ESPANOL;039;3.0;2.0;5.0;4.0;NINGUNO
28;IV;LLPF211;ANALISIS DE TEXTOS LITERARIOS II;039;3.0;2.0;5.0;4.0;NINGUNO
29;IV;LLPF212;EPISTEMOLOGIA;039;2.0;2.0;4.0;3.0;NINGUNO
30;IV;LLPF213;PSICOLOGIA DEL APRENDIZAJE;039;2.0;2.0;4.0;3.0;NINGUNO
31;IV;LLPF307;INGLES TÉCNICO III ;039;2.0;2.0;4.0;3.0;LLPF304
32;IV;LLPF308;QUECHUA III ;039;2.0;2.0;4.0;3.0;LLPF305
33;IV;LLPF309;AIMARA III ;039;2.0;2.0;4.0;3.0;LLPF306
34;V;LLPF214;EVALUACION DEL APRENDIZAJE;039;4.0;2.0;6.0;5.0;NINGUNO
35;V;LLPF215;DIDACTICA DE LA LITERATURA;039;3.0;2.0;5.0;4.0;LLPF209
36;V;LLPF216;MORFOSINTAXIS DEL ESPANOL;039;3.0;2.0;5.0;4.0;NINGUNO
37;V;LLPF217;LITERATURA UNIVERSAL;039;4.0;2.0;6.0;5.0;NINGUNO
