N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;EQUIDAD DE GÉNERO;0;2;2;4;3;Null
7;;I;HISTORIA DE LA EDUCACIÓN;0;2;2;4;3;Null
8;;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;Null
9;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null
10;;II;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null
11;;II;DESARROLLO PERSONAL;0;2;2;4;3;Null
12;;II;TEORÍA DE LA EDUCACIÓN;0;3;2;5;4;Null
13;;II;INTRODUCCIÓN A LA LINGUÍSTICA;0;3;2;5;4;Null
14;;II;INGLES I;0;2;2;4;3;Null
15;;II;QUECHUA I;0;2;2;4;3;Null
16;;II;AIMARA I;0;2;2;4;3;Null
17;;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
18;;III;ESPAÑOL COMO SEGUNDA LENGUA;0;4;2;6;5;Null
19;;III;ANÁLISIS DE TEXTOS LITERARIOS I;0;4;2;6;5;Null
20;;III;LÓGICA DIALÉCTICA Y FORMAL;0;3;2;5;4;Null
21;;III;PSICOLOGÍA EVOLUTIVA;0;3;2;5;4;Null
22;;III;INGLES II;0;2;2;4;3;Null
23;;III;QUECHUA II;0;2;2;4;3;Null
24;;III;AIMARA II;0;2;2;4;3;Null
25;;IV;ENFOQUES PEDAGÓGICOS CONTEMPORÁNEOS;0;2;2;4;3;Null
26;;IV;DIDÁCTICA DE LA COMUNICACIÓN;0;2;2;4;3;Null
27;;IV;FONÉTICA Y FONOLOGÍA DEL ESPAÑOL;0;3;2;5;4;Null
28;;IV;ANÁLISIS DE TEXTOS LITERARIOS II;0;3;2;5;4;Null
29;;IV;EPISTEMOLOGÍA;0;2;2;4;3;Null
30;;IV;PSICOLOGÍA DEL APRENDIZAJE;0;2;2;4;3;Null
31;;IV;INGLES TECNICO III;0;2;2;4;3;Null
32;;IV;QUECHUA III;0;2;2;4;3;Null
33;;IV;AIMARA III;0;2;2;4;3;Null
34;;V;EVALUACIÓN DEL APRENDIZAJE;0;4;2;6;5;Null
35;;V;DIDÁCTICA DE LA LITERATURA;0;3;2;5;4;Null
36;;V;MORFOSINTAXIS DEL ESPAÑOL;0;3;2;5;4;Null
37;;V;LITERATURA UNIVERSAL;0;4;2;6;5;Null
38;;V;PRÁCTICA DE DIAGNÓSTICO EDUCATIVO;0;2;2;4;3;Null
39;;V;GESTIÓN DE PROYECTOS DE DESARROLLO;0;2;2;4;3;Null
40;;VI;TEORÍA Y DISEÑO CURRICULAR;0;3;2;5;4;Null
41;;VI;SEMÁNTICA DEL ESPAÑOL;0;3;2;5;4;Null
42;;VI;LITERATURA ESPAÑOLA E HISPANOAMERICANA;0;3;2;5;4;Null
43;;VI;PRÁCTICA DE DISEÑO CURRICULAR;0;2;4;6;4;Null
44;;VI;ESTADÍSTICA;0;2;2;4;3;Null
45;;VI;LABORATORIO DE COMUNICACIÓN ORAL, AUDIOVISUAL Y MEDIOS DIGITALES;0;3;2;5;4;Null
46;;VII;ORTOGRAFÍA;0;3;2;5;4;Null
47;;VII;LITERATURA PERUANA AUTÓNOMA Y COLONIAL;0;4;2;6;5;Null
48;;VII;FILOSOFÍA DEL LENGUAJE;0;2;2;4;3;Null
49;;VII;GESTIÓN DE TUTORÍA;0;2;2;4;3;Null
50;;VII;PRÁCTICA DE SESIONES DE APRENDIZAJE EN ENTORNOS HÍBRIDOS;0;2;4;6;4;Null
51;;VII;METODOLOGÍA DE INVESTIGACIÓN CUANTITATIVA Y CUALITATIVA;0;3;2;5;4;Null
52;;VIII;LITERATURA PERUANA INDEPENDENCIA Y REPÚBLICA;0;3;2;5;4;Null
53;;VIII;FILOSOFÍA DE LA EDUCACIÓN;0;2;2;4;3;Null
54;;VIII;PRÁCTICA DE UNIDADES DIDÁCTICAS Y COMPETENCIAS TIC;0;2;4;6;4;Null
55;;VIII;PROYECTO DE INVESTIGACIÓN;0;3;2;5;4;Null
56;;VIII;GESTIÓN E INNOVACIÓN EDUCATIVA;0;2;2;4;3;Null
57;;VIII;TALLER DE COMUNICACIÓN ESCRITA Y PRODUCCIÓN EDITORIAL;0;4;2;6;5;Null
58;;IX;LINGUÍSTICA DEL TEXTO;0;3;2;5;4;Null
59;;IX;LITERATURA REGIONAL;0;4;2;6;5;Null
60;;IX;PSICOLINGUÍSTICA;0;2;2;4;3;Null
61;;IX;PRÁCTICA DE UNIDADES DIDÁCTICAS;0;3;2;5;4;Null
62;;IX;EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN;0;3;2;5;4;Null
63;;IX;GESTIÓN Y ACREDITACIÓN EDUCATIVA;0;3;2;5;4;Null
64;;X;ANÁLISIS DEL DISCURSO;0;3;2;5;4;Null
65;;X;SISTEMAS FILOSÓFICOS CONTEMPORÁNEOS;0;4;2;6;5;Null
66;;X;SISTEMAS PSICOLÓGICOS;0;3;2;5;4;Null
67;;X;TRABAJO DE INVESTIGACIÓN;0;3;2;5;4;Null
68;;X;LEGISLACIÓN EDUCATIVA;0;2;2;4;3;Null
