N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;EG101;COMPRENSION Y ARGUMENTACION;040;3.0;2.0;5.0;4.0;NINGUNO
2;I;EG102;PENSAMIENTO RACIONAL Y ETICA;040;2.0;2.0;4.0;3.0;NINGUNO
3;I;EG103;MATEMATICA BASICA;040;3.0;2.0;5.0;4.0;NINGUNO
4;I;EG104;TALLER DE INNOVACION Y EMPRENDIMIENTO;040;2.0;2.0;4.0;3.0;NINGUNO
5;I;EG105;ECOLOGIA Y DESARROLLO SOSTENIBLE;040;2.0;2.0;4.0;3.0;NINGUNO
6;I;HUM212;IDIOMA QUECHUA ;040;2.0;2.0;4.0;3.0;NINGUNO
7;I;HUM213;IDIOMA AIMARA ;040;2.0;2.0;4.0;3.0;NINGUNO
8;I;MFCI319;DIDACTICA DE LA LOGICA MATEMATICA;040;2.0;2.0;4.0;3.0;NINGUNO
9;II;EG106;PRODUCCION DE TEXTOS ACADEMICOS;040;2.0;2.0;4.0;3.0;NINGUNO
10;II;EG113;BIOLOGIA GENERAL;040;3.0;2.0;5.0;4.0;NINGUNO
11;II;EG116;ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD;040;2.0;2.0;4.0;3.0;NINGUNO
12;II;MFCI201;ESTADISTICA DESCRIPTIVA;040;3.0;2.0;5.0;4.0;NINGUNO
13;II;MFCI301;SISTEMAS NUMERICOS;040;4.0;2.0;6.0;5.0;NINGUNO
14;II;MFCI320;DIDACTICA DE LA GEOMETRIA EUCLIDIANA;040;4.0;2.0;6.0;5.0;NINGUNO
15;III;EG107;EPISTEMOLOGIA;040;2.0;2.0;4.0;3.0;NINGUNO
16;III;MFCI214;TEORIA DE LA EDUCACION;040;3.0;2.0;5.0;4.0;NINGUNO
17;III;MFCI215;PSICOLOGIA EVOLUTIVA Y DEL APRENDIZAJE;040;4.0;2.0;6.0;5.0;NINGUNO
18;III;MFCI321;DIDACTICA DE NUMEROS Y FUNCIONES;040;3.0;2.0;5.0;4.0;NINGUNO
19;III;MFCI322;DIDACTICA DE LA TRIGONOMETRIA;040;3.0;2.0;5.0;4.0;NINGUNO
20;III;MFCI330;TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION;040;3.0;2.0;5.0;4.0;NINGUNO
21;IV;EG109;FISICA GENERAL;040;3.0;2.0;5.0;4.0;NINGUNO
22;IV;EG119;SEGURIDAD Y DEFENSA NACIONAL;040;2.0;2.0;4.0;3.0;NINGUNO
23;IV;MFCI302;ETNOMATEMATICA;040;2.0;2.0;4.0;3.0;NINGUNO
24;IV;MFCI303;ALGEBRA MODERNA;040;4.0;2.0;6.0;5.0;NINGUNO
25;IV;MFCI304;SISTEMAS OPERATIVOS Y REDES;040;3.0;2.0;5.0;4.0;NINGUNO
26;IV;MFCI323;DIDACTICA DE LA GEOMETRIA ANALITICA;040;4.0;2.0;6.0;5.0;NINGUNO
27;V;MFCI216;TEORIA Y DISEÑO CURRICULAR;040;3.0;2.0;5.0;4.0;NINGUNO
28;V;MFCI305;MATEMATICA RECREATIVA ;040;2.0;2.0;4.0;3.0;NINGUNO
29;V;MFCI306;FISICA RECREATIVA ;040;2.0;2.0;4.0;3.0;NINGUNO
30;V;MFCI307;ALGEBRA LINEAL;040;4.0;2.0;6.0;5.0;24.00
31;V;MFCI308;PROBABILIDADES;040;3.0;2.0;5.0;4.0;NINGUNO
32;V;MFCI324;DIDACTICA DEL ALGEBRA;040;4.0;2.0;6.0;5.0;NINGUNO
33;V;MFCI325;PRACTICA DE DIAGNOSTICO EDUCATIVO;040;2.0;2.0;4.0;3.0;NINGUNO
34;VI;MFCI202;ESTADISTICA INFERENCIAL;040;3.0;2.0;5.0;4.0;NINGUNO
35;VI;MFCI217;FILOSOFIA DE LA EDUCACION;040;2.0;2.0;4.0;3.0;NINGUNO
36;VI;MFCI309;CALCULO DIFERENCIAL;040;3.0;2.0;5.0;4.0;NINGUNO
37;VI;MFCI310;LENGUAJES DE PROGRAMACION;040;3.0;2.0;5.0;4.0;NINGUNO
38;VI;MFCI326;PRACTICA DE DISEÑO CURRICULAR;040;2.0;4.0;6.0;4.0;33.00
39;VI;MFCI331;"ENSAMBLAJE Y MANTENIMIENTO DE EQUIPOS
INFORMATICOS";040;3.0;2.0;5.0;4.0;NINGUNO
40;VII;HUM218;IDIOMA INGLES;040;2.0;2.0;4.0;3.0;NINGUNO
41;VII;MFCI203;"METODOLOGIA DE INVESTIGACION CUANTITATIVA Y
CUALITATIVA";040;3.0;2.0;5.0;4.0;NINGUNO
42;VII;MFCI219;EVALUACION DEL APRENDIZAJE;040;3.0;2.0;5.0;4.0;NINGUNO
43;VII;MFCI311;CALCULO INTEGRAL;040;4.0;2.0;6.0;5.0;36.00
44;VII;MFCI327;PRACTICA DE SESIONES DE APRENDIZAJE;040;2.0;4.0;6.0;4.0;38.00
45;VII;MFCI328;HISTORIA DE LA MATEMATICA;040;2.0;2.0;4.0;3.0;NINGUNO
46;VIII;MFCI204;PROYECTO DE INVESTIGACION;040;3.0;2.0;5.0;4.0;NINGUNO
47;VIII;MFCI207;LEGISLACION EDUCATIVA;040;2.0;2.0;4.0;3.0;NINGUNO
48;VIII;MFCI312;LABORATORIO DE MATEMATICA;040;2.0;2.0;4.0;3.0;NINGUNO
49;VIII;MFCI313;ECUACIONES DIFERENCIALES;040;4.0;2.0;6.0;5.0;43.00
50;VIII;MFCI314;FISICA I;040;3.0;2.0;5.0;4.0;NINGUNO
51;VIII;MFCI329;PRACTICA DE UNIDADES DIDACTICAS;040;2.0;4.0;6.0;4.0;44.00
52;IX;MFCI205;EJECUCION DEL PROYECTO DE INVESTIGACION;040;3.0;2.0;5.0;4.0;46.00
53;IX;MFCI208;GERENCIA EDUCATIVA I;040;2.0;2.0;4.0;3.0;NINGUNO
54;IX;MFCI209;PRACTICA DE GESTION EDUCATIVA;040;2.0;4.0;6.0;4.0;NINGUNO
55;IX;MFCI315;ANALISIS REAL;040;3.0;2.0;5.0;4.0;NINGUNO
56;IX;MFCI316;FISICA II;040;4.0;2.0;6.0;5.0;50.00
57;IX;MFCI332;SOFTWARE EDUCATIVO;040;2.0;2.0;4.0;3.0;NINGUNO
58;X;MFCI206;INFORMACION DE INVESTIGACION;040;3.0;2.0;5.0;4.0;52.00
59;X;MFCI210;GERENCIA EDUCATIVA II;040;2.0;2.0;4.0;3.0;53.00
60;X;MFCI211;PRACTICA DE INNOVACION Y FORMACION DOCENTE;040;3.0;2.0;5.0;4.0;54.00
61;X;MFCI317;TOPOLOGIA GENERAL;040;3.0;2.0;5.0;4.0;NINGUNO
62;X;MFCI318;FISICA III;040;4.0;2.0;6.0;5.0;56.00
63;X;MFCI333;ENTORNOS VIRTUALES DE APRENDIZAJE;040;3.0;2.0;5.0;4.0;NINGUNO
