N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE;;;
1;;I;COMPRENSION Y ARGUMENTACION;0;3;1;2;5;4;Null;;;
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;1;2;4;3;Null;;;
3;;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null;;;
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;1;2;4;3;Null;;;
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null;;;
6;;I;IDIOMA QUECHUA/IDIOMA AIMARA;0;2;1;2;4;3;Null;;;
7;;I;DIDÁCTICA DE LA LÓGICA MATEMÁTICA;0;2;1;2;4;3;Null;;;
8;;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;1;2;4;3;Null;;;
9;;II;BIOLOGÍA GENERAL;0;3;1;2;5;4;Null;;;
10;;II;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;0;2;1;2;4;3;Null;;;
11;;II;ESTADÍSTICA DESCRIPTIVA;0;3;1;2;5;4;Null;;;
12;;II;SISTEMAS NUMÉRICOS;0;4;1;2;6;5;Null;;;
13;;II;DIDÁCTICA DE LA GEOMETRÍA EUCLIDIANA;0;4;1;2;6;5;Null;;;
14;;III;EPISTEMOLOGÍA;0;2;1;2;4;3;Null;;;
15;;III;TEORÍA DE LA EDUCACIÓN;0;3;1;2;5;4;Null;;;
16;;III;PSICOLOGÍA EVOLUTIVA Y DEL APRENDIZAJE;0;4;1;2;6;5;Null;;;
17;;III;DIDÁCTICA DE NÚMEROS Y FUNCIONES;0;3;1;2;5;4;Null;;;
18;;III;DIDÁCTICA DE LA TRIGONOMETRÍA;0;3;1;2;5;4;Null;;;
19;;III;TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0;3;1;2;5;4;Null;;;
20;;IV;FÍSICA GENERAL;0;3;1;2;5;4;Null;;;
21;;IV;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null;;;
22;;IV;ETNOMATEMÁTICA;0;2;1;2;4;3;Null;;;
23;;IV;ÁLGEBRA MODERNA;0;4;1;2;6;5;Null;;;
24;;IV;SISTEMAS OPERATIVOS Y REDES;0;3;1;2;5;4;Null;;;
25;;IV;DIDÁCTICA DE LA GEOMETRÍA ANALÍTICA;0;4;1;2;6;5;Null;;;
26;;V;TEORÍA Y DISEÑO CURRICULAR;0;3;1;2;5;4;Null;;;
27;;V;MATEMÁTICA RECREATIVA/FÍSICA RECREATIVA;0;2;1;2;4;3;Null;;;
28;;V;ÁLGEBRA LINEAL;0;4;1;2;6;5;Null;;;
29;;V;PROBABILIDADES;0;3;1;2;5;4;Null;;;
30;;V;DIDÁCTICA DEL ÁLGEBRA;0;4;1;2;6;5;Null;;;
31;;V;PRÁCTICA DE DIAGNÓSTICO EDUCATIVO;0;2;1;2;4;3;Null;;;
32;;VI;ESTADÍSTICA INFERENCIAL;0;3;1;2;5;4;Null;;;
33;;VI;FILOSOFÍA DE LA EDUCACIÓN;0;2;1;2;4;3;Null;;;
34;;VI;CÁLCULO DIFERENCIAL;0;3;1;2;5;4;Null;;;
35;;VI;LENGUAJES DE PROGRAMACIÓN;0;3;1;2;5;4;Null;;;
36;;VI;PRÁCTICA DE DISEÑO CURRICULAR;0;2;2;4;6;4;Null;;;
37;;VI;ENSAMBLAJE Y MANTENIMIENTO DE EQUIPOS INFORMÁTICOS;0;3;1;2;5;4;Null;;;
38;;VII;METODOLOGÍA DE INVESTIGACIÓN CUANTITATIVA Y CUALITATIVA;0;3;1;2;5;4;Null;;;
39;;VII;IDIOMA INGLÉS;0;2;1;2;4;3;Null;;;
40;;VII;EVALUACIÓN DEL APRENDIZAJE;0;3;1;2;5;4;Null;;;
41;;VII;CÁLCULO INTEGRAL;0;4;1;2;6;5;Null;;;
42;;VII;PRÁCTICA DE SESIONES DE APRENDIZAJE;0;2;2;4;6;4;Null;;;
43;;VII;HISTORIA DE LA MATEMÁTICA;0;2;1;2;4;3;Null;;;
44;;VIII;PROYECTO DE INVESTIGACIÓN;0;3;1;2;5;4;Null;;;
45;;VIII;LEGISLACIÓN EDUCATIVA;0;2;1;2;4;3;Null;;;
46;;VIII;LABORATORIO DE MATEMÁTICA;0;2;1;2;4;3;Null;;;
47;;VIII;ECUACIONES DIFERENCIALES;0;4;1;2;6;5;Null;;;
48;;VIII;FISICA I;0;3;1;2;5;4;Null;;;
49;;VIII;PRÁCTICA DE UNIDADES DIDÁCTICAS;0;2;2;4;6;4;Null;;;
50;;IX;EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN;0;3;1;2;5;4;Null;;;
51;;IX;GERENCIA EDUCATIVA I;0;2;1;2;4;3;Null;;;
52;;IX;PRÁCTICA DE GESTIÓN EDUCATIVA;0;2;2;4;6;4;Null;;;
53;;IX;ANÁLISIS REAL;0;3;1;2;5;4;Null;;;
54;;IX;FÍSICA II;0;4;1;2;6;5;Null;;;
55;;IX;SOFTWARE EDUCATIVO;0;2;1;2;4;3;Null;;;
56;;X;INFORME DE INVESTIGACIÓN;0;3;1;2;5;4;Null;;;
57;;X;GERENCIA EDUCATIVA II;0;2;1;2;4;3;Null;;;
58;;X;PRÁCTICA DE INNOVACIÓN Y FORMACIÓN DOCENTE;0;3;1;2;5;4;Null;;;
59;;X;TOPOLOGÍA GENERAL;0;3;1;2;5;4;Null;;;
60;;X;FÍSICA III;0;4;1;2;6;5;Null;;;
61;;X;ENTORNOS VIRTUALES DE APRENDIZAJE;0;3;1;2;5;4;Null;;;
