N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;EFI201;APRENDIZAJE Y DESARROLLO MOTOR;00;3.0;2.0;5.0;4.0;NINGUNO
2;I;EFI202;TICs EN EDUCACIÓN FÍSICA;00;1.0;2.0;3.0;2.0;NINGUNO
3;I;EG101;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
4;I;EG102;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
5;I;EG103;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
6;I;EG104;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
7;I;EG105;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
8;II;EFI203;EDUCACIÓN PSICOMOTRIZ;00;3.0;2.0;5.0;4.0;NINGUNO
9;II;EFI301;PEDAGOGÍA DEL ATLETISMO I;00;3.0;2.0;5.0;4.0;NINGUNO
10;II;EFI302;PEDAGOGÍA DE LA GIMNASIA ARTÍSTICA I;00;3.0;2.0;5.0;4.0;NINGUNO
11;II;EG106;PRODUCCIÓN DE TEXTOS ACADÉMICOS;00;2.0;2.0;4.0;3.0;NINGUNO
12;II;EG115;DESARROLLO PERSONAL;00;2.0;2.0;4.0;3.0;NINGUNO
13;II;EG119;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
14;II;HUM204;QUECHUA ;00;1.0;2.0;3.0;2.0;NINGUNO
15;II;HUM205;AIMARA ;00;1.0;2.0;3.0;2.0;NINGUNO
16;III;EFI206;GESTIÓN EDUCATIVA;00;3.0;2.0;5.0;4.0;NINGUNO
17;III;EFI303;PEDAGOGÍA DEL ATLETISMO II;00;3.0;2.0;5.0;4.0;EFI301
18;III;EFI304;PEDAGOGÍA DE LA NATACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
19;III;EFI305;PEDAGOGÍA DE LA GIMNASIA ARTÍSTICA II;00;3.0;2.0;5.0;4.0;EFI302
20;III;EG113;BIOLOGÍA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
21;III;SOC207;PSICOLOGÍA DE LA ACTIVIDAD FÍSICA Y DEPORTES;00;3.0;2.0;5.0;4.0;NINGUNO
