N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;EG101;COMPRENSIÓN Y ARGUMENTACIÓN.;00;3.0;2.0;5.0;4.0;NINGUNO
2;I;EG102;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
3;I;EG103;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
4;I;EG104;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
5;I;EG105;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
6;I;EG114;ESTRATEGIAS DE APRENDIZAJE;00;2.0;2.0;4.0;3.0;NINGUNO
7;I;EG117;TALLER DE ARTE Y CREATIVIDAD;00;2.0;2.0;4.0;3.0;NINGUNO
8;II;EG106;PRODUCCIÓN DE TEXTOS ACADÉMICOS;00;2.0;2.0;4.0;3.0;NINGUNO
9;II;EG110;ESTADÍSTICA;00;18.0;10.0;28.0;4.0;NINGUNO
10;II;EG118;IDENTIDAD Y DIVERSIDAD CULTURAL ;00;2.0;2.0;4.0;3.0;NINGUNO
11;II;EG121;EQUIDAD DE GÉNERO ;00;2.0;2.0;4.0;3.0;NINGUNO
12;II;EIN201;SOCIOLOGÍA DE LA EDUCACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
13;II;EIN202;ANÁLISIS DE LA PROBLEMÁTICA EN EDUCACIÓN INICIAL;00;4.0;2.0;6.0;5.0;NINGUNO
14;II;EIN203;DESARROLLO EVOLUTIVO INFANTIL;00;4.0;2.0;6.0;5.0;NINGUNO
15;III;AMUS204;"HABILIDADES MUSICALES INSTRUMENTOS DE CUERDA
";00;4.0;2.0;6.0;5.0;NINGUNO
16;III;AMUS205;"HABILIDADES MUSICALES INSTRUMENTOS DE PERCUSIÓN
";00;4.0;2.0;6.0;5.0;NINGUNO
17;III;EG107;EPISTEMOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
18;III;EG115;DESARROLLO PERSONAL;00;2.0;2.0;4.0;3.0;NINGUNO
19;III;EG119;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
20;III;EIN206;FUNDAMENTOS DE LA EDUCACIÓN INFANTIL;00;4.0;2.0;6.0;5.0;NINGUNO
21;III;EIN301;NEUROPEDAGOGÍA INFANTIL;00;4.0;2.0;6.0;5.0;NINGUNO
22;IV;EIN207;TALLER DE HABILIDADES CORPORALES;00;3.0;2.0;5.0;4.0;NINGUNO
23;IV;EIN208;"ESTRATEGIAS PARA LA EDUCACIÓN BILINGÜE
INTERCULTURAL";00;2.0;2.0;4.0;3.0;NINGUNO
24;IV;EIN210;TEORÍA Y DISEÑO CURRICULAR;00;3.0;2.0;5.0;4.0;NINGUNO
25;IV;EIN302;"ESTRATEGIAS PARA EL DESARROLLO DE LA CREATIVIDAD
INFANTIL";00;2.0;4.0;6.0;4.0;NINGUNO
26;IV;EIN303;"ATENCIÓN DE NECESIDADES BÁSICA Y DE CUIDADO DEL
MENOR";00;2.0;4.0;6.0;4.0;NINGUNO
27;IV;SIS209;TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIÓN;00;2.0;2.0;4.0;3.0;NINGUNO
28;V;EIN211;MEDIOS Y MATERIALES EDUCATIVOS;00;3.0;2.0;5.0;4.0;NINGUNO
29;V;EIN304;NEUROMOTRICIDAD LÚDICA;00;3.0;2.0;5.0;4.0;NINGUNO
30;V;EIN305;ESTRATEGIAS PARA LA COMUNICACIÓN EN EL NIÑO;00;3.0;2.0;5.0;4.0;NINGUNO
31;V;EIN306;CIENCIA Y TECNOLOGÍA PARA NIÑOS;00;2.0;2.0;4.0;3.0;NINGUNO
32;V;EIN307;APRENDIZAJE TEMPRANO EN EL MENOR DE 36 MESES;00;3.0;2.0;5.0;4.0;EIN 303
33;V;EIN308;PRÁCTICA DE OBSERVACIÓN Y AYUDANTÍA;00;2.0;4.0;6.0;4.0;NINGUNO
