N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;EG101;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
2;I;EG102;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
3;I;EG103;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
4;I;EG104;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
5;I;EG105;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
6;I;EG114;ESTRATEGIAS DE APRENDIZAJE;00;2.0;2.0;4.0;3.0;NINGUNO
7;I;EPR201;"TUTORÍA Y EDUCACIÓN EN VALORES EN EDUCACIÓN
PRIMARIA";00;2.0;2.0;4.0;3.0;NINGUNO
8;II;EG106;PRODUCCIÓN DE TEXTOS ACADÉMICOS;00;2.0;2.0;4.0;3.0;NINGUNO
9;II;EG116;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;00;2.0;2.0;4.0;3.0;NINGUNO
10;II;EG117;TALLER DE ARTE Y CREATIVIDAD;00;2.0;2.0;4.0;3.0;NINGUNO
11;II;EG119;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
12;II;EPR202;DELIBERACIÓN Y PARTICIPACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
13;II;EPR203;TIC EN EDUCACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
14;II;EPR204;"DESARROLLO DE LA PSICOMOTRICIDAD EN EDUCACIÓN
PRIMARIA";00;2.0;2.0;4.0;3.0;NINGUNO
15;III;EG115;DESARROLLO PERSONAL;00;2.0;2.0;4.0;3.0;NINGUNO
16;III;EPR205;TEORÍA DE LA EDUCACIÓN;00;2.0;2.0;4.0;3.0;NINGUNO
17;III;EPR206;CIENCIAS SOCIALES EN EDUCACIÓN PRIMARIA;00;2.0;2.0;4.0;3.0;NINGUNO
18;III;EPR207;COMUNICACIÓN EN EDUCACIÓN PRIMARIA;00;3.0;2.0;5.0;4.0;NINGUNO
19;III;EPR208;PROGRAMAS Y RECURSOS TECNOLÓGICOS EN EDUCACIÓN;00;2.0;2.0;4.0;3.0;EPR203
20;III;EPR209;MATEMÁTICA EN EDUCACIÓN PRIMARIA;00;3.0;2.0;5.0;4.0;NINGUNO
21;III;EPR210;CIENCIAS NATURALES EN EDUCACIÓN PRIMARIA;00;2.0;2.0;4.0;3.0;NINGUNO
22;IV;EPR212;TEORÍA Y DISEÑO CURRICULAR;00;2.0;2.0;4.0;3.0;NINGUNO
23;IV;EPR301;DIDÁCTICA DE LA FORMACIÓN CIUDADANA;00;2.0;2.0;4.0;3.0;EPR206
24;IV;EPR302;"DESARROLLO DE HABILIDADES BÁSICAS PARA LA LECTURA
Y ESCRITURA";00;3.0;2.0;5.0;4.0;EPR207
25;IV;EPR303;PRÁCTICA DE DIAGNÓSTICO EDUCATIVO;00;2.0;2.0;4.0;3.0;NINGUNO
26;IV;EPR304;"DIDÁCTICA DE LOS NÚMEROS, OPERACIONES Y
RELACIONES";00;3.0;2.0;5.0;4.0;EPR209
27;IV;EPR305;DIDÁCTICA DE LA INDAGACIÓN CIENTÍFICA;00;2.0;2.0;4.0;3.0;EPR210
28;IV;HUM211;PSICOLOGÍA DEL DESARROLLO;00;2.0;2.0;4.0;3.0;NINGUNO
29;V;EPR214;PROGRAMACIÓN CURRICULAR;00;2.0;2.0;4.0;3.0;EPR212
30;V;EPR306;DIDÁCTICA DE LA HISTORIA Y GEOGRAFÍA;00;2.0;2.0;4.0;3.0;NINGUNO
31;V;EPR307;DIDÁCTICA DE LA EXPRESIÓN Y COMPRENSIÓN ORAL;00;3.0;2.0;5.0;4.0;EPR302
32;V;EPR308;"PRÁCTICA DE OBSERVACIÓN Y PLANEAMIENTO
PEDAGÓGICO";00;3.0;2.0;5.0;4.0;EPR303
