N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;EG101;COMPRENSION Y ARGUMENTACION;0;3;2;5;4;NINGUNO
2;I;EG102;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;NINGUNO
3;I;EG103;MATEMATICA BASICA;0;3;2;5;4;NINGUNO
4;I;EG104;TALLER DE INNOVACION Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
5;I;EG105;ECOLOGIA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
6;I;MED201;ANATOMIA Y FISIOLOGIA I;0;3;2;5;4;NINGUNO
7;I;NUT202;NUTRICION;0;3;0;3;3;NINGUNO
8;II;BMIC201;MICROBIOLOGIA Y PARASITOLOGIA;0;2;2;4;3;NINGUNO
9;II;EG106;PRODUCCION DE TEXTOS ACADEMICOS;0;2;2;4;3;NINGUNO
10;II;EG108;QUIMICA GENERAL;0;3;2;5;4;NINGUNO
11;II;EG114;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;NINGUNO
12;II;EG115;DESARROLLO PERSONAL;0;2;2;4;3;NINGUNO
13;II;EG119;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
14;II;MED203;ANATOMIA Y FISIOLOGIA II;0;3;2;5;4;MED201
15;III;EG116;ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD;0;2;2;4;3;NINGUNO
16;III;ENF301;PROCESO DE ATENCION DE ENFERMERIA;0;3;2;5;4;NINGUNO
17;III;ENF308;TEORIAS Y MODELOS DE ENFERMERIA;0;3;2;5;4;NINGUNO
18;III;ENF309;PROMOCION DE LA SALUD;0;3;2;5;4;NINGUNO
19;III;MED205;SEMIOLOGIA;0;4;2;6;5;NINGUNO
20;III;MED206;FARMACOLOGIA;0;3;2;5;4;NINGUNO
21;IV;ENF310;SALUD MENTAL;0;2;4;6;4;NINGUNO
22;IV;ENF311;EDUCACION PARA LA SALUD;0;2;2;4;3;NINGUNO
23;IV;ENF316;FUNDAMENTOS DE ENFERMERIA;0;4;8;12;8;MED206
24;IV;ENF317;SALUD DEL ADULTO;0;4;0;4;4;NINGUNO
25;IV;EST207;BIOESTADISTICA;0;2;2;4;3;NINGUNO
26;V;ENF303;INMUNIZACIONES;0;3;4;7;5;NINGUNO
27;V;ENF318;MEDICO QUIRURGICO;0;4;8;12;8;ENF316
28;V;ENF319;GINECOLOGIA;0;3;0;3;3;NINGUNO
29;V;ENF302;SALUD DE LA MADRE Y DEL RECIEN NACIDO;0;4;4;8;6;NINGUNO
30;VI;ENF208;EPIDEMIOLOGIA;0;3;2;5;4;EST207
31;VI;ENF209;INVESTIGACION CIENTIFICA I;0;4;4;8;6;NINGUNO
32;VI;ENF320;NEONATOLOGIA;0;3;4;7;5;NINGUNO
33;VI;ENF304;CRECIMIENTO, DESARROLLO Y ESTIMULACIÓN TEMPRANA DEL NIÑO;0;4;4;8;6;ENF302
34;VI;HUM212;IDIOMA NATIVO QUECHUA;0;2;0;2;2;NINGUNO
35;VI;HUM213;IDIOMA NATIVO AIMARA;0;2;0;2;2;NINGUNO
36;VII;ENF210;INVESTIGACION CIENTIFICA II;0;1;4;5;3;ENF209
37;VII;ENF305;SALUD ESCOLAR Y DEL ADOLESCENTE;0;3;2;5;4;ENF303
38;VII;ENF312;SALUD FAMILIAR;0;3;4;7;5;NINGUNO
39;VII;ENF314;GERENCIA I;0;2;4;6;4;NINGUNO
40;VII;ENF321;PEDIATRIA;0;3;4;7;5;ENF320
41;VIII;ENF211;INVESTIGACION CIENTIFICA III;0;3;2;5;4;ENF210
42;VIII;ENF306;TERAPIA COMPLEMENTARIA;0;3;0;3;3;NINGUNO
43;VIII;ENF307;SALUD DEL ADULTO MAYOR AMBULATORIO;0;2;4;6;4;NINGUNO
44;VIII;ENF313;SALUD COMUNITARIA;0;4;4;8;6;NINGUNO
45;VIII;ENF315;GERENCIA II;0;3;4;7;5;ENF314
46;IX;ENF322;INTERNADO COMUNITARIO;0;0;30;30;15;181
47;X;ENF323;INTERNADO CLINICO;0;0;30;30;15;181
