N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;MATEMATICA BASICA;0;2;2;4;3;Null
3;;I;PENSAMIENTO RACIONAL, ÉTICA Y CIUDADANIA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;ANATOMIA Y FISIOLOGIA I;0;3;2;5;4;Null
7;;I;NUTRICIÓN;0;3;0;3;3;Null
8;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
9;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null
10;;II;DESARROLLO PERSOAL;0;2;2;4;3;Null
11;;II;QUÍMICA GENERAL;0;3;2;5;4;Null
12;;II;PRODUCCION DE TEXTOS ACADEMICOS;0;2;2;4;3;Null
13;;II;ANATOMIA Y FISIOLOGIA II;0;3;2;5;4;Null
14;;II;MICROBIOLOGIA Y PARASITOLOGÍA;0;2;2;4;3;Null
15;;III;ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD;0;2;2;4;3;Null
16;;III;SEMIOLOGIA;0;4;2;6;5;Null
17;;III;FARMACOLOGÍA;0;3;2;5;4;Null
18;;III;PROCESO DE ATENCIÓN DE ENFERMERÍA;0;3;2;5;4;Null
19;;III;TEORIAS Y MODELOS DE ENFERMERÍA;0;3;2;5;4;Null
20;;III;PROMOCIÓN DE LA SALUD;0;3;2;5;4;Null
21;;IV;BIOESTADISTICA;0;2;2;4;3;Null
22;;IV;SALUD MENTAL;0;2;4;6;4;Null
23;;IV;EDUCACIÓN PARA LA SALUD;0;2;2;4;3;Null
24;;IV;FUNDAMENTOS DE ENFERMERÍA;0;4;8;12;8;Null
25;;IV;SALUD DEL ADULTO;0;4;0;4;4;Null
26;;V;SALUD DE LA MADRE Y RECIEN NACIDO;0;4;4;8;6;Null
27;;V;INMUNIZACIONES;0;3;4;7;5;Null
28;;V;MEDICO QUIRURGICO;0;4;8;12;8;Null
29;;V;GINECOLOGIA;0;3;0;3;3;Null
30;;VI;EPIDEMIOLOGIA;0;3;2;5;4;Null
31;;VI;INVESTIGACIÓN CUIENTIFICA I;0;4;4;8;6;Null
32;;VI;CRECIMIENTO, DESARROLLO Y ESTIMULACIÓN TEMPRANA DEL NIÑO;0;4;4;8;6;Null
33;;VI;NEONATOLOGIA;0;3;4;7;5;Null
34;;VI;IDIOMA NATIVO AIMARA;0;2;0;2;2;Null
35;;VI;IDIOMA NATIVO QUECHUA;0;2;0;2;2;Null
36;;VII;INVESTIGACIÓN CIENTIFICA II;0;1;4;5;3;Null
37;;VII;SALUD ESCOLAR Y DEL ADOLESCENTE;0;3;2;5;4;Null
38;;VII;SALUD FAMILIAR;0;3;4;7;5;Null
39;;VII;GERENCIA I;0;2;4;6;4;Null
40;;VII;PEDIATRIA;0;3;4;7;5;Null
41;;VIII;INVESTIGACIÓN CIENTIFICA III;0;3;2;5;4;Null
42;;VIII;TERAPIA COMPLEMENTARIA;0;3;0;3;3;Null
43;;VIII;SALUD DEL ADULTO MAYOR AMBULATORIO;0;2;4;6;4;Null
44;;VIII;SALUD COMUNITARIA;0;4;4;8;6;Null
45;;VIII;GERENCIA II;0;3;4;7;5;Null
46;;IX;INTERNADO COMUNITARIO;0;0;30;30;15;Null
47;;X;INTERNADO CLINICO;0;0;30;30;15;Null
