N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
6;EG108;I;QUÍMICA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
7;EG111;II;CÁLCULO DIFERENCIAL;00;3.0;2.0;5.0;4.0;EG103
8;EG113;II;BIOLOGÍA GENERAL;00;3.0;2.0;5.0;4.0;EG105
9;EG115;II;DESARROLLO PERSONAL;00;2.0;2.0;4.0;3.0;NINGUNO
10;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
11;IAI201;II;ECONOMÍA DE LA EMPRESA AGROINDUSTRIAL;00;2.0;2.0;4.0;3.0;NINGUNO
12;IAI301;II;QUÍMICA DE LOS ALIMENTOS;00;3.0;2.0;5.0;4.0;EG108
13;IAI202;III;BIOQUÍMICA;00;3.0;2.0;5.0;4.0;NINGUNO
14;IAI203;III;PRINCIPIOS DE FÍSICA PARA AGROINDUSTRIAS;00;2.0;2.0;4.0;3.0;EG111
15;IAI204;III;CÁLCULO INTEGRAL;00;3.0;2.0;5.0;4.0;EG111
16;IAI205;III;MÉTODOS DE ANÁLISIS CUANTITATIVO E INSTRUMENTAL;00;3.0;2.0;5.0;4.0;IAI301
17;IAI206;III;MICROBIOLOGÍA AGROINDUSTRIAL I;00;2.0;2.0;4.0;3.0;EG113
18;IAI302;III;"COSTOS Y PRESUPUESTOS PARA PROCESOS
AGROINDUSTRIALES";00;2.0;2.0;4.0;3.0;IAI201
19;HUM207;IV;INGLÉS;00;2.0;2.0;4.0;3.0;NINGUNO
20;IAI208;IV;EXPERIMENTACIÓN AGROINDUSTRIAL I;00;2.0;2.0;4.0;3.0;IAI204
21;IAI209;IV;ECUACIONES DIFERENCIALES;00;3.0;2.0;5.0;4.0;IAI204
22;IAI303;IV;GESTIÓN DE LA PRODUCCIÓN;00;3.0;2.0;5.0;4.0;IAI302
23;IAI304;IV;FISIOLOGÍA Y TECNOLOGÍA POSCOSECHA;00;3.0;4.0;7.0;5.0;IAI202
24;IAI305;IV;MICROBIOLOGÍA AGROINDUSTRIAL II;00;3.0;2.0;5.0;4.0;IAI206
25;IAI210;V;EXPERIMENTACIÓN AGROINDUSTRIAL II;00;3.0;2.0;5.0;4.0;IAI208
26;IAI306;V;FINANZAS EMPRESARIALES;00;2.0;2.0;4.0;3.0;IAI302
27;IAI307;V;INGENIERÍA AGROINDUSTRIAL I;00;3.0;2.0;5.0;4.0;IAI209
28;IAI308;V;TECNOLOGÍA DE FRUTAS Y HORTALIZAS;00;3.0;4.0;7.0;5.0;IAI304
29;IAI309;V;TECNOLOGÍA DE LA LECHE;00;3.0;2.0;5.0;4.0;IAI206
30;IAI211;VI;SEMINARIO DE INVESTIGACIÓN I;00;3.0;2.0;5.0;4.0;IAI210
31;IAI310;VI;MARKETING Y COMERCIALIZACIÓN;00;2.0;2.0;4.0;3.0;IAI306
32;IAI311;VI;INGENIERÍA AGROINDUSTRIAL II;00;3.0;2.0;5.0;4.0;IAI307
33;IAI312;VI;"TECNOLOGÍA DE GRANOS ANDINOS, CEREALES Y
LEGUMINOSAS";00;3.0;2.0;5.0;4.0;IAI308
34;IAI313;VI;TECNOLOGÍA DE INDUSTRIAS CÁRNICAS;00;3.0;4.0;7.0;5.0;NINGUNO
35;IAI212;VII;METODOLOGÍA DE LA INVESTIGACIÓN;00;3.0;2.0;5.0;4.0;IAI211
36;IAI314;VII;LEGISLACIÓN AGROINDUSTRIAL;00;1.0;2.0;3.0;2.0;NINGUNO
37;IAI315;VII;INVESTIGACIÓN DE MERCADOS E INTELIGENCIA COMERCIAL;00;3.0;2.0;5.0;4.0;IAI310
38;IAI316;VII;TECNOLOGÍA DE RAÍCES Y TUBEROSAS;00;3.0;2.0;5.0;4.0;IAI312
39;IAI317;VII;INGENIERÍA AGROINDUSTRIAL III;00;3.0;2.0;5.0;4.0;IAI311
40;IAI319;VII;MAQUINARIA PARA LA INDUSTRIA LÁCTEA;00;2.0;2.0;4.0;3.0;IAI309
41;IAI320;VII;TECNOLOGÍA DE PASTAS Y HARINAS;00;2.0;2.0;4.0;3.0;NINGUNO
42;IAI321;VII;"GERENCIA DEL POTENCIAL HUMANO EN AGROINDUSTRIAS
(E)";00;2.0;2.0;4.0;3.0;NINGUNO
43;IAI318;VIII;TECNOLOGÍA DE CAFÉ Y CACAO;00;2.0;2.0;4.0;3.0;NINGUNO
44;IAI322;VIII;COMERCIO EXTERIOR;00;3.0;2.0;5.0;4.0;IAI315
45;IAI323;VIII;DISEÑO DE PLANTAS AGROINDUSTRIALES;00;3.0;2.0;5.0;4.0;IAI317
46;IAI324;VIII;ENVASES Y EMBALAJES;00;2.0;2.0;4.0;3.0;IAI316
47;IAI325;VIII;PROCESAMIENTO DE PRODUCTOS HIDROBIOLÓGICOS;00;3.0;2.0;5.0;4.0;NINGUNO
48;IAI326;VIII;INDUSTRIAS DE LA LECHE, CREMAS Y HELADOS;00;2.0;2.0;4.0;3.0;IAI319
49;IAI327;VIII;TECNOLOGÍA DE PRODUCTOS HORNEADOS;00;2.0;2.0;4.0;3.0;IAI320
50;IAI328;VIII;"ADMINISTRACIÓN ESTRATÉGICA DE EMPRESAS
AGROINDUSTRIALES";00;2.0;2.0;4.0;3.0;IAI321
51;IAI213;IX;ALIMENTACIÓN Y NUTRICIÓN;00;2.0;2.0;4.0;3.0;NINGUNO
52;IAI329;IX;CONTROL DE CALIDAD;00;3.0;2.0;5.0;4.0;IAI314
53;IAI330;IX;SEMINARIO DE INVESTIGACIÓN II;00;2.0;2.0;4.0;3.0;IAI212
54;IAI331;IX;"FORMULACIÓN Y EVALUACIÓN DE PROYECTOS
AGROINDUSTRIALES";00;3.0;2.0;5.0;4.0;IAI322
55;IAI332;IX;TECNOLOGÍA AGROINDUSTRIAL NO ALIMENTARIO I;00;2.0;2.0;4.0;3.0;NINGUNO
56;IAI333;IX;INDUSTRIA DEL QUESO;00;2.0;2.0;4.0;3.0;IAI326
57;IAI334;IX;TECNOLOGÍA DE EXTRUSIÓN;00;2.0;2.0;4.0;3.0;IAI312
58;IAI335;IX;GESTIÓN DE AGRONEGOCIOS Y BIOCOMERCIO;00;2.0;2.0;4.0;3.0;IAI328
59;IAI214;X;GESTIÓN DE LA CALIDAD;00;2.0;2.0;4.0;3.0;IAI329
