N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;QUÍMICA GENERAL;0;3;2;5;4;Null
6;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
7;;II;DESARROLLO PERSONAL;0;2;2;4;3;Null
8;;II;ECONOMÍA DE LA EMPRESA AGROINDUSTRIAL;0;2;2;4;3;Null
9;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
10;;II;CÁLCULO DIFERENCIAL;0;3;2;5;4;Null
11;;II;QUÍMICA DE LOS ALIMENTOS;0;3;2;5;4;Null
12;;II;BIOLOGÍA GENERAL;0;3;2;5;4;Null
13;;III;BIOQUÍMICA;0;3;2;5;4;Null
14;;III;COSTOS Y PRESUPUESTOS PARA PROCESOS AGROINDUSTRIALES;0;2;2;4;3;Null
15;;III;PRINCIPIOS DE FÍSICA PARA AGROINDUSTRIAS;0;2;2;4;3;Null
16;;III;CÁLCULO INTEGRAL;0;3;2;5;4;Null
17;;III;MÉTODOS DE ANÁLISIS CUANTITATIVO E INSTRUMENTAL;0;3;2;5;4;Null
18;;III;MICROBIOLOGÍA AGROINDUSTRIAL I;0;2;2;4;3;Null
19;;IV;EXPERIMENTACIÓN AGROINDUSTRIAL I;0;2;2;4;3;Null
20;;IV;GESTIÓN DE LA PRODUCCIÓN;0;3;2;5;4;Null
21;;IV;ECUACIONES DIFERENCIALES;0;3;2;5;4;Null
22;;IV;FISIOLOGÍA Y TECNOLOGÍA POSCOSECHA;0;3;4;7;5;Null
23;;IV;MICROBIOLOGÍA AGROINDUSTRIAL II;0;3;2;5;4;Null
24;;IV;INGLÉS;0;2;2;4;3;Null
25;;V;EXPERIMENTACIÓN AGROINDUSTRIAL II;0;3;2;5;4;Null
26;;V;FINANZAS EMPRESARIALES;0;2;2;4;3;Null
27;;V;INGENIERÍA AGROINDUSTRIAL I;0;3;2;5;4;Null
28;;V;TECNOLOGÍA DE FRUTAS Y HORTALIZAS;0;3;4;7;5;Null
29;;V;TECNOLOGÍA DE LA LECHE;0;3;2;5;4;Null
30;;VI;SEMINARIO DE INVESTIGACIÓN I;0;3;2;5;4;Null
31;;VI;MARKETING Y COMERCIALIZACIÓN;0;2;2;4;3;Null
32;;VI;INGENIERÍA AGROINDUSTRIAL II;0;3;2;5;4;Null
33;;VI;TECNOLOGÍA DE GRANOS ANDINOS, CEREALES Y LEGUMINOSAS;0;3;2;5;4;Null
34;;VI;TECNOLOGÍA DE INDUSTRIAS CÁRNICAS;0;3;4;7;5;Null
35;;VII;LEGISLACIÓN AGROINDUSTRIAL;0;1;2;3;2;Null
36;;VII;METODOLOGÍA DE LA INVESTIGACIÓN;0;3;2;5;4;Null
37;;VII;INVESTIGACIÓN DE MERCADOS E INTELIGENCIA COMERCIAL;0;3;2;5;4;Null
38;;VII;TECNOLOGÍA DE RAÍCES Y TUBEROSAS;0;3;2;5;4;Null
39;;VII;INGENIERÍA AGROINDUSTRIAL III;0;3;2;5;4;Null
40;;VII;MAQUINARIA PARA LA INDUSTRIA LÁCTEA;0;2;2;4;3;Null
40;;VII;TECNOLOGÍA DE PASTAS Y HARINAS;0;2;2;4;3;Null
40;;VII;GERENCIA DEL POTENCIAL HUMANO EN AGROINDUSTRIAS;0;2;2;4;3;Null
41;;VIII;TECNOLOGÍA DE CAFÉ Y CACAO;0;2;2;4;3;Null
42;;VIII;COMERCIO EXTERIOR;0;3;2;5;4;Null
43;;VIII;DISEÑO DE PLANTAS AGROINDUSTRIALES;0;3;2;5;4;Null
44;;VIII;ENVASES Y EMBALAJES;0;2;2;4;3;Null
45;;VIII;PROCESAMIENTO DE PRODUCTOS HIDROBIOLÓGICOS;0;3;2;5;4;Null
46;;VIII;INDUSTRIAS DE LA LECHE, CREMAS Y HELADOS;0;2;2;4;3;Null
46;;VIII;TECNOLOGÍA DE PRODUCTOS HORNEADOS;0;2;2;4;3;Null
46;;VIII;ADMINISTRACIÓN ESTRATÉGICA DE EMPRESAS AGROINDUSTRIALES;0;2;2;4;3;Null
47;;IX;TECNOLOGÍA AGROINDUSTRIAL NO ALIMENTARIO I;0;2;2;4;3;Null
48;;IX;CONTROL DE CALIDAD;0;3;2;5;4;Null
49;;IX;SEMINARIO DE INVESTIGACIÓN II;0;2;2;4;3;Null
50;;IX;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS AGROINDUSTRIALES;0;3;2;5;4;Null
51;;IX;ALIMENTACIÓN Y NUTRICIÓN;0;2;2;4;3;Null
52;;IX;INDUSTRIA DEL QUESO;0;2;2;4;3;Null
52;;IX;TECNOLOGÍA DE EXTRUSIÓN;0;2;2;4;3;Null
52;;IX;GESTIÓN DE AGRONEGOCIOS Y BIOCOMERCIO;0;2;2;4;3;Null
53;;X;GESTIÓN DE LA CALIDAD;0;2;2;4;3;Null
54;;X;GESTIÓN DE EMPRESAS AGROINDUSTRIALES;0;2;2;4;3;Null
55;;X;TECNOLOGÍA AGROINDUSTRIAL NO ALIMENTARIO II;0;3;2;5;4;Null
56;;X;TRABAJO DE INVESTIGACIÓN;0;2;2;4;3;Null
57;;X;PRÁCTICAS PRE-PROFESIONALES;0;0;8;8;4;Null
