N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE;A
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null;
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null;
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null;
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null;
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null;
6;;I;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null;
7;;I;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null;
8;;II;QUÍMICA GENERAL;0;3;2;5;4;Null;
9;;II;FÍSICA GENERAL;0;3;2;5;4;Null;
10;;II;BIOLOGÍA GENERAL;0;3;2;5;4;Null;
11;;II;BIOESTADÍSTICA AGROPECUARIA;0;2;2;4;3;Null;
12;;II;CALCULO I;0;3;2;5;4;Null;
13;;II;AGROECONOMÍA;0;2;2;4;3;Null;
14;;II;TOPOGRAFÍA Y CARTOGRAFÍA;0;0;2;2;1;Null;
15;;III;CALCULO II;0;3;2;5;4;Null;
16;;III;BOTÁNICA AGRÍCOLA;0;3;2;5;4;Null;
17;;III;MICROBIOLOGÍA AGRÍCOLA;0;3;2;5;4;Null;
18;;III;QUÍMICA AGRÍCOLA;0;3;2;5;4;Null;
19;;III;EDAFOLOGÍA;0;3;2;5;4;Null;
20;;III;MECANIZACIÓN AGRÍCOLA;0;3;2;5;4;Null;
21;;IV;TAXONOMÍA VEGETAL;0;3;2;5;4;Null;
22;;IV;FITOPATOLOGÍA;0;3;2;5;4;Null;
23;;IV;ENTOMOLOGÍA AGRÍCOLA I;0;3;2;5;4;Null;
24;;IV;ANATOMÍA Y FISIOLOGÍA ANIMAL;0;3;2;5;4;Null;
25;;IV;BIOQUÍMICA AGRÍCOLA;0;3;2;5;4;Null;
26;;IV;AGROMETEOROLOGÍA Y CLIMATOLOGÍA;0;3;2;5;4;Null;
27;;V;MÉTODOS ESTADÍSTICOS PARA LA INVESTIGACIÓN AGROPECUARIA;0;3;2;5;4;Null;
28;;V;GENÉTICA AGRÍCOLA Y PECUARIA;0;3;2;5;4;Null;
29;;V;ENTOMOLOGÍA AGRÍCOLA II;0;3;2;5;4;Null;
30;;V;ZOOTECNIA GENERAL;0;3;2;5;4;Null;
31;;V;FISIOLOGÍA VEGETAL;0;3;2;5;4;Null;
32;;V;FERTILIDAD DEL SUELO;0;3;2;5;4;Null;
33;;VI;RECURSOS GENÉTICOS;0;2;2;4;3;Null;
34;;VI;BIOTECNOLOGÍA AGROPECUARIA;0;2;2;4;3;Null;
35;;VI;NUTRICIÓN Y ALIMENTACIÓN ANIMAL;0;3;2;5;4;Null;
36;;VI;PROPAGACIÓN DE PLANTAS;0;2;2;4;3;Null;
37;;VI;MANEJO Y CONSERVACIÓN DE SUELOS;0;2;2;4;3;Null;
38;;VI;AGROECOLOGÍA;0;2;2;4;3;Null;
39;;VI;AGRICULTURA DE PRECISIÓN;0;1;2;3;2;Null;
40;;VI;INGLES TÉCNICO;0;0;2;2;1;Null;
41;;VII;PRODUCCIÓN DE PASTOS Y FORRAJES;0;3;2;5;4;Null;
42;;VII;OLERICULTURA Y FLORICULTURA;0;1;2;3;2;Null;
43;;VII;TUBEROSAS Y RAÍCES;0;2;2;4;3;Null;
44;;VII;TECNOLOGÍA DE SEMILLAS;0;2;2;4;3;Null;
45;;VII;HIDRAÚLICA E HIDROLOGÍA;0;3;2;5;4;Null;
46;;VII;DISEÑO Y CONSTRUCCIONES RURALES;0;2;2;4;3;Null;
47;;VIII;SEMINARIO DE TESIS I;0;1;2;3;2;Null;
48;;VIII;FRUTICULTURA;0;3;2;5;4;Null;
49;;VIII;GRANOS ANDINOS Y CEREALES;0;2;2;4;3;Null;
50;;VIII;SISTEMAS INTEGRADOS DE PRODUCCIÓN AGROPECUARIA;0;3;2;5;4;Null;
51;;VIII;AGRICULTURA DE RIEGO Y DRENAJE;0;3;2;5;4;Null;
52;;VIII;GESTIÓN EMPRESARIAL;0;2;2;4;3;Null;
53;;VIII;ORDENAMIENTO TERRITORIAL AGRARIO;0;2;2;4;3;Null;
54;;IX;SEMINARIO DE TESIS II;0;1;2;3;2;Null;
55;;IX;MANEJO DE PRADERAS Y PASTIZALES;0;3;2;5;4;Null;
56;;IX;CULTIVOS TROPICALES;0;3;2;5;4;Null;
57;;IX;EXTENSIÓN AGRARIA Y DESARROLLO RURAL;0;2;2;4;3;Null;
58;;IX;GESTIÓN INTEGRAL DE CUENCAS;0;3;2;5;4;Null;
59;;IX;CONTABILIDAD Y COSTOS AGROPECUARIOS;0;2;2;4;3;Null;
60;;IX;POSCOSECHA Y COMERCIALIZACIÓN;0;2;2;4;3;Null;
61;;X;PRÁCTICAS PRE PROFESIONALES;0;0;4;4;2;Null;
62;;X;SILVICULTURA;0;3;2;5;4;Null;
63;;X;FABACEAS DE GRANO;0;2;2;4;3;Null;
64;;X;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS AGROPECUARIOS;0;3;2;5;4;Null;
65;;X;AGROEXPORTACIÓN;0;2;2;4;3;Null;
66;;X;BIODIVERSIDAD AGRÍCOLA;0;2;2;4;3;Null;
66;;X;RESTAURACION AMBIENTAL;0;2;2;4;3;Null;
66;;X;MALEZAS;0;2;2;4;3;Null;
66;;X;VIVEROS AGRONÓMICOS;0;2;2;4;3;Null;
66;;X;GANADERÍA TROPICAL;0;2;2;4;3;Null;
