N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;CIV219;I;INTRODUCCION A LA INGENIERIA CIVIL;00;1.0;2.0;3.0;2.0;NINGUNO
2;EG101;I;COMPRENSION Y ARGUMENTACION;00;3.0;2.0;5.0;4.0;NINGUNO
3;EG102;I;PENSAMIENTO RACIONAL Y ETICA;00;2.0;2.0;4.0;3.0;NINGUNO
4;EG103;I;MATEMATICA BASICA;00;3.0;2.0;5.0;4.0;NINGUNO
5;EG104;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
6;EG105;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
7;EG110;I;ESTADISTICA;00;3.0;2.0;5.0;4.0;NINGUNO
8;ARQ220;II;INGENIERÍA GRÁFICA Y DESCRIPTIVA;00;2.0;2.0;4.0;3.0;NINGUNO
9;CIV209;II;INTRODUCCIÓN A LA GEOTECNIA;00;2.0;2.0;4.0;3.0;CIV219
10;EG106;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;00;2.0;2.0;4.0;3.0;NINGUNO
11;EG111;II;CÁLCULO DIFERENCIAL;00;3.0;2.0;5.0;4.0;EG103
12;EG112;II;FÍSICA I;00;3.0;2.0;5.0;4.0;NINGUNO
13;MAT221;II;ALGEBRA VECTORIAL LINEAL Y MATRICIAL;00;2.0;2.0;4.0;3.0;NINGUNO
14;QUI222;II;QUÍMICA APLICADA;00;2.0;2.0;4.0;3.0;NINGUNO
15;CIV201;III;MATERIALES DE CONSTRUCCIÓN;00;2.0;2.0;4.0;3.0;QUI222
16;CIV205;III;ESTÁTICA;00;3.0;2.0;5.0;4.0;MAT221
17;CIV210;III;MECÁNICA DE SUELOS I;00;3.0;2.0;5.0;4.0;CIV209
18;EG115;III;DESARROLLO PERSONAL;00;2.0;2.0;4.0;3.0;NINGUNO
19;FIS224;III;FÍSICA II;00;2.0;2.0;4.0;3.0;EG112
20;MAT223;III;CÁLCULO INTEGRAL;00;2.0;2.0;4.0;3.0;EG111
21;MAT225;III;GEOMETRÍA ANALÍTICA;00;2.0;2.0;4.0;3.0;NINGUNO
22;CIV202;IV;TECNOLOGÍA DEL CONCRETO;00;3.0;2.0;5.0;4.0;CIV201
23;CIV206;IV;RESISTENCIA DE MATERIALES I;00;3.0;2.0;5.0;4.0;CIV205
24;CIV211;IV;MECÁNICA DE SUELOS II;00;3.0;2.0;5.0;4.0;CIV210
25;CIV213;IV;MECÁNICA DE FLUIDOS I;00;3.0;2.0;5.0;4.0;FIS224
26;CIV216;IV;TOPOGRAFÍA I;00;4.0;2.0;6.0;5.0;MAT225
27;MAT226;IV;ECUACIONES DIFERENCIALES ORDINARIAS;00;2.0;2.0;4.0;3.0;MAT223
28;CIV203;V;CONSTRUCCIONES I;00;3.0;2.0;5.0;4.0;CIV202
29;CIV207;V;RESISTENCIA DE MATERIALES II;00;3.0;2.0;5.0;4.0;CIV206
30;CIV212;V;MECÁNICA DE ROCAS;00;2.0;2.0;4.0;3.0;CIV211
31;CIV214;V;MECÁNICA DE FLUIDOS II;00;3.0;2.0;5.0;4.0;CIV213
32;CIV217;V;TOPOGRAFÍA II;00;3.0;4.0;7.0;5.0;CIV216
33;MAT227;V;MÉTODOS NUMÉRICOS;00;2.0;2.0;4.0;3.0;MAT226
34;ARQ336;VI;DISEÑO ARQUITECTÓNICO;00;3.0;2.0;5.0;4.0;115.00
35;CIV204;VI;CONSTRUCCIONES II;00;2.0;2.0;4.0;3.0;CIV203
36;CIV208;VI;ANÁLISIS ESTRUCTURAL I;00;4.0;2.0;6.0;5.0;CIV207
37;CIV215;VI;HIDROLOGÍA;00;3.0;2.0;5.0;4.0;CIV214
38;CIV327;VI;CAMINOS I;00;4.0;2.0;6.0;5.0;CIV217
39;HUM229;VI;INGLÉS;00;2.0;2.0;4.0;3.0;115.00
40;CIV228;VII;PROGRAMACIÓN DIGITAL;00;2.0;2.0;4.0;3.0;MAT227
41;CIV301;VII;COSTOS Y PRESUPUESTOS;00;3.0;2.0;5.0;4.0;CIV204
42;CIV309;VII;CONCRETO ARMADO I;00;4.0;2.0;6.0;5.0;CIV208
43;CIV315;VII;GEOTECNIA APLICADA;00;2.0;2.0;4.0;3.0;CIV212
44;CIV320;VII;ABASTECIMIENTO DE AGUA Y ALCANTARILLADO;00;4.0;2.0;6.0;5.0;CIV215
45;CIV328;VII;CAMINOS II;00;3.0;2.0;5.0;4.0;CIV327
46;CIV218;VIII;TECNOLOGÍA DEL ASFALTO;00;2.0;2.0;4.0;3.0;CIV328
47;CIV302;VIII;PROGRAMACIÓN Y CONTROL DE OBRAS;00;2.0;2.0;4.0;3.0;CIV301
48;CIV303;VIII;GESTIÓN Y ADMINISTRACIÓN EN LA CONSTRUCCIÓN;00;2.0;2.0;4.0;3.0;160.00
49;CIV310;VIII;PUENTES Y OBRAS DE ARTE;00;3.0;2.0;5.0;4.0;CIV309
50;CIV316;VIII;INGENIERÍA DE CIMENTACIONES;00;3.0;2.0;5.0;4.0;CIV315
51;CIV321;VIII;IRRIGACIONES;00;2.0;2.0;4.0;3.0;CIV320
52;CIV337;VIII;GESTIÓN AMBIENTAL;00;2.0;2.0;4.0;3.0;160.00
53;CIV304;IX;TALLER EN PROYECTOS DE EDIFICACIÓN;00;3.0;2.0;5.0;4.0;CIV302
54;CIV306;IX;PROYECTOS DE INVERSIÓN;00;2.0;2.0;4.0;3.0;185.00
55;CIV307;IX;ADMINISTRACIÓN DE CONTRATOS EN OBRAS PÚBLICAS;00;2.0;2.0;4.0;3.0;185.00
56;CIV308;IX;SEGURIDAD SALUD Y CALIDAD EN OBRA;00;2.0;2.0;4.0;3.0;185.00
57;CIV311;IX;INGENIERÍA SISMORRESISTENTE;00;2.0;2.0;4.0;3.0;CIV310
58;CIV312;IX;ANÁLISIS ESTRUCTURAL II;00;2.0;2.0;4.0;3.0;185.00
59;CIV313;IX;DISEÑO EN ACERO;00;2.0;2.0;4.0;3.0;185.00
60;CIV314;IX;CONCRETO ARMADO II;00;2.0;2.0;4.0;3.0;185.00
61;CIV322;IX;INSTALACIÓN EN EDIFICACIONES;00;2.0;2.0;4.0;3.0;CIV321
62;CIV329;IX;DISEÑO DE PAVIMENTOS;00;3.0;2.0;5.0;4.0;CIV218
63;CIV334;IX;METODOLOGÍA DE LA INVESTIGACIÓN;00;2.0;2.0;4.0;3.0;185.00
64;CIV305;X;LEGISLACIÓN EN LA CONSTRUCCIÓN;00;2.0;2.0;4.0;3.0;CIV304
65;CIV317;X;ESTABILIDAD DE TALUDES Y GEOSINTÉTICOS;00;2.0;2.0;4.0;3.0;205.00
66;CIV318;X;FUNDAMENTOS DEL DISEÑO DE TÚNELES;00;2.0;2.0;4.0;3.0;205.00
67;CIV319;X;PRESAS DE TIERRA;00;2.0;2.0;4.0;3.0;205.00
68;CIV323;X;TALLER EN PROYECTOS DE HIDRÁULICA;00;2.0;2.0;4.0;3.0;CIV322
69;CIV324;X;ESTRUCTURAS HIDRÁULICAS;00;2.0;2.0;4.0;3.0;205.00
70;CIV325;X;HIDRÁULICA FLUVIAL;00;2.0;2.0;4.0;3.0;205.00
71;CIV326;X;PLANTAS DE TRATAMIENTO DE AGUAS;00;2.0;2.0;4.0;3.0;205.00
72;CIV330;X;TALLER EN PROYECTOS DE TRANSPORTE;00;2.0;2.0;4.0;3.0;CIV329
73;CIV331;X;INGENIERÍA DE TRANSPORTE;00;2.0;2.0;4.0;3.0;205.00
74;CIV332;X;SEÑALIZACIÓN Y SEGURIDAD VIAL;00;2.0;2.0;4.0;3.0;205.00
75;CIV333;X;MANTENIMIENTO DE CARRETERAS;00;2.0;2.0;4.0;3.0;205.00
76;CIV335;X;TALLER DE TESIS;00;2.0;2.0;4.0;3.0;CIV334
77;CIV338;X;PRÁCTICA PRE PROFESIONAL;00;0.0;2.0;2.0;1.0;205.00
