N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;PENSAMIENTO COMPUTACIONAL;0;2;2;4;3;Null
7;;I;INTRODUCCIÓN A LA INGENIERÍA DE SISTEMAS;0;4;0;4;4;Null
8;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
9;;II;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;0;2;2;4;3;Null
10;;II;INGLÉS BÁSICO;0;3;0;3;3;Null
11;;II;CÁLCULO DIFERENCIAL;0;3;2;5;4;Null
12;;II;FÍSICA I;0;3;2;5;4;Null
13;;II;PROGRAMACIÓN ORIENTADA A OBJETOS I;0;2;2;4;3;Null
14;;II;ESTRUCTURAS DISCRETAS;0;2;2;4;3;Null
15;;III;PROGRAMACIÓN ORIENTADA A OBJETOS II;0;3;2;5;4;Null
16;;III;SISTEMAS ELECTRÓNICOS Y DIGITALES;0;2;2;4;3;Null
17;;III;DESARROLLO BASADO EN PLATAFORMAS I;0;2;2;4;3;Null
18;;III;INGLÉS TÉCNICO;0;2;2;4;3;Null
19;;III;FÍSICA II;0;4;0;4;4;Null
20;;III;CÁLCULO INTEGRAL;0;2;2;4;3;Null
21;;III;ESTADÍSTICA;0;3;2;5;4;Null
22;;IV;ALGORITMOS Y ESTRUCTURAS DE DATOS;0;4;2;6;5;Null
23;;IV;TEORÍA DE LA COMPUTACIÓN;0;2;2;4;3;Null
24;;IV;BASE DE DATOS I;0;2;2;4;3;Null
25;;IV;CÁLCULO VECTORIAL;0;2;2;4;3;Null
26;;IV;ALGEBRA LINEAL;0;4;0;4;4;Null
27;;IV;DESARROLLO BASADO EN PLATAFORMAS II;0;2;2;4;3;Null
28;;IV;ARQUITECTURA DE COMPUTADORAS;0;2;2;4;3;Null
29;;V;ANÁLISIS Y DISEÑO DE ALGORITMOS;0;4;2;6;5;Null
30;;V;BASE DE DATOS II;0;2;2;4;3;Null
31;;V;INGENIERÍA DE SOFTWARE;0;2;2;4;3;Null
32;;V;SISTEMAS OPERATIVOS;0;2;2;4;3;Null
33;;V;COMPILADORES;0;2;2;4;3;Null
34;;V;MÉTODOS NUMÉRICOS;0;4;0;4;4;Null
35;;V;IDEOLOGÍAS CONTEMPORANEAS;0;2;2;4;3;Null
36;;VI;SISTEMAS DE COMUNICACIÓN DE DATOS;0;2;2;4;3;Null
37;;VI;PROGRAMACIÓN COMPETITIVA;0;2;2;4;3;Null
38;;VI;ESTRUCTURAS DE DATOS AVANZADAS;0;4;2;6;5;Null
39;;VI;SISTEMAS DE INFORMACIÓN;0;2;2;4;3;Null
40;;VI;INVESTIGACIÓN DE OPERACIONES;0;4;0;4;4;Null
41;;VI;INGENIERÍA DE PROCESOS;0;2;2;4;3;Null
42;;VI;TEORÍA Y CIENCIA DE SISTEMAS;0;2;2;4;3;Null
43;;VII;INTERACCIÓN HUMANO COMPUTADOR;0;2;2;4;3;Null
44;;VII;LENGUAJES DE PROGRAMACIÓN;0;4;0;4;4;Null
45;;VII;COMPUTACIÓN PARALELA Y DISTRIBUIDA;0;2;2;4;3;Null
46;;VII;COMPUTACIÓN GRAFICA;0;2;2;4;3;Null
47;;VII;INTELIGENCIA ARTIFICIAL;0;4;2;6;5;Null
48;;VII;PROGRAMACIÓN DE VIDEO JUEGOS;0;2;2;4;3;Null
49;;VII;ADMINISTRACIÓN DE SISTEMAS DE COMUNICACIÓN DE DATOS;0;2;2;4;3;Null
50;;VIII;FORMACIÓN DE EMPRESAS DE BASE TECNOLÓGICA;0;2;2;4;3;Null
51;;VIII;FORMULACIÓN Y GESTIÓN DE PROYECTOS;0;2;2;4;3;Null
52;;VIII;SEGURIDAD EN SISTEMAS INFORMÁTICOS;0;2;2;4;3;Null
53;;VIII;INTERNET DE LAS COSAS;0;2;2;4;3;Null
54;;VIII;REDES NEURONALES;0;4;2;6;5;Null
55;;VIII;MODELADO SISTÉMICO Y SIMULACIÓN;0;2;2;4;3;Null
56;;VIII;INVESTIGACIÓN EN INGENIERÍA DE SISTEMAS;0;4;0;4;4;Null
57;;IX;PROYECTO DE TESIS EN INGENIERÍA DE SISTEMAS;0;4;0;4;4;Null
58;;IX;"AUDITORÍA EN SISTEMAS COMPUTACIONALES
";0;4;2;6;5;Null
59;;IX;TOPICOS EN CIBERSEGURIDAD I;0;4;2;6;5;Null
60;;IX;TOPICOS EN SISTEMAS DE INFORMACIÓN I;0;4;2;6;5;Null
61;;IX;APRENDIZAJE PROFUNDO;0;2;2;4;3;Null
62;;IX;APRENDIZAJE DE MAQUINA;0;2;2;4;3;Null
63;;IX;PROCESAMIENTO DE LENGUAJE NATURAL;0;2;2;4;3;Null
64;;IX;CIENCIA DE DATOS;0;2;2;4;3;Null
65;;IX;ANÁLISIS DE DATOS;0;2;2;4;3;Null
66;;X;TESIS UNIVERSITARIA;0;2;2;4;3;Null
67;;X;PRÁCTICA PRE-PROFESIONAL;0;0;4;4;2;Null
68;;X;ARQUITECTURA DE LA CIBERSEGURIDAD Y PROTECCIÓN DE LA INFRAESTRUCTURA CRÍTICA;0;4;0;4;4;Null
68;;X;TOPICOS EN CIBERSEGURIDAD II;0;4;0;4;4;Null
