N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;ECO201;I;FUNDAMENTOS DE MICROECONOMÌA;00;2.0;2.0;4.0;3.0;NINGUNO
2;EG101;I;COMPRENSIÒN Y ARGUMENTACIÒN;00;3.0;2.0;5.0;4.0;NINGUNO
3;EG102;I;PENSAMIENTO RACIONAL Y ÈTICA;00;2.0;2.0;4.0;3.0;NINGUNO
4;EG103;I;MATEMÀTICA BÀSICA;00;3.0;2.0;5.0;4.0;NINGUNO
5;EG104;I;TALLER DE INNOVACIÒN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
6;EG105;I;ECOLOGÌA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
7;EG110;I;ESTADÌSTICA;00;3.0;2.0;5.0;4.0;NINGUNO
8;ECO202;II;ECONOMÍA MATEMÁTICA I;00;2.0;4.0;6.0;4.0;EG103
9;ECO203;II;ESTADÍSTICA INFERENCIAL;00;4.0;2.0;6.0;5.0;EG110
10;ECO204;II;FUNDAMENTOS DE MACROECONOMÍA;00;4.0;2.0;6.0;5.0;NINGUNO
11;EG106;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;00;2.0;2.0;4.0;3.0;NINGUNO
12;EG115;II;DESARROLLO PERSONAL;00;2.0;2.0;4.0;3.0;NINGUNO
13;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
14;ECO205;III;ECONOMÍA MATEMÁTICA II;00;2.0;6.0;8.0;4.0;ECO202
15;ECO206;III;MICROECONOMÍA I;00;4.0;2.0;6.0;5.0;ECO201
16;ECO207;III;MACROECONOMÍA I;00;4.0;2.0;6.0;5.0;ECO204
17;ECO208;III;ECONOMETRÍA I;00;2.0;4.0;6.0;4.0;ECO203
18;EG107;III;EPISTEMOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
19;EG118;III;IDENTIDAD Y DIVERSIDAD CULTURAL;00;2.0;2.0;4.0;3.0;NINGUNO
20;ECO209;IV;INGLES TÉCNICO;00;1.0;2.0;3.0;2.0;NINGUNO
21;ECO210;IV;ECONOMETRÍA II;00;4.0;2.0;6.0;4.0;ECO208
22;ECO211;IV;ECONOMÍA MATEMÁTICA III;00;4.0;2.0;6.0;4.0;ECO205
23;ECO212;IV;MICROECONOMÍA II;00;4.0;2.0;6.0;5.0;ECO206
24;ECO213;IV;MACROECONOMÍA II;00;4.0;2.0;6.0;5.0;ECO207
25;EG117;IV;TALLER DE ARTE Y CREATIVIDAD;00;2.0;2.0;4.0;3.0;NINGUNO
26;CON219;V;CONTABILIDAD GERENCIAL;00;2.0;2.0;4.0;3.0;NINGUNO
27;ECO214;V;INVESTIGACIÓN DE MERCADOS Y MARKETING;00;2.0;2.0;4.0;3.0;ECO203
28;ECO215;V;ECONOMETRÍA III;00;2.0;4.0;6.0;4.0;ECO210
29;ECO216;V;INGENIERÍA ECONÓMICA;00;2.0;4.0;6.0;4.0;EG103
30;ECO217;V;MICROECONOMÍA III;00;4.0;2.0;6.0;5.0;ECO212
31;ECO218;V;MACROECONOMÍA III;00;4.0;2.0;6.0;5.0;ECO213
32;ECO220;VI;INVESTIGACIÓN OPERATIVA;00;4.0;2.0;6.0;5.0;ECO205
33;ECO221;VI;ECONOMÍA MONETARIA Y BANCARIA;00;2.0;2.0;4.0;3.0;ECO218
34;ECO301;VI;ADMINISTRACIÓN GENERAL;00;2.0;2.0;4.0;3.0;CON219
35;ECO302;VI;COSTOS Y PRESUPUESTO;00;4.0;2.0;6.0;5.0;CON219
36;ECO303;VI;INFORMÁTICA EMPRESARIAL;00;2.0;4.0;6.0;4.0;ECO203
37;ECO304;VI;ECONOMÍA Y POBLACIÓN;00;2.0;2.0;4.0;3.0;EG103
38;ECO222;VII;DESARROLLO ECONÓMICO Y SOCIAL;00;4.0;2.0;6.0;5.0;ECO212
39;ECO305;VII;ECONOMÍA REGIONAL Y URBANA;00;4.0;2.0;6.0;5.0;ECO205
40;ECO306;VII;FORMULACIÓN DE PROYECTOS DE INVERSIÓN;00;2.0;4.0;6.0;4.0;ECO302
41;ECO307;VII;FINANZAS CORPORATIVAS;00;2.0;4.0;6.0;4.0;ECO216
42;ECO308;VII;ECONOMÍA AGRARIA;00;2.0;2.0;4.0;3.0;ECO212
43;ECO309;VII;TIC PARA LA INVESTIGACIÓN ECONÓMICA.;00;2.0;2.0;4.0;3.0;140.00
44;ECO310;VII;DESARROLLO TERRITORIAL CON SIG.;00;2.0;2.0;4.0;3.0;140.00
45;ECO311;VII;ECONOMETRÍA FINANCIERA;00;2.0;2.0;4.0;3.0;140.00
46;ECO223;VIII;ECONOMÍA INTERNACIONAL;00;2.0;2.0;4.0;3.0;ECO218
47;ECO224;VIII;CIENCIA POLÍTICA;00;2.0;2.0;4.0;3.0;ECO222
48;ECO225;VIII;METODOLOGÍA DE LA INVESTIGACIÓN;00;4.0;2.0;6.0;5.0;ECO215
49;ECO312;VIII;EVALUACIÓN PRIVADA DE PROYECTOS;00;2.0;4.0;6.0;4.0;ECO306
50;ECO313;VIII;ECONOMÍA AMBIENTAL;00;4.0;2.0;6.0;5.0;ECO217
51;ECO314;VIII;TALLER DE GESTIÓN DE SISTEMAS ADMINISTRATIVOS.;00;2.0;2.0;4.0;3.0;150.00
52;ECO315;VIII;EVALUACIÓN DE IMPACTO AMBIENTAL.;00;2.0;2.0;4.0;3.0;150.00
53;ECO316;VIII;TALLER DE PLANES DE NEGOCIOS.;00;2.0;2.0;4.0;3.0;150.00
54;ECO317;VIII;MICROFINANZAS.;00;2.0;2.0;4.0;3.0;150.00
55;ECO226;IX;TALLER DE INVESTIGACIÓN;00;2.0;4.0;6.0;4.0;ECO225
56;ECO227;IX;DISEÑO Y EVALUACIÓN DE POLÍTICAS PÚBLICAS;00;4.0;2.0;6.0;5.0;ECO217
