N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRESIÓN Y ARGUMENTACIÓN;0;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;0;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
6;EG112;I;FÍSICA I;0;3;2;5;4;NINGUNO
7;ELE201;I;DISEÑO DE INGENIERÍA;0;1;2;3;2;NINGUNO
8;EG110;II;ESTADISTICA;0;3;2;5;4;NINGUNO
9;EG111;II;CÁLCULO DIFERENCIAL;0;3;2;5;4;NINGUNO
10;ELE203;II;LENGUAJE DE PROGRAMACIÓN I;0;3;2;5;4;NINGUNO
11;ELE204;II;TECNOLOGÍA ELECTRÓNICA;0;2;2;4;3;ELE201
12;FIS205;II;FÍSICA II;0;3;2;5;4;EG112
13;MAT202;II;MATEMÁTICA BÁSICA APLICADA;0;4;2;6;5;EG103
14;EG107;III;EPISTEMOLOGÍA;0;2;2;4;3;NINGUNO
15;ELE207;III;LENGUAJES DE PROGRAMACIÓN II;0;4;2;6;5;ELE203
16;ELE208;III;ANÁLISIS DE CIRCUITOS ELÉCTRICOS I;0;4;2;6;5;ELE204
17;ELE209;III;CÁLCULO APLICADO DE LA INGENIERÍA ELECTRÓNICA I;0;4;2;6;5;MAT202
18;ELE210;III;LABORATORIO DE ELECTRÓNICA I;0;0;2;2;1;ELE204
19;FIS206;III;FÍSICA III;0;4;2;6;5;FIS205
20;EG119;IV;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
21;ELE211;IV;FÍSICA APLICADA A LA INGENIERÍA ELECTRÓNICA;0;4;2;6;5;FIS206
22;ELE212;IV;ANÁLISIS DE CIRCUITOS ELÉCTRICOS II;0;4;2;6;5;ELE208
23;ELE213;IV;DISPOSITIVOS ELECTRÓNICOS;0;4;2;6;5;ELE204
24;ELE214;IV;CÁLCULO APLICADO DE LA INGENIERÍA ELECTRÓNICA II;0;4;2;6;5;ELE209
25;ELE215;IV;LABORATORIO DE ELECTRÓNICA II;0;0;2;2;1;ELE210
26;ELE216;V;MÁQUINAS ELÉCTRICAS;0;3;2;5;4;ELE212
27;ELE217;V;CIRCUITOS ELECTRÓNICOS I;0;4;2;6;5;ELE213
28;ELE218;V;SISTEMAS DIGITALES I;0;4;2;6;5;ELE207
29;ELE219;V;TELECOMUNICACIONES I;0;4;2;6;5;ELE214
30;ELE220;V;PROPAGACIÓN Y RADIACIÓN ELECTROMAGNÉTICA;0;3;2;5;4;ELE211
31;ELE221;V;LABORATORIO DE ELECTRÓNICA III;0;0;2;2;1;ELE215
32;ELE222;VI;CIRCUITOS ELECTRÓNICOS II;0;3;2;5;4;ELE217
33;ELE223;VI;TEORÍA DE CONTROL AUTOMÁTICO I;0;4;2;6;5;ELE216
34;ELE224;VI;SISTEMAS DIGITALES II;0;3;2;5;4;ELE218
35;ELE225;VI;TELECOMUNICACIONES II;0;4;2;6;5;ELE219
36;ELE227;VI;LABORATORIO DE TELECOMUNICACIONES;0;0;2;2;1;ELE221
37;HUM228;VI;INGLÉS TÉCNICO;0;2;0;2;2;NINGUNO
38;MEC226;VI;INSTALACIÓN Y SUMINISTRO ELÉCTRICO;0;2;2;4;3;ELE220
39;ELE229;VII;MEDIOS DE TRANSMISIÓN Y ANTENAS;0;2;2;4;3;ELE225
40;ELE230;VII;ELECTRÓNICA DE POTENCIA;0;3;2;5;4;MEC226
41;ELE231;VII;CIRCUITOS DE RADIOFRECUENCIA;0;3;2;5;4;ELE222
42;ELE232;VII;DISPOSITIVOS IoT;0;3;2;5;4;ELE224
43;ELE233;VII;REDES DE COMUNICACIONES;0;3;2;5;4;ELE227
44;ELE301;VII;TEORÍA DE CONTROL AUTOMÁTICO II;0;4;2;6;5;ELE223
45;ELE234;VIII;ARQUITECTURA DE REDES DE COMUNICACIONES;0;3;2;5;4;ELE233
46;ELE302;VIII;AUTÓMATAS PROGRAMABLES;0;3;2;5;4;ELE230
47;ELE303;VIII;PROYECTOS ELECTRÓNICOS;0;2;2;4;3;ELE231
48;ELE304;VIII;COMUNICACIONES FIJAS;0;2;2;4;3;ELE232
49;ELE305;VIII;TEORÍA DE CONTROL AUTOMÁTICO III;0;2;2;4;3;ELE301
50;ELE306;VIII;SISTEMAS DE TELEVISIÓN DIGITAL Y RADIODIFUSIÓN;0;2;2;4;3;ELE229
51;ELE307;VIII;PROGRAMACIÓN EN DISPOSITIVOS MÓVILES;0;2;2;4;3;ELE229
52;ELE308;VIII;TEORÍA DE LA INFORMACIÓN;0;2;2;4;3;ELE229
53;ELE309;VIII;INSTRUMENTACIÓN INDUSTRIAL;0;2;2;4;3;ELE229
54;ELE310;VIII;SEGURIDAD INDUSTRIAL Y CONFIABILIDAD;0;2;2;4;3;ELE229
55;ELE311;VIII;INSTALACIONES ELECTRÓNICAS INDUSTRIALES;0;2;2;4;3;ELE229
56;ELE235;IX;COMUNICACIONES MÓVILES;0;3;2;5;4;ELE304
57;ELE236;IX;INSTRUMENTACIÓN Y TECNOLOGÍA BIOMÉDICA;0;3;2;5;4;ELE302
58;ELE312;IX;TALLER DE TESIS;0;2;2;4;3;ELE303
59;ELE313;IX;SEGURIDAD EN REDES DE DATOS;0;2;2;4;3;ELE304
60;ELE314;IX;TEORÍA DE CONTROL AUTOMÁTICO AVANZADO;0;2;2;4;3;ELE305
61;ELE315;IX;MICROONDAS Y COMUNICACIONES SATELITALES;0;2;2;4;3;ELE306
62;ELE316;IX;CIBER SEGURIDAD;0;2;2;4;3;ELE308
63;ELE317;IX;INTELIGENCIA ARTIFICIAL;0;2;2;4;3;ELE307
64;ELE318;IX;ACTUADORES Y ACCIONAMIENTOS;0;2;2;4;3;ELE309
65;ELE319;IX;SISTEMAS DE CONTROL DISTRIBUIDO;0;2;2;4;3;ELE311
66;ELE320;IX;LABORATORIO LÓGICO INDUSTRIAL;0;2;2;4;3;ELE310
