N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSION Y ARGUMENTACION;0;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ETICA;0;2;2;4;3;NINGUNO
3;EG103;I;MATEMATICA BASICA;0;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
6;EST201;I;ESTADISTICA BASICA;0;4;2;6;5;NINGUNO
7;EG108;II;QUIMICA GENERAL;0;3;2;5;4;NINGUNO
8;EG109;II;FISICA GENERAL;0;3;2;5;4;NINGUNO
9;EG111;II;CALCULO DIFERENCIAL;0;3;2;5;4;EG103
10;EG114;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;NINGUNO
11;EST202;II;CALCULO DE PROBABILIDADES;0;4;2;6;5;EST201
12;EST301;II;ANALISIS Y DISEÑOS DE ALGORITMOS;0;3;2;5;4;NINGUNO
13;EG119;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
14;EST203;III;ESTRUCTURA DE DATOS;0;2;2;4;3;EST301
15;EST204;III;DISTRIBUCIONES DE PROBABILIDAD;0;2;2;4;3;EST202
16;EST206;III;INGLES;0;1;2;3;2;EG102
17;EST302;III;MUESTREO;0;3;2;5;4;NINGUNO
18;EST303;III;LENGUAJES DE PROGRAMACION I;0;3;2;5;4;EST301
19;MAT205;III;CALCULO INTEGRAL Y ECUACIONES DIFERENCIALES;0;3;2;5;4;EG111
20;EST207;IV;PROGRAMACION NUMERICA;0;2;2;4;3;MAT205
21;EST304;IV;SISTEMAS DE GESTION DE BASE DE DATOS I;0;3;2;5;4;EST203
22;EST305;IV;LENGUAJES DE PROGRAMACION II;0;3;2;5;4;EST303
23;EST306;IV;INFERENCIA ESTADISTICA;0;2;2;4;3;EST204
24;EST307;IV;MODELOS DISCRETOS;0;4;2;6;5;MAT205
25;EST308;IV;ANALISIS Y DISEÑO DE SISTEMAS DE INFORMACION;0;4;2;6;5;EST203
26;ELE311;V;ARQUITECTURA DE COMPUTADORAS;0;3;2;5;4;EG109
27;EST208;V;ESTADISTICA NO PARAMETRICA;0;2;2;4;3;EST302
28;EST309;V;METODOS DE OPTIMIZACION;0;2;2;4;3;EST207
29;EST310;V;LENGUAJES DE PROGRAMACION III;0;3;2;5;4;EST305
30;EST312;V;ESTADISTICA COMPUTACIONAL;0;4;2;6;5;EST306
31;EST313;V;SISTEMAS DE GESTION DE BASE DE DATOS II;0;4;2;6;5;EST304, EST308
32;EST209;VI;REGRESION LINEAL Y NO LINEAL;0;3;2;5;4;EST309
33;EST210;VI;MODELOS LINEALES;0;4;2;6;5;EST307
34;EST314;VI;APRENDIZAJE NO SUPERVISADO;0;3;2;5;4;EST312
35;EST315;VI;GESTION DE PROYECTOS TICS;0;3;2;5;4;EST313
36;EST316;VI;ARQUITECTURA DE REDES Y PROTOCOLOS;0;2;2;4;3;ELE311
37;EST317;VI;SERIES DE TIEMPO;0;3;2;5;4;EST208
38;EST211;VII;ESTADISTICA BAYESIANA;0;3;2;5;4;EST317
39;EST212;VII;METODOLOGIA DE LA INVESTIGACION;0;3;2;5;4;EST210
40;EST318;VII;SISTEMAS DISTRIBUIDOS;0;3;2;5;4;EST316
41;EST319;VII;INGENIERIA DE SOFTWARE I;0;3;2;5;4;EST310, EST315
42;EST320;VII;APRENDIZAJE SUPERVISADO;0;3;2;5;4;EST314
43;EST321;VII;ADMINISTRACION DE REDES;0;3;2;5;4;EST316
44;ADM213;VIII;MARKETING;0;2;2;4;3;EST211
45;EST214;VIII;CONTROL ESTADISTICO DE PROCESOS;0;2;2;4;3;EST212
46;EST322;VIII;COMPUTACION PARALELA;0;3;2;5;4;EST318, EST321
47;EST323;VIII;INGENIERIA DE SOFTWARE II;0;3;2;5;4;EST319
48;EST324;VIII;CIENCIA DE DATOS I;0;3;2;5;4;EST320
49;EST325;VIII;DISEÑOS EXPERIMENTALES I;0;3;2;5;4;EST209
50;EST326;VIII;TALLER DE DESARROLLO DE SOFTWARE;0;0;2;2;1;EST319
51;EST215;IX;INVESTIGACION DE MERCADOS;0;2;2;4;3;EST214, ADM213
52;EST327;IX;SEGURIDAD Y AUDITORIA INFORMATICA;0;3;2;5;4;EST322
53;EST328;IX;CIENCIA DE DATOS II;0;3;2;5;4;EST324
54;EST329;IX;INTERNET DE LAS COSAS Y COMPUTACION EN LAS NUBES;0;2;2;4;3;EST323
55;EST330;IX;DISEÑOS EXPERIMENTALES II;0;3;2;5;4;EST325
56;EST331;IX;INTELIGENCIA ARTIFICIAL;0;3;2;5;4;EST326
57;EST332;IX;TALLER DE ESTADISTICA;0;0;2;2;1;EST324
58;EST216;X;TALLER DE TESIS;0;4;2;6;5;EST329, EST331
59;EST333;X;TECNOLOGIAS EMERGENTES;0;4;2;6;5;EST332, EST328
60;EST334;X;ESTADISTICA ESPACIAL;0;4;2;6;5;EST327
61;EST335;X;INTELIGENCIA DE NEGOCIOS;0;4;2;6;5;EST215
62;EST336;X;PRACTICAS PRE PROFESIONALES;0;0;6;6;3;"211.00 CRED - EST327,
EST328, EST329,
EST330, EST215,
EST331, EST332"
