N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;ESTADÍSTICA BÁSICA;0;4;2;6;5;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
7;;II;FÍSICA GENERAL;0;3;2;5;4;Null
8;;II;CÁLCULO DE PROBABILIDADES;0;4;2;6;5;Null
9;;II;CALCULO DIFERENCIAL;0;3;2;5;4;Null
10;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null
11;;II;QUÍMICA GENERAL;0;3;2;5;4;Null
12;;II;ANÁLISIS Y DISEÑOS DE ALGORITMOS;0;3;2;5;4;Null
13;;III;CALCULO INTEGRAL Y ECUACIONES DIFERENCIALES;0;3;2;5;4;Null
14;;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
15;;III;ESTRUCTURA DE DATOS;0;2;2;4;3;Null
16;;III;MUESTREO;0;3;2;5;4;Null
17;;III;DISTRIBUCIONES DE PROBABILIDAD;0;2;2;4;3;Null
18;;III;LENGUAJES DE PROGRAMACIÓN I;0;3;2;5;4;Null
19;;III;INGLES;0;1;2;3;2;Null
20;;IV;SISTEMAS DE GESTIÓN DE BASE DE DATOS I;0;3;2;5;4;Null
21;;IV;LENGUAJES DE PROGRAMACIÓN II;0;3;2;5;4;Null
22;;IV;PROGRAMACIÓN NUMÉRICA;0;2;2;4;3;Null
23;;IV;INFERENCIA ESTADÍSTICA;0;2;2;4;3;Null
24;;IV;MODELOS DISCRETOS;0;4;2;6;5;Null
25;;IV;ANÁLISIS Y DISEÑO DE SISTEMAS DE INFORMACIÓN;0;4;2;6;5;Null
26;;V;MÉTODOS DE OPTIMIZACIÓN;0;2;2;4;3;Null
27;;V;LENGUAJES DE PROGRAMACIÓN III;0;3;2;5;4;Null
28;;V;ARQUITECTURA DE COMPUTADORAS;0;3;2;5;4;Null
29;;V;ESTADÍSTICA NO PARAMÉTRICA;0;2;2;4;3;Null
30;;V;ESTADÍSTICA COMPUTACIONAL;0;4;2;6;5;Null
31;;V;SISTEMAS DE GESTIÓN DE BASE DE DATOS II;0;4;2;6;5;Null
32;;VI;APRENDIZAJE NO SUPERVISADO;0;3;2;5;4;Null
33;;VI;GESTIÓN DE PROYECTOS TICS;0;3;2;5;4;Null
34;;VI;ARQUITECTURA DE REDES Y PROTOCOLOS;0;2;2;4;3;Null
35;;VI;SERIES DE TIEMPO;0;3;2;5;4;Null
36;;VI;REGRESIÓN LINEAL Y NO LINEAL;0;3;2;5;4;Null
37;;VI;MODELOS LINEALES;0;4;2;6;5;Null
38;;VII;SISTEMAS DISTRIBUIDOS;0;3;2;5;4;Null
39;;VII;ESTADÍSTICA BAYESIANA;0;3;2;5;4;Null
40;;VII;INGENIERÍA DE SOFTWARE I;0;3;2;5;4;Null
41;;VII;METODOLOGÍA DE LA INVESTIGACIÓN;0;3;2;5;4;Null
42;;VII;APRENDIZAJE SUPERVISADO;0;3;2;5;4;Null
43;;VII;ADMINISTRACIÓN DE REDES;0;3;2;5;4;Null
44;;VIII;COMPUTACIÓN PARALELA;0;3;2;5;4;Null
45;;VIII;INGENIERÍA DE SOFTWARE II;0;3;2;5;4;Null
46;;VIII;MARKETING;0;2;2;4;3;Null
47;;VIII;CIENCIA DE DATOS I;0;3;2;5;4;Null
48;;VIII;DISEÑOS EXPERIMENTALES I;0;3;2;5;4;Null
49;;VIII;TALLER DE DESARROLLO DE SOFTWARE;0;0;2;2;1;Null
50;;VIII;CONTROL ESTADÍSTICO DE PROCESOS;0;2;2;4;3;Null
51;;IX;SEGURIDAD Y AUDITORIA INFORMÁTICA;0;3;2;5;4;Null
52;;IX;CIENCIA DE DATOS II;0;3;2;5;4;Null
53;;IX;INTERNET DE LAS COSAS Y COMPUTACIÓN EN LAS NUBES;0;2;2;4;3;Null
54;;IX;DISEÑOS EXPERIMENTALES II;0;3;2;5;4;Null
55;;IX;INVESTIGACIÓN DE MERCADOS;0;2;2;4;3;Null
56;;IX;INTELIGENCIA ARTIFICIAL;0;3;2;5;4;Null
57;;IX;TALLER DE ESTADÍSTICA;0;0;2;2;1;Null
58;;X;TRABAJO DE INVESTIGACIÓN;0;1;2;3;2;Null
59;;X;TECNOLOGÍAS EMERGENTES;0;4;2;6;5;Null
60;;X;ESTADÍSTICA ESPACIAL;0;4;2;6;5;Null
61;;X;INTELIGENCIA DE NEGOCIOS;0;4;2;6;5;Null
62;;X;PRACTICAS PRE PROFESIONALES;0;0;6;6;3;Null
