N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;0;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
6;EG111;I;CALCULO DIFERENCIAL;0;3;2;5;4;NINGUNO
7;MEC301;I;DIBUJO ELECTROMECÁNICO;0;1;2;3;2;NINGUNO
8;EG110;II;ESTADÍSTICA;0;3;2;5;4;NINGUNO
9;EG112;II;FÍSICA I;0;3;2;5;4;NINGUNO
10;EG114;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;NINGUNO
11;HUM203;II;INGLES TÉCNICO;0;1;2;3;2;NINGUNO
12;MEC201;II;CALCULO INTEGRAL;0;3;2;5;4;EG111
13;MEC202;II;GEOMETRÍA DESCRIPTIVA;0;2;2;4;3;MEC301
14;MEC302;II;CIENCIA E INGENIERÍA DE LOS MATERIALES;0;2;2;4;3;NINGUNO
15;EG119;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
16;MEC204;III;FÍSICA II;0;3;2;5;4;EG112
17;MEC205;III;CALCULO VECTORIAL;0;3;2;5;4;MEC201
18;MEC303;III;ESTÁTICA;0;3;2;5;4;NINGUNO
19;MEC304;III;MÁQUINAS HERRAMIENTAS;0;3;2;5;4;MEC302
20;MEC305;III;DISEÑO MECÁNICO;0;1;2;3;2;NINGUNO
21;MEC306;III;DISEÑO ELÉCTRICO;0;1;2;3;2;NINGUNO
22;MEC206;IV;PROGRAMACIÓN ELECTROMECÁNICA;0;2;2;4;3;NINGUNO
23;MEC207;IV;ELECTRICIDAD Y ELECTROMAGNETISMO;0;3;2;5;4;MEC306
24;MEC208;IV;ECUACIONES DIFERENCIALES;0;2;2;4;3;MEC205
25;MEC209;IV;SEGURIDAD Y SALUD INDUSTRIAL;0;1;2;3;2;NINGUNO
26;MEC307;IV;DINÁMICA;0;3;2;5;4;EG112
27;MEC308;IV;RESISTENCIA DE MATERIALES;0;3;2;5;4;MEC303
28;MEC309;IV;TERMODINÁMICA I;0;3;2;5;4;MEC204
29;MEC210;V;MÉTODOS NUMÉRICOS;0;2;2;4;3;MEC208
30;MEC211;V;LABORATORIO DE INGENIERÍA MECÁNICA I;0;0;2;2;1;MEC304
31;MEC310;V;DISEÑO DE ELEMENTOS DE MÁQUINAS I;0;3;2;5;4;MEC308
32;MEC311;V;ANÁLISIS DE CIRCUITOS ELÉCTRICOS I;0;3;2;5;4;MEC207
33;MEC312;V;NEUMÁTICA E HIDRÁULICA;0;2;2;4;3;NINGUNO
34;MEC313;V;TERMODINÁMICA II;0;3;2;5;4;MEC309
35;MEC314;V;MECÁNICA DE FLUIDOS;0;3;2;5;4;MEC307
36;MEC212;VI;COSTOS Y PRESUPUESTOS;0;2;2;4;3;NINGUNO
37;MEC213;VI;LABORATORIO DE CIRCUITOS ELÉCTRICOS I;0;0;2;2;1;MEC311
38;MEC214;VI;CONTROL DE PROCESOS I;0;3;2;5;4;MEC312
39;MEC315;VI;DISEÑO DE ELEMENTOS DE MÁQUINAS II;0;3;2;5;4;MEC310
40;MEC316;VI;CIRCUITOS ELECTRÓNICOS Y DIGITALES;0;2;2;4;3;MEC207
41;MEC317;VI;ANÁLISIS DE CIRCUITOS ELÉCTRICOS II;0;3;2;5;4;MEC311
42;MEC318;VI;DINÁMICA DE GASES;0;3;2;5;4;MEC314
43;MEC215;VII;LABORATORIO DE CIRCUITOS ELÉCTRICOS II;0;0;2;2;1;MEC317
44;MEC216;VII;LABORATORIO DE INGENIERÍA MECÁNICA II;0;0;2;2;1;MEC211
45;MEC217;VII;CONTROL DE PROCESOS II;0;3;2;5;4;MEC214
46;MEC319;VII;TRANSFERENCIA DE CALOR;0;3;2;5;4;MEC318
47;MEC320;VII;TEORÍA DE MÁQUINAS Y MECANISMOS;0;1;2;3;2;MEC315
48;MEC321;VII;MÁQUINAS ELÉCTRICAS I;0;3;2;5;4;MEC317
49;MEC322;VII;MEDIDAS ELÉCTRICAS;0;2;2;4;3;MEC213
50;MEC323;VII;MÁQUINAS TÉRMICAS I;0;2;2;4;3;MEC313
51;MEC218;VIII;LABORATORIO DE MÁQUINAS ELÉCTRICAS I;0;0;2;2;1;MEC321
52;MEC219;VIII;LABORATORIO DE MEDIDAS ELÉCTRICAS;0;0;2;2;1;MEC322
