N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;0;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
6;EG120;I;GEOHISTORIA REGIONAL;0;2;2;4;3;NINGUNO
7;MET201;I;INTRODUCCIÓN A LA INGENIERÍA METALÚRGICA Y SU REALIDAD NACIONAL;0;2;2;4;3;NINGUNO
8;EG106;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;NINGUNO
9;EG110;II;ESTADÍSTICA;0;3;2;5;4;NINGUNO
10;EG111;II;CÁLCULO DIFERENCIAL;0;3;2;5;4;EG103
11;EG112;II;FÍSICA I;0;3;2;5;4;NINGUNO
12;MET202;II;QUÍMICA DE LOS MINERALES Y METALES;0;2;4;6;4;NINGUNO
13;MET203;II;ORGANOMETALURGIA;0;3;2;5;4;NINGUNO
14;EG119;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
15;FIS205;III;FÍSICA II;0;3;2;5;4;EG112
16;MAT204;III;CÁLCULO II;0;3;2;5;4;EG111
17;MEC207;III;ELECTROMECÁNICA METALÚRGICA;0;1;2;3;2;NINGUNO
18;MET206;III;FISICOQUÍMICA DE PROCESOS METALÚRGICOS;0;3;2;5;4;NINGUNO
19;MET208;III;ANÁLISIS DE MINERALES Y METALES I;0;3;2;5;4;MET202
20;MIN209;III;MINERÍA GENERAL;0;3;0;3;3;NINGUNO
21;MAT210;IV;CÁLCULO III;0;3;2;5;4;MAT204
22;MET211;IV;DIBUJO DE INGENIERÍA;0;1;4;5;3;NINGUNO
23;MET212;IV;DISEÑOS EXPERIMENTALES;0;3;2;5;4;EG110
24;MET213;IV;GEOMETALURGIA;0;3;2;5;4;MIN209
25;MET214;IV;ANÁLISIS DE MINERALES Y METALES II;0;3;2;5;4;MET208
26;MET215;IV;METALURGIA FÍSICA;0;3;2;5;4;NINGUNO
27;MET216;V;ANÁLISIS METALÚRGICO INSTRUMENTAL;0;3;2;5;4;MET214
28;MET217;V;MECÁNICA DE FLUIDOS;0;4;2;6;5;MAT210
29;MET218;V;TERMODINÁMICA Y CINÉTICA METALÚRGICA;0;3;2;5;4;NINGUNO
30;MET219;V;SEGURIDAD INDUSTRIAL Y MEDIO AMBIENTE;0;2;2;4;3;NINGUNO
31;MET220;V;SOLIDIFICACIÓN DE METALES Y ALEACIONES;0;3;2;5;4;MET215
32;MET301;V;MINERALURGIA;0;3;2;5;4;MET213
33;MET221;VI;TRANSFERENCIA DE MASA Y CALOR;0;4;2;6;5;MET218
34;MET222;VI;METALURGIA DE LITIO Y URANIO ;0;2;2;4;3;NINGUNO
35;MET223;VI;CIENCIA E INGENIERÍA DE LOS MATERIALES ( E );0;2;2;4;3;NINGUNO
36;MET224;VI;METALURGIA MECÁNICA;0;3;2;5;4;MET215
37;MET302;VI;HIDROMETALURGIA;0;3;2;5;4;MET218
38;MET303;VI;METALURGIA DEL ORO Y PLATA I;0;3;2;5;4;NINGUNO
39;MET304;VI;CONCENTRACIÓN DE MINERALES I;0;3;2;5;4;MET301
40;MET225;VII;ENSAYOS NO DESTRUCTIVOS;0;3;2;5;4;MET224
41;MET305;VII;PIROMETALURGIA;0;3;2;5;4;NINGUNO
42;MET306;VII;METALURGIA DEL ORO Y PLATA II;0;3;2;5;4;MET303
43;MET307;VII;CONCENTRACIÓN DE MINERALES II;0;3;2;5;4;MET304
44;MET308;VII;TECNOLOGÍA Y METALURGIA DE LA SOLDADURA;0;3;2;5;4;NINGUNO
45;MET309;VII;CONFORMADO DE METALES POR DEFORMACIÓN PLÁSTICA;0;3;2;5;4;MET224
46;HUM227;VIII;INGLÉS TÉCNICO;0;2;2;4;3;NINGUNO
47;MET226;VIII;METODOLOGÍA DE INVESTIGACIÓN;0;3;2;5;4;MET212
48;MET310;VIII;"OPERACIONES Y PROCESOS AUXILIARES EN PLANTAS
CONCENTRADORAS";0;3;2;5;4;MET304
49;MET311;VIII;ELECTROMETALURGIA;0;3;2;5;4;MET305
50;MET312;VIII;SIDERURGIA;0;3;2;5;4;MET215
51;MET313;VIII;FUNDICIÓN Y MOLDEO NO FERROSA;0;2;4;6;4;MET220
52;MET228;IX;"MODELAMIENTO Y SIMULACIÓN DE PROCESOS
METALÚRGICOS";0;3;2;5;4;NINGUNO
