N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ETICA;0;2;2;4;3;NINGUNO
3;EG103;I;MATEMATICA BASICA;0;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
6;EG108;I;QUIMICA GENERAL;0;3;2;5;4;NINGUNO
7;IQ201;I;INTRODUCCION A INGENIERIA QUIMICA;0;3;0;3;3;NINGUNO
8;EG110;II;ESTADISTICA;0;3;2;5;4;NINGUNO
9;EG111;II;CALCULO DIFERENCIAL;0;3;2;5;4;EG103
10;EG112;II;FISICA I;0;3;2;5;4;NINGUNO
11;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
12;IQ202;II;QUIMICA GENERAL APLICADA;0;3;2;5;4;EG108
13;IQ203;II;QUIMICA ORGANICA I;0;2;2;4;3;NINGUNO
14;IQ204;II;INGLES TECNICO I;0;2;0;2;2;NINGUNO
15;ARQ209;III;GRAFICA PARA INGENIERIA;0;2;2;4;3;20
16;IQ206;III;QUIMICA INORGANICA;0;3;2;5;4;IQ202
17;IQ207;III;QUIMICA ORGANICA II;0;2;2;4;3;IQ203
18;IQ210;III;INGLES TECNICO II;0;1;2;3;2;IQ204
19;IQ301;III;TECNOLOGIA DE CERAMICA Y VIDRIO;0;2;2;4;3;IQ201
20;MAT205;III;CALCULO INTEGRAL;0;3;2;5;4;EG111
21;MAT208;III;FISICA II;0;3;2;5;4;EG112
22;IQ212;IV;MATERIALES DE INGENIERIA QUIMICA;0;2;2;4;3;50
23;IQ213;IV;QUIMICA ANALITICA;0;3;2;5;4;IQ206
24;IQ214;IV;FISICOQUIMICA;0;3;2;5;4;MAT208
25;IQ215;IV;DISEÑOS EXPERIMENTALES;0;2;2;4;3;50
26;IQ216;IV;SEGURIDAD E HIGIENE INDUSTRIAL;0;3;0;3;3;50
27;IQ302;IV;TECNOLOGIA DEL CUERO;0;2;2;4;3;50
28;MAT211;IV;ECUACIONES DIFERENCIALES APLICADAS;0;3;2;5;4;MAT205
29;ADM304;V;GENERACION DE MODELOS DE NEGOCIOS ;0;2;2;4;3;70
30;IQ217;V;METODOS NUMERICOS PARA INGENIERIA QUIMICA;0;2;2;4;3;70
31;IQ218;V;ANALISIS QUIMICO INSTRUMENTAL;0;3;2;5;4;IQ213
32;IQ219;V;TERMODINAMICA PARA INGENIERIA QUIMICA I;0;2;2;4;3;IQ214
33;IQ220;V;FENOMENOS DE TRANSPORTE;0;3;2;5;4;MAT211
34;IQ221;V;BALANCE DE MATERIA Y ENERGIA;0;3;2;5;4;IQ212
35;IQ222;V;CONTAMINACION AMBIENTAL;0;3;0;3;3;70
36;IQ303;V;TECNOLOGIAS DE PRODUCTOS NATURALES ;0;2;2;4;3;70
37;IQ223;VI;TRATAMIENTO DE AGUAS;0;2;2;4;3;IQ218
38;IQ224;VI;BIOQUIMICA APLICADA;0;2;2;4;3;IQ207
39;IQ225;VI;TERMODINAMICA PARA INGENIERIA QUIMICA II;0;2;2;4;3;IQ219
40;IQ226;VI;OPERACIONES DE INGENIERIA QUIMICA;0;3;2;5;4;IQ221
41;IQ227;VI;MECANICA DE FLUIDOS;0;3;2;5;4;IQ220
42;IQ228;VI;SISTEMAS INTEGRADOS DE GESTION;0;2;2;4;3;80
43;IQ305;VI;BROMATOLOGIA ;0;2;2;4;3;80
44;IQ306;VI;ANALISIS QUIMICO DE MINERALES ;0;2;2;4;3;80
45;GEO308;VII;MINERALOGIA ;0;2;2;4;3;90
46;IQ229;VII;INFORMATICA PARA INGENIERIA QUIMICA;0;2;2;4;3;IQ217
47;IQ230;VII;OPERACIONES Y PROCESOS QUIMICO METALURGICOS;0;2;2;4;3;90
48;IQ231;VII;TRANSFERENCIA DE CALOR;0;3;2;5;4;IQ227
49;IQ232;VII;INGENIERIA DE REACCIONES QUIMICAS I;0;3;2;5;4;IQ225
50;IQ307;VII;TECNOLOGIA DEL CEMENTO Y CAL;0;2;2;4;3;90
51;IQ310;VII;GESTION DE EFLUENTES URBANOS E INDUSTRIALES ;0;2;2;4;3;110
52;IQ311;VII;SEGURIDAD Y SALUD OCUPACIONAL ;0;2;2;4;3;110
53;MET309;VII;ELECTROQUIMICA Y CORROSION ;0;2;2;4;3;90
54;IQ233;VIII;TRANSFERENCIA DE MASA I;0;3;2;5;4;IQ231
55;IQ234;VIII;INGENIERIA DE REACCIONES QUIMICAS II;0;3;2;5;4;IQ232
56;IQ235;VIII;ECONOMIA DE LOS PROCESOS QUIMICOS;0;4;0;4;4;140
57;IQ312;VIII;TECNOLOGIA DE ALIMENTOS;0;2;2;4;3;IQ224
58;IQ313;VIII;PETROLEO Y GAS NATURAL;0;2;2;4;3;140
59;IQ314;VIII;PLANEAMIENTO Y CONTROL DE LA PRODUCCION ;0;2;2;4;3;120
60;IQ315;VIII;INSTRUMENTACION Y CONTROL DE PROCESOS ;0;2;2;4;3;120
61;IQ316;VIII;SISTEMA DE GESTION DE RESIDUOS SOLIDOS ;0;2;2;4;3;IQ310
62;IQ317;VIII;PRINCIPIOS DE SEGURIDAD Y SALUD EN EL TRABAJO ;0;2;2;4;3;IQ311
