N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;QUÍMICA GENERAL;0;3;2;5;4;Null
7;;I;INTRODUCCIÓN A INGENIERÍA QUÍMICA;0;3;0;3;3;Null
8;;II;CALCULO DIFERENCIAL;0;3;2;5;4;Null
9;;II;QUÍMICA GENERAL APLICADA;0;3;2;5;4;Null
10;;II;QUÍMICA ORGÁNICA I;0;2;2;4;3;Null
11;;II;FÍSICA I;0;3;2;5;4;Null
12;;II;ESTADÍSTICA;0;3;2;5;4;Null
13;;II;INGLES TÉCNICO I;0;2;0;2;2;Null
14;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
15;;III;CALCULO INTEGRAL;0;3;2;5;4;Null
16;;III;QUÍMICA INORGÁNICA;0;3;2;5;4;Null
17;;III;QUÍMICA ORGÁNICA II;0;2;2;4;3;Null
18;;III;FÍSICA II;0;3;2;5;4;Null
19;;III;GRAFICA PARA INGENIERÍA;0;2;2;4;3;Null
20;;III;INGLES TÉCNICO II;0;1;2;3;2;Null
21;;III;TECNOLOGÍA DE CERÁMICA Y VIDRIO;0;2;2;4;3;Null
22;;IV;ECUACIONES DIFERENCIALES APLICADAS;0;3;2;5;4;Null
23;;IV;MATERIALES DE INGENIERÍA QUÍMICA;0;2;2;4;3;Null
24;;IV;QUÍMICA ANALÍTICA;0;3;2;5;4;Null
25;;IV;FISICOQUÍMICA;0;3;2;5;4;Null
26;;IV;DISEÑOS EXPERIMENTALES;0;2;2;4;3;Null
27;;IV;SEGURIDAD E HIGIENE INDUSTRIAL;0;3;0;3;3;Null
28;;IV;TECNOLOGÍA DEL CUERO;0;2;2;4;3;Null
29;;V;MÉTODOS NUMÉRICOS PARA INGENIERÍA QUÍMICA;0;2;2;4;3;Null
30;;V;ANÁLISIS QUÍMICO INSTRUMENTAL;0;3;2;5;4;Null
31;;V;TERMODINÁMICA PARA INGENIERÍA QUÍMICA I;0;2;2;4;3;Null
32;;V;FENÓMENOS DE TRANSPORTE;0;3;2;5;4;Null
33;;V;BALANCE DE MATERIA Y ENERGÍA;0;3;2;5;4;Null
34;;V;CONTAMINACIÓN AMBIENTAL;0;3;0;3;3;Null
35;;V;TECNOLOGÍAS DE PRODUCTOS NATURALES;0;2;2;4;3;Null
36;;V;GENERACIÓN DE MODELOS DE NEGOCIOS;0;2;2;4;3;Null
37;;VI;TRATAMIENTO DE AGUAS;0;2;2;4;3;Null
38;;VI;BIOQUÍMICA APLICADA;0;2;2;4;3;Null
39;;VI;TERMODINÁMICA PARA INGENIERÍA QUÍMICA II;0;2;2;4;3;Null
40;;VI;OPERACIONES DE INGENIERÍA QUÍMICA;0;3;2;5;4;Null
41;;VI;MECÁNICA DE FLUIDOS;0;3;2;5;4;Null
42;;VI;SISTEMAS INTEGRADOS DE GESTIÓN;0;2;2;4;3;Null
43;;VI;BROMATOLOGÍA;0;2;2;4;3;Null
44;;VI;ANÁLISIS QUÍMICO DE MINERALES;0;2;2;4;3;Null
45;;VII;INFORMÁTICA PARA INGENIERÍA QUÍMICA;0;2;2;4;3;Null
46;;VII;OPERACIONES Y PROCESOS QUÍMICO METALÚRGICOS;0;2;2;4;3;Null
47;;VII;TRANSFERENCIA DE CALOR;0;3;2;5;4;Null
48;;VII;INGENIERÍA DE REACCIONES QUÍMICAS I;0;3;2;5;4;Null
49;;VII;TECNOLOGÍA DEL CEMENTO Y CAL;0;2;2;4;3;Null
50;;VII;MINERALOGÍA;0;2;2;4;3;Null
51;;VII;ELECTROQUÍMICA Y CORROSIÓN;0;2;2;4;3;Null
52;;VII;GESTIÓN DE EFLUENTES URBANOS E INDUSTRIALES;0;2;2;4;3;Null
53;;VII;SEGURIDAD Y SALUD OCUPACIONAL;0;2;2;4;3;Null
54;;VIII;TRANSFERENCIA DE MASA I;0;3;2;5;4;Null
55;;VIII;INGENIERÍA DE REACCIONES QUÍMICAS II;0;3;2;5;4;Null
56;;VIII;ECONOMÍA DE LOS PROCESOS QUÍMICOS;0;4;0;4;4;Null
57;;VIII;TECNOLOGÍA DE ALIMENTOS;0;2;2;4;3;Null
58;;VIII;PETRÓLEO Y GAS NATURAL;0;2;2;4;3;Null
59;;VIII;PLANEAMIENTO Y CONTROL DE LA PRODUCCIÓN;0;2;2;4;3;Null
60;;VIII;INSTRUMENTACIÓN Y CONTROL DE PROCESOS;0;2;2;4;3;Null
61;;VIII;SISTEMA DE GESTIÓN DE RESIDUOS SÓLIDOS;0;2;2;4;3;Null
62;;VIII;PRINCIPIOS DE SEGURIDAD Y SALUD EN EL TRABAJO;0;2;2;4;3;Null
63;;IX;SIMULACIÓN DE PROCESOS QUÍMICOS;0;2;2;4;3;Null
64;;IX;TRANSFERENCIA DE MASA II;0;3;2;5;4;Null
65;;IX;MAQUINARIA INDUSTRIAL Y SELECCIÓN DE EQUIPOS;0;3;2;5;4;Null
66;;IX;INGENIERÍA DE ENERGÍAS RENOVABLES;0;2;2;4;3;Null
67;;IX;TESIS I;0;2;2;4;3;Null
68;;IX;INGENIERÍA DE ALIMENTOS;0;2;2;4;3;Null
69;;IX;BIOPROCESOS;0;2;2;4;3;Null
