CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
EG103;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
EG110;I;ESTADÍSTICA;00;3.0;2.0;5.0;4.0;NINGUNO
TEL201;I;INTRODUCCIÓN A LA INGENIERÍA DE TELECOMUNICACIONES;00;2.0;2.0;4.0;3.0;NINGUNO
EG107;II;EPISTEMOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
EG111;II;CÁLCULO DIFERENCIAL;00;3.0;2.0;5.0;4.0;EG103
EG112;II;FÍSICA I;00;3.0;2.0;5.0;4.0;NINGUNO
MAT202;II;GEOMETRÍA ANALÍTICA Y ÁLGEBRA LINEAL;00;4.0;2.0;6.0;5.0;NINGUNO
TEL203;II;ALGORITMOS Y PROGRAMACIÓN DE COMPUTADORAS;00;4.0;2.0;6.0;5.0;NINGUNO
TEL204;II;DISEÑO DE INGENIERÍA;00;2.0;2.0;4.0;3.0;TEL201
FIS205;III;FÍSICA II;00;3.0;2.0;5.0;4.0;EG112
TEL206;III;PROGRAMACIÓN ORIENTADA A OBJETOS;00;4.0;2.0;6.0;5.0;TEL203
TEL207;III;CÁLCULO APLICADO A LAS TELECOMUNICACIONES;00;3.0;2.0;5.0;4.0;EG111
TEL208;III;CIRCUITOS ELÉCTRICOS I;00;3.0;2.0;5.0;4.0;MAT202
TEL209;III;CIRCUITOS DIGITALES I;00;3.0;2.0;5.0;4.0;TEL204
TEL210;III;DISPOSITIVOS ELECTRÓNICOS;00;2.0;2.0;4.0;3.0;NINGUNO
EG119;IV;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
TEL211;IV;FÍSICA APLICADA A LAS TELECOMUNICACIONES;00;3.0;2.0;5.0;4.0;FIS205
TEL212;IV;PROGRAMACIÓN DE DISPOSITIVOS MÓVILES;00;4.0;2.0;6.0;5.0;TEL206
