N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
6;TOP201;I;INGENIERÍA GRAFICA;00;2.0;2.0;4.0;3.0;NINGUNO
7;TOP202;I;INTRODUCCIÓN A LA INGENIERÍA;00;2.0;2.0;4.0;3.0;NINGUNO
8;EG107;II;EPISTEMOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
9;EG110;II;ESTADÍSTICA;00;3.0;2.0;5.0;4.0;NINGUNO
10;EG112;II;FÍSICA I;00;3.0;2.0;5.0;4.0;NINGUNO
11;MAT203;II;MATEMÁTICA BÁSICA II;00;2.0;2.0;4.0;3.0;EG103
12;TOP204;II;GEOLOGÍA Y GEOMORFOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
13;TOP205;II;INFORMÁTICA PARA INGENIEROS;00;2.0;2.0;4.0;3.0;NINGUNO
14;TOP206;II;GEOMETRÍA DESCRIPTIVA;00;2.0;2.0;4.0;3.0;TOP201
15;EG111;III;CÁLCULO DIFERENCIAL;00;3.0;2.0;5.0;4.0;EG103
16;EG119;III;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
17;FIS208;III;FÍSICA II;00;3.0;2.0;5.0;4.0;EG112
18;HUM209;III;INGLÉS;00;2.0;2.0;4.0;3.0;NINGUNO
19;TOP207;III;TECNOLOGÍA DE MATERIALES;00;3.0;2.0;5.0;4.0;TOP204
20;TOP301;III;TOPOGRAFÍA I;00;3.0;4.0;7.0;5.0;TOP206
21;GEO214;IV;GEOTECNIA I;00;3.0;2.0;5.0;4.0;NINGUNO
22;MAT211;IV;CÁLCULO INTEGRAL;00;3.0;2.0;5.0;4.0;EG111
23;TOP210;IV;EVALUACIÓN DEL IMPACTO AMBIENTAL;00;2.0;2.0;4.0;3.0;NINGUNO
24;TOP212;IV;TRIGONOMETRÍA ESFÉRICA;00;3.0;2.0;5.0;4.0;NINGUNO
25;TOP213;IV;HIDROLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
26;TOP302;IV;TOPOGRAFÍA II;00;3.0;4.0;7.0;5.0;TOP301
27;GEO218;V;GEOTECNIA II;00;2.0;2.0;4.0;3.0;GEO214
28;MAT219;V;MÉTODOS NUMÉRICOS;00;2.0;2.0;4.0;3.0;MAT203
29;TOP215;V;CARTOGRAFÍA BÁSICA;00;2.0;2.0;4.0;3.0;NINGUNO
30;TOP216;V;HIDRÁULICA I;00;2.0;2.0;4.0;3.0;TOP213
31;TOP217;V;TECNOLOGÍA DE CONSTRUCCIONES I;00;2.0;2.0;4.0;3.0;TOP207
32;TOP303;V;GEODESIA GEOMÉTRICA;00;2.0;2.0;4.0;3.0;TOP212
33;TOP304;V;TOPOGRAFÍA MINERA;00;2.0;4.0;6.0;4.0;TOP302
34;TOP220;VI;HIDRÁULICA II;00;2.0;2.0;4.0;3.0;TOP216
35;TOP221;VI;TECNOLOGÍA DE CONSTRUCCIONES II;00;2.0;2.0;4.0;3.0;TOP217
36;TOP305;VI;FOTOGRAMETRÍA Y FOTOINTERPRETACIÓN;00;2.0;4.0;6.0;4.0;NINGUNO
37;TOP306;VI;HIDROGRAFÍA;00;2.0;4.0;6.0;4.0;NINGUNO
38;TOP307;VI;CARTOGRAFÍA TEMÁTICA;00;2.0;2.0;4.0;3.0;TOP215
39;TOP308;VI;TOPOGRAFÍA Y ABASTECIMIENTO DE AGUA – ALCANTARILLADO;00;2.0;4.0;6.0;4.0;TOP302
40;TOP222;VII;IRRIGACIONES E INGENIERÍA DE DRENAJE;00;2.0;2.0;4.0;3.0;TOP220
41;TOP223;VII;COSTOS Y PRESUPUESTOS;00;2.0;2.0;4.0;3.0;NINGUNO
42;TOP309;VII;TELEDETECCIÓN ESPACIAL;00;2.0;2.0;4.0;3.0;TOP305
43;TOP310;VII;SISTEMAS DE INFORMACIÓN GEOGRÁFICA I;00;2.0;2.0;4.0;3.0;TOP307
44;TOP311;VII;GEODESIA FÍSICA Y SATELITAL;00;2.0;2.0;4.0;3.0;TOP303
45;TOP312;VII;DISEÑO GEOMÉTRICO DE VÍAS;00;2.0;4.0;6.0;4.0;TOP308
46;TOP313;VII;GEOESTADÍSTICA;00;2.0;2.0;4.0;3.0;EG110
47;TOP224;VIII;EVALUACIÓN Y GESTIÓN DE RIESGOS DE DESASTRES;00;2.0;2.0;4.0;3.0;NINGUNO
48;TOP225;VIII;NUEVAS TECNOLOGÍAS EN LA INGENIERÍA TOPOGRÁFICA;00;1.0;2.0;3.0;2.0;NINGUNO
49;TOP314;VIII;CIENCIAS DE DATOS Y LENGUAJES DE PROGRAMACIÓN;00;1.0;2.0;3.0;2.0;NINGUNO
50;TOP315;VIII;SISTEMAS DE INFORMACIÓN GEOGRÁFICA II;00;2.0;2.0;4.0;3.0;TOP310
51;TOP316;VIII;PROCESAMIENTO DIGITAL DE IMÁGENES;00;2.0;2.0;4.0;3.0;TOP309
52;TOP317;VIII;CATASTRO RURAL Y URBANO;00;2.0;4.0;6.0;4.0;NINGUNO
53;TOP318;VIII;INGENIERÍA TOPOGRÁFICA EN OBRAS;00;2.0;4.0;6.0;4.0;TOP302
54;TOP226;IX;PERITAJES, TASACIONES Y VALUACIONES;00;2.0;2.0;4.0;3.0;NINGUNO
55;TOP227;IX;PROGRAMACIÓN Y VALORIZACIÓN EN OBRAS;00;2.0;4.0;6.0;4.0;NINGUNO
56;TOP228;IX;COSTOS Y TIEMPOS EN PROYECTOS VIALES;00;2.0;2.0;4.0;3.0;TOP223
57;TOP319;IX;ZONIFICACIÓN ECOLÓGICA Y ECONÓMICA;00;2.0;2.0;4.0;3.0;TOP315
58;TOP320;IX;DEMARCACIÓN Y LEGISLACIÓN TERRITORIAL;00;2.0;2.0;4.0;3.0;TOP315
59;TOP321;IX;TOPOGRAFÍA INDUSTRIAL;00;2.0;2.0;4.0;3.0;TOP318
60;TOP322;IX;TALLER DE INVESTIGACIÓN Y REDACCIÓN CIENTÍFICA I;00;2.0;2.0;4.0;3.0;EG110
61;TOP323;X;ORDENAMIENTO TERRITORIAL;00;2.0;2.0;4.0;3.0;TOP319
62;TOP324;X;AGRIMENSURA LEGAL;00;2.0;2.0;4.0;3.0;TOP317
63;TOP325;X;GERENCIA EN PROYECTOS DE INGENIERÍA;00;2.0;2.0;4.0;3.0;NINGUNO
