N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSION Y ARGUMENTACION;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ETICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;INGENIERÍA GRÁFICA;0;2;2;4;3;Null
7;;I;INTRODUCCION A LA INGENIERÍA;0;2;2;4;3;Null
8;;II;EPISTEMOLOGÍA;0;2;2;4;3;Null
9;;II;ESTADÍSTICA;0;3;2;5;4;Null
10;;II;FÍSICA I;0;3;2;5;4;Null
11;;II;MATEMÁTICA BÁSICA II;0;2;2;4;3;Null
12;;II;GEOLOGÍA Y GEOMORFOLOGÍA;0;2;2;4;3;Null
13;;II;INFORMÁTICA PARA INGENIEROS;0;2;2;4;3;Null
14;;II;GEOMETRÍA DESCRIPTIVA;0;2;2;4;3;Null
15;;III;CÁLCULO DIFERENCIAL;0;3;2;5;4;Null
16;;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
17;;III;TECNOLOGÍA DE MATERIALES;0;3;2;5;4;Null
18;;III;FÍSICA II;0;3;2;5;4;Null
19;;III;INGLES;0;2;2;4;3;Null
20;;III;TOPOGRAFÍA I;0;3;4;7;5;Null
21;;IV;EVALUACIÓN DEL IMPACTO AMBIENTAL;0;2;2;4;3;Null
22;;IV;CÁLCULO INTEGRAL;0;3;2;5;4;Null
23;;IV;TRIGONOMETRÍA ESFÉRICA;0;3;2;5;4;Null
24;;IV;HIDROLOGÍA;0;2;2;4;3;Null
25;;IV;GEOTECNIA I;0;3;2;5;4;Null
26;;IV;TOPOGRAFÍA II;0;3;4;7;5;Null
27;;V;CARTOGRAFÍA BÁSICA;0;2;2;4;3;Null
28;;V;HIDRAÚLICA I;0;2;2;4;3;Null
29;;V;TECNOLOGÍA DE CONSTRUCCIONES I;0;2;2;4;3;Null
30;;V;GEOTECNIA II;0;2;2;4;3;Null
31;;V;MÉTODOS NUMÉRICOS;0;2;2;4;3;Null
32;;V;GEODESIA GEOMÉTRICA;0;2;2;4;3;Null
33;;V;TOPOGRAFÍA MINERA;0;2;4;6;4;Null
34;;VI;HIDRÁULICA II;0;2;2;4;3;Null
35;;VI;TECNOLOGÍA DE CONSTRUCCIONES II;0;2;2;4;3;Null
36;;VI;FOTOGRAMETRÍA Y FOTOINTERPRETACION;0;2;4;6;4;Null
37;;VI;HIDROGRAFÍA;0;2;4;6;4;Null
38;;VI;CARTOGRAFÍA TEMÁTICA;0;2;2;4;3;Null
39;;VI;TOPOGRAFÍA Y ABASTECIMIENTO DE AGUA – ALCANTARILLADO;0;2;4;6;4;Null
40;;VII;IRRIGACIONES E INGENIERÍA DE DRENAJE;0;2;2;4;3;Null
41;;VII;COSTOS Y PRESUPUESTOS;0;2;2;4;3;Null
42;;VII;TELEDETECCION ESPACIAL;0;2;2;4;3;Null
43;;VII;SISTEMAS DE INFORMACIÓN GEOGRÁFICA I;0;2;2;4;3;Null
44;;VII;GEODESIA FÍSICA Y SATELITAL;0;2;2;4;3;Null
45;;VII;DISEÑO GEOMÉTRICO DE VIAS;0;2;4;6;4;Null
46;;VII;GEOESTADÍSTICA;0;2;2;4;3;Null
47;;VIII;EVALUACIÓN Y GESTIÓN DE RIESGOS DE DESASTRES;0;2;2;4;3;Null
48;;VIII;NUEVAS TECNOLOGÍAS EN LA INGENIERÍA TOPOGRÁFICA;0;1;2;3;2;Null
49;;VIII;CIENCIAS DE DATOS Y LENGUAJES DE PROGRAMACIÓN;0;1;2;3;2;Null
50;;VIII;SISTEMAS DE INFORMACIÓN GEOGRÁFICA II;0;2;2;4;3;Null
51;;VIII;PROCESAMIENTO DIGITAL DE IMÁGENES;0;2;2;4;3;Null
52;;VIII;CATASTRO RURAL Y URBANO;0;2;4;6;4;Null
53;;VIII;INGENIERÍA TOPOGRÁFICA EN OBRAS;0;2;4;6;4;Null
54;;IX;PERITAJES, TASACIONES Y VALUACIONES;0;2;2;4;3;Null
55;;IX;PROGRAMACION Y VALORIZACIÓN EN OBRAS;0;2;4;6;4;Null
56;;IX;COSTOS Y TIEMPOS EN PROYECTOS VIALES;0;2;2;4;3;Null
57;;IX;ZONIFICACIÓN ECOLÓGICA Y ECONÓMICA;0;2;2;4;3;Null
58;;IX;DEMARCACIÓN Y LEGISLACIÓN TERRITORIAL;0;2;2;4;3;Null
59;;IX;TOPOGRAFÍA INDUSTRIAL;0;2;2;4;3;Null
60;;IX;TALLER DE INVESTIGACIÓN Y REDACCIÓN CIENTÍFICA I;0;2;2;4;3;Null
61;;X;ORDENAMIENTO TERRITORIAL;0;2;2;4;3;Null
62;;X;AGRIMENSURA LEGAL;0;2;2;4;3;Null
63;;X;GERENCIA EN PROYECTOS DE INGENIERÍA;0;2;2;4;3;Null
64;;X;MANTENIMIENTO Y CONSERVACIÓN VIAL;0;2;2;4;3;Null
65;;X;TALLER DE INVESTIGACIÓN Y REDACCIÓN CIENTÍFICA II;0;2;2;4;3;Null
66;;X;PRÁCTICAS PRE PROFESIONALES;0;0;8;8;4;Null
67;;X;TRABAJO DE INVESTIGACIÓN;0;2;2;4;3;Null
