N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
6;MED201;I;ANATOMÍA I;00;3.0;4.0;7.0;5.0;NINGUNO
7;EG108;II;QUÍMICA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
8;EG110;II;ESTADÍSTICA;00;3.0;2.0;5.0;4.0;NINGUNO
9;EG116;II;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;00;2.0;2.0;4.0;3.0;NINGUNO
10;MED202;II;ANATOMÍA II;00;3.0;4.0;7.0;5.0;MED201
11;MED203;II;BIOLOGÍA CELULAR Y MOLECULAR;00;3.0;2.0;5.0;4.0;NINGUNO
12;MED204;II;BIOFÍSICA;00;2.0;2.0;4.0;3.0;NINGUNO
13;EG106;III;PRODUCCIÓN DE TEXTOS ACADÉMICOS;00;2.0;2.0;4.0;3.0;NINGUNO
14;MED205;III;FISIOLOGÍA I;00;4.0;4.0;8.0;6.0;MED202
15;MED206;III;HISTOLOGÍA HUMANA;00;4.0;4.0;8.0;6.0;MED203
16;MED207;III;BIOQUÍMICA;00;4.0;4.0;8.0;6.0;EG108
17;MED208;III;EMBRIOLOGÍA Y GENÉTICA;00;2.0;2.0;4.0;3.0;MED203
18;EG118;IV;IDENTIDAD Y DIVERSIDAD CULTURAL;00;2.0;2.0;4.0;3.0;NINGUNO
19;EG119;IV;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
20;HUM211;IV;INGLES TÉCNICO;00;2.0;2.0;4.0;3.0;NINGUNO
21;MED209;IV;FISIOLOGÍA II;00;4.0;4.0;8.0;6.0;MED205
22;MED210;IV;MICROBIOLOGÍA;00;3.0;4.0;7.0;5.0;MED203
23;MED212;IV;PARASITOLOGÍA;00;3.0;2.0;5.0;4.0;MED203
24;MED213;V;FISIOPATOLOGÍA;00;5.0;2.0;7.0;6.0;MED209
25;MED214;V;FARMACOLOGÍA;00;6.0;4.0;10.0;8.0;MED209
26;MED215;V;PRIMEROS AUXILIOS Y BIOSEGURIDAD;00;2.0;4.0;6.0;4.0;NINGUNO
27;MED216;V;PSICOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
28;MED217;V;INMUNOLOGÍA BÁSICA;00;2.0;2.0;4.0;3.0;MED210
29;MED218;VI;SEMIOLOGÍA;00;5.0;10.0;15.0;10.0;MED213, MED214
30;MED219;VI;PATOLOGÍA GENERAL;00;3.0;2.0;5.0;4.0;MED206
31;MED220;VI;LABORATORIO CLÍNICO;00;2.0;2.0;4.0;3.0;MED210
32;MED221;VI;METODOLOGÍA DE LA INVESTIGACIÓN;00;2.0;2.0;4.0;3.0;EG110
33;MED222;VI;PSICOPATOLOGÍA MÉDICA;00;3.0;2.0;5.0;4.0;MED216
34;MED223;VII;DIAGNÓSTICO POR IMÁGENES;00;3.0;2.0;5.0;4.0;MED218
35;MED301;VII;"CLÍNICA MÉDICA I:INFECTOLOGÍA,
INMUNORREUMATOLOGÍA, NEUMOLOGÍA, DERMATOLOGÍA ,
HEMATOLOGÍA-ONCOLOGÍA";00;10.0;10.0;20.0;15.0;MED218
36;MED302;VII;SALUD PÚBLICA I;00;3.0;4.0;7.0;5.0;NINGUNO
37;MED224;VIII;PATOLOGÍA ESPECIAL;00;3.0;2.0;5.0;4.0;MED219
38;MED303;VIII;"CLÍNICA MÉDICA II: CARDIOLOGÍA, GASTROENTEROLOGÍA,
ENDOCRINOLOGÍA Y METABOLISMO, NEUROLOGÍA,
NEFROLOGÍA";00;10.0;10.0;20.0;15.0;MED301
39;MED304;VIII;EPIDEMIOLOGÍA;00;3.0;2.0;5.0;4.0;EG110
40;MED305;IX;"CLÍNICA QUIRÚRGICA I: SEMIOLOGÍA QUIRÚRGICA,
TRATAMIENTO PRE-TRANS-POST OPERATORIO, TÉCNICA
QUIRÚRGICA ANESTESIOLOGÍA, PATOLOGÍA QUIRÚRGICA
DE SUPERFICIE, CIRUGÍA GENERAL";00;10.0;10.0;20.0;15.0;MED303
41;MED306;IX;NUTRICIÓN Y DIETOTERAPIA;00;2.0;2.0;4.0;3.0;MED303
42;MED307;IX;ÉTICA Y DEONTOLOGÍA MÉDICA;00;2.0;2.0;4.0;3.0;NINGUNO
43;MED308;IX;TESIS I;00;2.0;2.0;4.0;3.0;MED221
44;MED309;X;"CLÍNICA QUIRÚRGICA II: TRAUMATOLOGÍA Y ORTOPEDIA,
UROLOGÍA, OFTALMOLOGÍA OTORRINOLARINGOLOGÍA,
CIRUGÍA DE TÓRAX Y CARDIOVASCULAR, NEUROCIRUGÍA";00;10.0;10.0;20.0;15.0;MED305
45;MED310;X;PSIQUIATRÍA;00;3.0;2.0;5.0;4.0;MED222
46;MED311;X;SALUD PÚBLICA II;00;3.0;2.0;5.0;4.0;MED302
47;MED312;XI;CLÍNICA GINECOLÓGICA Y OBSTÉTRICA I;00;4.0;8.0;12.0;8.0;MED309
48;MED313;XI;CLÍNICA PEDIÁTRICA I;00;4.0;8.0;12.0;8.0;MED303
49;MED314;XI;EMERGENCIAS Y URGENCIAS MÉDICA;00;3.0;4.0;7.0;5.0;MED309
50;MED315;XI;TESIS II;00;2.0;2.0;4.0;3.0;MED308
51;MED316;XII;CLÍNICA GINECOLÓGICA Y OBSTÉTRICA II;00;4.0;8.0;12.0;8.0;MED312
52;MED317;XII;CLÍNICA PEDIÁTRICA II;00;4.0;8.0;12.0;8.0;MED313
53;MED318;XII;MEDICINA LEGAL Y PATOLOGÍA FORENSE;00;3.0;2.0;5.0;4.0;MED307
54;MED319;XII;SALUD PÚBLICA III;00;3.0;2.0;5.0;4.0;MED311
55;MED320;XIII;ROTACIÓN DE MEDICINA;00;0.0;20.0;20.0;10.0;283.00
56;MED321;XIII;ROTACIÓN DE CIRUGÍA;00;0.0;20.0;20.0;10.0;283.00
57;MED322;XIV;ROTACIÓN DE PEDIATRÍA;00;0.0;20.0;20.0;10.0;283.00
58;MED323;XIV;ROTACIÓN DE GINECOLOGÍA Y OBSTETRICIA;00;0.0;20.0;20.0;10.0;283.00
