N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;BIOLOGÍA GENERAL;0;3;2;5;4;Null
7;;I;TÓPICOS DE PRODUCCIÓN Y SALUD ANIMAL;0;1;2;3;2;Null
8;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null
9;;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;Null
10;;II;BIOLOGÍA MOLECULAR Y BIOTECNOLOGÍA;0;2;2;4;3;Null
11;;II;ANATOMÍA VETERINARIA I;0;3;2;5;4;Null
12;;II;REALIDAD NACIONAL Y POLÍTICAS AGRARIAS;0;1;2;3;2;Null
13;;II;HISTOLOGÍA VETERINARIA;0;3;2;5;4;Null
14;;II;BIOQUÍMICA;0;3;2;5;4;Null
15;;III;DESARROLLO PERSONAL;0;2;2;4;3;Null
16;;III;FISIOLOGÍA VETERINARIA I;0;3;2;5;4;Null
17;;III;ANATOMÍA VETERINARIA II;0;3;2;5;4;Null
18;;III;PARASITOLOGÍA VETERINARIA I;0;3;2;5;4;Null
19;;III;MICROBIOLOGÍA VETERINARIA I;0;3;2;5;4;Null
20;;III;BIOESTADÍSTICA DESCRIPTIVA;0;3;2;5;4;Null
21;;IV;EPISTEMOLOGÍA;0;2;2;4;3;Null
22;;IV;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null
23;;IV;FISIOLOGÍA VETERINARIA II;0;3;2;5;4;Null
24;;IV;PARASITOLOGÍA VETERINARIA II;0;3;2;5;4;Null
25;;IV;MICROBIOLOGÍA VETERINARIA II;0;3;2;5;4;Null
26;;IV;EMBRIOLOGÍA VETERINARIA;0;2;2;4;3;Null
27;;IV;BIOESTADÍSTICA EXPERIMENTAL;0;2;2;4;3;Null
28;;V;DIAGNÓSTICO CLÍNICO VETERINARIO I;0;2;2;4;3;Null
29;;V;PATOLOGÍA VETERINARIA GENERAL;0;3;2;5;4;Null
30;;V;TÓPICOS EN SALUD PÚBLICA;0;2;2;4;3;Null
31;;V;METODOLOGÍA DE LA INVESTIGACIÓN;0;3;0;3;3;Null
32;;V;ENFERMEDADES INFECCIOSAS;0;2;2;4;3;Null
33;;V;GENÉTICA;0;2;2;4;3;Null
34;;V;TECNOLOGÍA DE FIBRAS Y PIELES ANIMALES;0;2;2;4;3;Null
35;;V;PROYECTOS EMPRESARIALES I;0;1;2;3;2;Null
36;;VI;FARMACOLOGÍA Y TERAPÉUTICA VETERINARIA I;0;3;2;5;4;Null
37;;VI;PATOLOGÍA CLÍNICA;0;2;2;4;3;Null
38;;VI;DIAGNÓSTICO CLÍNICO VETERINARIO II;0;2;2;4;3;Null
39;;VI;NUTRICIÓN ANIMAL;0;3;2;5;4;Null
40;;VI;MARKETING;0;1;2;3;2;Null
41;;VI;ESTADÍSTICA NO PARAMÉTRICA;0;1;2;3;2;Null
42;;VI;MEJORAMIENTO GENÉTICO;0;2;2;4;3;Null
43;;VI;PLANES DE INOCUIDAD ALIMENTARIA;0;2;2;4;3;Null
44;;VII;PATOLOGÍA VETERINARIA ESPECIAL;0;3;2;5;4;Null
45;;VII;FARMACOLOGÍA Y TERAPÉUTICA VETERINARIA II;0;3;2;5;4;Null
46;;VII;INGLÉS TÉCNICO;0;2;0;2;2;Null
47;;VII;CIRUGÍA VETERINARIA I;0;1;4;5;3;Null
48;;VII;ALIMENTACIÓN ANIMAL;0;3;2;5;4;Null
49;;VII;PROCESAMIENTO DE PRODUCTOS CÁRNICOS;0;2;2;4;3;Null
50;;VII;PROYECTOS EMPRESARIALES II;0;2;2;4;3;Null
51;;VIII;CIRUGÍA VETERINARIA II;0;1;4;5;3;Null
52;;VIII;ENFERMEDADES PARASITARIAS;0;2;2;4;3;Null
53;;VIII;MEDICINA INTERNA I;0;3;2;5;4;Null
54;;VIII;REPRODUCCIÓN ANIMAL;0;2;2;4;3;Null
55;;VIII;PRODUCCIÓN DE CUYES Y CONEJOS;0;2;2;4;3;Null
56;;VIII;PRODUCCIÓN AVÍCOLA;0;2;2;4;3;Null
57;;VIII;PRACTICA PREPROFESIONAL I;0;1;4;5;3;Null
58;;VIII;ZOONOSIS Y ENFERMEDADES TRANSMISIBLES;0;1;2;3;2;Null
59;;VIII;TRUCHICULTURA;0;1;2;3;2;Null
60;;VIII;ANESTESIOLOGÍA;0;1;2;3;2;Null
61;;VIII;ANIMALES DE COMPAÑÍA;0;1;2;3;2;Null
62;;VIII;INMUNOLOGÍA;0;1;2;3;2;Null
63;;VIII;BROMATOLOGÍA;0;1;2;3;2;Null
64;;VIII;IMAGENOLOGÍA;0;1;2;3;2;Null
65;;VIII;ENFERMEDADES DE AVES;0;1;2;3;2;Null
66;;IX;PRODUCCIÓN Y MANEJO DE PASTOS Y FORRAJES;0;2;2;4;3;Null
67;;IX;BIOTECNOLOGÍA DE LA REPRODUCCIÓN ANIMAL;0;2;2;4;3;Null
68;;IX;PROCESAMIENTO DE PRODUCTOS LÁCTEOS;0;2;2;4;3;Null
69;;IX;MEDICINA INTERNA II;0;3;2;5;4;Null
70;;IX;PRACTICAS PREPROFESIONALES II;0;1;4;5;3;Null
