CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
EG101;I;Comprensión y Argumentación;00;3.0;2.0;5.0;4.0;NINGUNO
EG102;I;Pensamiento Racional y Ética;00;2.0;2.0;4.0;3.0;NINGUNO
EG103;I;Matemática Básica;00;3.0;2.0;5.0;4.0;NINGUNO
EG104;I;Taller de Innovación y Emprendimiento;00;2.0;2.0;4.0;3.0;NINGUNO
EG105;I;Ecología y Desarrollo Sostenible;00;2.0;2.0;4.0;3.0;NINGUNO
EG113;I;Biología General;00;3.0;2.0;5.0;4.0;NINGUNO
MVZ201;I;Tópicos de Producción y Salud Animal;00;1.0;2.0;3.0;2.0;NINGUNO
EG106;II;Producción de Textos Académicos;00;2.0;2.0;4.0;3.0;NINGUNO
EG114;II;Estrategias de Aprendizaje;00;2.0;2.0;4.0;3.0;NINGUNO
MVZ202;II;Biología Molecular y Biotecnología;00;2.0;2.0;4.0;3.0;EG113
MVZ203;II;Anatomía Veterinaria I;00;3.0;2.0;5.0;4.0;NINGUNO
MVZ204;II;Realidad Nacional y Políticas Agrarias;00;1.0;2.0;3.0;2.0;MVZ201
MVZ205;II;Histología Veterinaria;00;3.0;2.0;5.0;4.0;EG113
MVZ206;II;Bioquímica;00;3.0;2.0;5.0;4.0;NINGUNO
EG115;III;Desarrollo Personal;00;2.0;2.0;4.0;3.0;NINGUNO
MVZ207;III;Fisiología Veterinaria I;00;3.0;2.0;5.0;4.0;MVZ203
MVZ208;III;Anatomía Veterinaria II;00;3.0;2.0;5.0;4.0;MVZ203
MVZ209;III;Parasitología Veterinaria I;00;3.0;2.0;5.0;4.0;MVZ201
MVZ210;III;Microbiología Veterinaria I;00;3.0;2.0;5.0;4.0;MVZ201
MVZ211;III;Bioestadística Descriptiva;00;3.0;2.0;5.0;4.0;NINGUNO
EG107;IV;Epistemología;00;2.0;2.0;4.0;3.0;NINGUNO
EG118;IV;Identidad y Diversidad Cultural;00;2.0;2.0;4.0;3.0;NINGUNO
MVZ212;IV;Fisiología Veterinaria II;00;3.0;2.0;5.0;4.0;MVZ207
MVZ213;IV;Parasitología Veterinaria II;00;3.0;2.0;5.0;4.0;MVZ209
MVZ214;IV;Microbiología Veterinaria II;00;3.0;2.0;5.0;4.0;MVZ210
MVZ215;IV;Embriología Veterinaria;00;2.0;2.0;4.0;3.0;MVZ205
MVZ216;IV;Bioestadística Experimental;00;2.0;2.0;4.0;3.0;MVZ211
