CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
EG103;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
HUM201;I;INGLÉS TÉCNICO;00;1.0;2.0;3.0;2.0;NINGUNO
NUT202;I;FUNDAMENTOS DE ALIMENTACIÓN Y NUTRICIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
EG107;II;EPISTEMOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
EG108;II;QUÍMICA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
EG110;II;ESTADÍSTICA;00;3.0;2.0;5.0;4.0;NINGUNO
EG113;II;BIOLOGÍA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
MED204;II;ANATOMÍA HUMANA;00;3.0;2.0;5.0;4.0;NINGUNO
NUT203;II;BIOQUÍMICA;00;4.0;2.0;6.0;5.0;NINGUNO
MVZ207;III;PARASITOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
NUT205;III;BIOQUÍMICA NUTRICIONAL I;00;3.0;2.0;5.0;4.0;NUT203
NUT206;III;FISIOLOGÍA DE LA NUTRICIÓN I;00;3.0;2.0;5.0;4.0;MED204
NUT208;III;LABORATORIO DE TÉCNICA DIETÉTICA;00;3.0;2.0;5.0;4.0;NINGUNO
NUT209;III;MICROBIOLOGÍA GENERAL Y DE LOS ALIMENTOS;00;3.0;2.0;5.0;4.0;NINGUNO
NUT210;III;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;00;4.0;2.0;6.0;5.0;NINGUNO
EG118;IV;IDENTIDAD Y DIVERSIDAD CULTURAL;00;2.0;2.0;4.0;3.0;NINGUNO
NUT211;IV;BIOQUÍMICA NUTRICIONAL II;00;3.0;2.0;5.0;4.0;NUT205
NUT212;IV;FISIOLOGÍA DE LA NUTRICIÓN II;00;3.0;2.0;5.0;4.0;NUT206
