N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ETICA;0;2;2;4;3;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;0;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
6;ODO201;I;ANATOMÍA HUMANA;0;2;4;6;4;NINGUNO
7;ODO202;I;EMBRIOLOGÍA GENERAL Y ESTOMATOLÓGICA;0;2;2;4;3;NINGUNO
8;EG106;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;NINGUNO
9;EG108;II;QUÍMICA GENERAL;0;3;2;5;4;NINGUNO
10;EG109;II;FÍSICA GENERAL;0;3;2;5;4;NINGUNO
11;EG113;II;BIOLOGÍA GENERAL;0;3;2;5;4;NINGUNO
12;EG114;II;ESTRATEGÍAS DE APRENDIZAJE;0;2;2;4;3;NINGUNO
13;ODO203;II;ANATOMÍA DE CABEZA Y CUELLO;0;2;4;6;4;ODO201
14;ODO204;II;HISTOLOGÍA GENERAL Y ESTOMATOLÓGICA;0;1;2;3;2;ODO202
15;BMIC210;III;BIOQUÍMICA;0;2;2;4;3;EG108
16;EG107;III;EPISTEMOLOGÍA;0;2;2;4;3;NINGUNO
17;ODO205;III;ANATOMÍA DENTAL;0;3;4;7;5;ODO203
18;ODO206;III;FISIOLOGÍA GENERAL Y ESTOMATOLÓGICA;0;2;2;4;3;"ODO203,
ODO204"
19;ODO207;III;MICROBIOLOGÍA GENERAL Y ESTOMATOLÓGICA;0;2;2;4;3;"EG113,
ODO204"
20;ODO208;III;BIOFÍSICA;0;1;2;3;2;EG113
21;ODO209;III;BIOMATERIALES DENTALES;0;3;4;7;5;EG108
22;ODO211;IV;OCLUSIÓN;0;3;2;5;4;"ODO205,
ODO209"
23;ODO212;IV;PATOLOGÍA GENERAL;0;2;2;4;3;"ODO206,
ODO207"
24;ODO213;IV;FARMACOLOGÍA GENERAL;0;2;2;4;3;"ODO207,
BMIC210"
25;ODO214;IV;PATOLOGÍA ESTOMATOLÓGICA;0;3;2;5;4;ODO207
26;ODO215;IV;BIOSEGURIDAD Y ERGONOMÍA;0;3;2;5;4;NINGUNO
27;ODO301;IV;LABORATORIO CLÍNICO;0;1;2;3;2;"ODO206,
ODO207"
28;ODO302;IV;IMAGENOLOGÍA ESTOMATOLÓGICA;0;2;4;6;4;ODO203
29;HUM218;V;PSICOLOGÍA CLÍNICA;0;1;2;3;2;NINGUNO
30;ODO216;V;SEMIOLOGÍA GENERAL Y ESTOMATOLÓGICA;0;4;4;8;6;"ODO206,
ODO212"
31;ODO217;V;FISIOPATOLOGÍA;0;2;2;4;3;"ODO205,
ODO206"
32;ODO303;V;FARMACOLOGÍA ESTOMATOLÓGICA;0;3;2;5;4;ODO213
33;ODO304;V;ANESTESIOLOGIA ESTOMATOLÓGICA;0;2;2;4;3;"ODO213,
ODO215"
34;ODO305;V;EMERGENCIAS EN ESTOMATOLOGÍA;0;2;2;4;3;"ODO213,
ODO215"
35;ODO306;V;FISIOPATOLOGÍA DE LA OCLUSIÓN;0;2;2;4;3;ODO211
36;ODO219;VI;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;0;1;2;3;2;EG106
37;ODO220;VI;GLOBALIZACIÓN Y POLÍTICAS PÚBLICAS EN SALUD;0;1;2;3;2;NINGUNO
38;ODO307;VI;MEDICINA ESTOMATOLÓGICA;0;2;4;6;4;ODO216
39;ODO308;VI;PERIODONTOLOGÍA E IMPLANTOLOGÍA;0;2;4;6;4;"ODO304,
ODO305"
40;ODO309;VI;CIRUGÍA BUCAL I;0;2;4;6;4;"ODO304,
ODO305"
41;ODO310;VI;ODONTOLOGÍA RESTAURADORA;0;2;4;6;4;"ODO304,
ODO305"
42;ODO311;VI;ENDODONCIA;0;2;4;6;4;"ODO304,
ODO305"
43;ODO221;VII;SALUD PÚBLICA Y EPIDEMIOLÓGICA;0;2;2;4;3;ODO220
44;ODO312;VII;PRÓTESIS PARCIAL REMOVIBLE;0;2;4;6;4;ODO211
45;ODO313;VII;PRÓTESIS DENTAL FIJA;0;2;4;6;4;"ODO310,
ODO311"
46;ODO314;VII;CIRUGÍA BUCAL II;0;2;4;6;4;ODO309
47;ODO315;VII;CLÍNICA ADULTO I;0;3;12;15;9;"ODO310,
ODO311"
48;ODO222;VIII;PROYECTO DE INVESTIGACIÓN;0;2;4;6;4;ODO219
49;ODO316;VIII;PRÓTESIS TOTAL REMOVIBLE;0;2;2;4;3;ODO312
50;ODO317;VIII;ORTODONCIA Y ORTOPEDIA MAXILAR;0;2;2;4;3;ODO211
51;ODO318;VIII;ODONTOPEDIATRÍA;0;2;4;6;4;"ODO310,
ODO311"
52;ODO319;VIII;ODONTOLOGÍA PREVENTIVA Y COMUNITARIA;0;2;2;4;3;ODO220
53;ODO320;VIII;CLÍNICA ADULTO II;0;2;10;12;7;ODO315
54;HUM225;IX;INGLÉS TÉCNICO;0;2;2;4;3;NINGUNO
55;ODO223;IX;BIOESTADÍSTICA;0;1;2;3;2;ODO222
56;ODO224;IX;GERENCIA Y GESTIÓN EN SERVICIOS DE SALUD;0;1;2;3;2;ODO319
