N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSION Y ARGUMENTACION;00;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ETICA;00;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMATICA BASICA;00;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
6;EG107;I;EPISTEMOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
7;PS201;I;PSICOLOGÍA GENERAL;00;2.0;2.0;4.0;3.0;NINGUNO
8;EG114;II;ESTRATEGIAS DE APRENDIZAJE;00;2.0;2.0;4.0;3.0;NINGUNO
9;EG118;II;GEOHISTORIA REGIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
10;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
11;PS202;II;NEUROANATOMIA FUNCIONAL;00;2.0;4.0;6.0;4.0;NINGUNO
12;PS203;II;ESCUELAS PSICOLÓGICAS CONTEMPORÁNEAS;00;2.0;2.0;4.0;3.0;NINGUNO
13;PS204;II;PSICOLOGIA DEL APRENDIZAJE;00;2.0;2.0;4.0;3.0;NINGUNO
14;PS301;II;PSICOLOGÍA DEL DEPORTE Y DE LA ACTIVIDAD FÍSICA;00;2.0;2.0;4.0;3.0;NINGUNO
15;EG106;III;PRODUCCIÓN DE TEXTOS ACADÉMIOS;00;2.0;2.0;4.0;3.0;NINGUNO
16;EG115;III;DESARROLLO PERSONAL;00;2.0;2.0;4.0;3.0;NINGUNO
17;PS205;III;PSICOLOGÍA DEL DESARROLLO I;00;3.0;2.0;5.0;4.0;NINGUNO
18;PS206;III;PSICOLOGÍA COGNITIVA;00;2.0;2.0;4.0;3.0;NINGUNO
19;PS207;III;PSICOPEDAGOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
20;PS208;III;NEUROPSICOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
21;PS302;III;PSICOLOGÍA SOCIAL;00;2.0;2.0;4.0;3.0;NINGUNO
22;PS209;IV;INGLES;00;2.0;2.0;4.0;3.0;NINGUNO
23;PS2010;IV;PSICOLOGÍA DEL DESARROLLO II;00;2.0;2.0;4.0;3.0;NINGUNO
24;PS211;IV;PSICOLOGÍA ANDRAGÓGICA Y GERONTOLÓGICA;00;2.0;2.0;4.0;3.0;NINGUNO
25;PS212;IV;PSICOPATOLOGÍA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
26;PS213;IV;PROBLEMAS DE APRENDIZAJE Y EDUCACIÓN ESPECIAL;00;2.0;2.0;4.0;3.0;NINGUNO
27;PS303;IV;PSICOLOGÍA EDUCATIVA;00;3.0;2.0;5.0;4.0;NINGUNO
28;PS304;IV;PSICOLOGÍA DE EMERGENCIAS Y DESASTRES;00;2.0;2.0;4.0;3.0;NINGUNO
29;PS214;V;ENTREVISTA E INFORME PSICOLÓGICO;00;2.0;2.0;4.0;3.0;NINGUNO
30;PS215;V;PSICOLOGIA DE LAS ADICCIONES;00;2.0;2.0;4.0;3.0;NINGUNO
31;PS216;V;PSICOLOGÍA EXPERIMENTAL;00;2.0;2.0;4.0;3.0;NINGUNO
32;PS217;V;PRUEBAS PSICOMÉTRICAS;00;3.0;2.0;5.0;4.0;NINGUNO
33;PS218;V;PSICOLOGÍA DE LA MOTIVACIÓN Y AFECTIVIDAD;00;2.0;2.0;4.0;3.0;NINGUNO
34;PS219;V;NEUROCIENCIAS;00;2.0;2.0;4.0;3.0;NINGUNO
35;PS305;V;PSICOLOGÍA ORGANIZACIONAL;00;3.0;2.0;5.0;4.0;NINGUNO
