N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;0;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
6;HUM201;I;INGLÉS BÁSICO;0;4;2;6;5;NINGUNO
7;EG106;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;NINGUNO
8;EG114;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;NINGUNO
9;EG115;II;DESARROLLO PERSONAL;0;2;2;4;3;NINGUNO
10;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
11;SOC202;II;REGIÓN Y NACIÓN EN EL PERÚ MODERNO;0;4;2;6;5;NINGUNO
12;SOC203;II;MUNDO MODERNO;0;4;2;6;5;NINGUNO
13;EG107;III;EPISTEMOLOGÍA;0;2;2;4;3;NINGUNO
14;EG110;III;ESTADÍSTICA;0;3;2;5;4;NINGUNO
15;SOC204;III;PERÚ CONTEMPORÁNEO;0;4;2;6;5;NINGUNO
16;SOC205;III;MUNDO CONTEMPORÁNEO;0;4;2;6;5;NINGUNO
17;SOC206;III;PENSAMIENTO SOCIAL;0;2;2;4;3;NINGUNO
18;SOC207;III;GESTIÓN DE LA INFORMACIÓN;0;3;2;5;4;NINGUNO
19;EST208;IV;ESTADÍSTICA SOCIAL;0;4;2;6;5;EG110
20;SOC209;IV;INVESTIGACIÓN SOCIAL CUALITATIVA I;0;4;2;6;5;NINGUNO
21;SOC210;IV;TEORÍA SOCIOLÓGICA CLÁSICA;0;4;2;6;5;NINGUNO
22;SOC211;IV;ANÁLISIS SOCIOLÓGICO DEMOGRÁFICO;0;2;2;4;3;NINGUNO
23;SOC212;IV;ANÁLISIS SOCIOLÓGICO DEL TRABAJO Y DE LA EMPRESA;0;2;2;4;3;NINGUNO
24;SOC213;IV;ANÁLISIS SOCIOLÓGICO DE CULTURA Y SOCIEDAD;0;2;2;4;3;NINGUNO
25;SOC214;V;INVESTIGACIÓN SOCIAL CUANTITATIVA I;0;4;2;6;5;NINGUNO
26;SOC215;V;TEORÍA SOCIOLÓGICA MODERNA;0;4;2;6;5;SOC210
27;SOC216;V;ANÁLISIS SOCIOLÓGICO URBANO;0;2;2;4;3;NINGUNO
28;SOC217;V;ANÁLISIS SOCIOLÓGICO DE LAS ORGANIZACIONES E INSTITUCIONES;0;4;2;6;5;NINGUNO
29;SOC218;V;ANÁLISIS SOCIOLÓGICO POLÍTICO;0;2;2;4;3;NINGUNO
30;SOC219;V;ANÁLISIS SOCIOLÓGICO AGRARIO;0;2;2;4;3;NINGUNO
31;SOC220;VI;INVESTIGACIÓN SOCIAL CUALITATIVA II;0;4;2;6;5;SOC209
32;SOC221;VI;TEORÍA SOCIOLÓGICA CONTEMPORÁNEA;0;4;2;6;5;SOC210
33;SOC222;VI;PROCESOS Y PROPUESTAS URBANA;0;2;2;4;3;NINGUNO
34;SOC223;VI;PROCESOS DE INTERCULTURALIDAD Y SOCIEDAD;0;4;2;6;5;NINGUNO
35;SOC224;VI;PROCESOS Y PROPUESTAS POLÍTICAS;0;2;2;4;3;NINGUNO
36;SOC225;VI;PROCESOS Y PROPUESTAS RURALES;0;2;2;4;3;NINGUNO
37;ECO301;VII;FUNDAMENTOS DE MACRO Y MICRO ECONOMÍA;0;4;2;6;5;NINGUNO
38;SOC226;VII;INVESTIGACIÓN SOCIAL CUANTITATIVA II;0;4;2;6;5;SOC214
39;SOC227;VII;TEORÍA SOCIOLÓGICA LATINOAMERICANA;0;4;2;6;5;NINGUNO
40;SOC302;VII;POLÍTICAS PÚBLICAS SOCIALES;0;2;2;4;3;NINGUNO
41;SOC303;VII;GERENCIA SOCIAL;0;2;2;4;3;NINGUNO
42;SOC304;VII;MODERNIZACIÓN DE LA GESTIÓN PÚBLICA;0;2;2;4;3;NINGUNO
43;SOC228;VIII;TALLER DE FORMULACIÓN DEL PROYECTO DE TESIS;0;4;2;6;5;NINGUNO
44;SOC229;VIII;TEMAS DE SOCIOLOGÍA ACTUAL;0;4;2;6;5;NINGUNO
45;SOC305;VIII;CONFLICTOS SOCIALES Y NEGOCIACIÓN;0;4;2;6;5;NINGUNO
46;SOC306;VIII;DIAGNÓSTICO Y ESTUDIOS DE LÍNEA DE BASE;0;2;2;4;3;NINGUNO
