N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
3;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
4;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
5;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
6;;I;INGLES BÁSICO;0;4;2;6;5;Null
7;;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;Null
8;;II;DESARROLLO PERSONAL;0;2;2;4;3;Null
9;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null
10;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
11;;II;REGIÓN Y NACIÓN EN EL PERÚ MODERNO;0;4;2;6;5;Null
12;;II;MUNDO MODERNO;0;4;2;6;5;Null
13;;III;EPISTEMOLOGÍA;0;2;2;4;3;Null
14;;III;ESTADÍSTICA;0;3;2;5;4;Null
15;;III;PERÚ CONTEMPORÁNEO;0;4;2;6;5;Null
16;;III;MUNDO CONTEMPORÁNEO;0;4;2;6;5;Null
17;;III;PENSAMIENTO SOCIAL;0;2;2;4;3;Null
18;;III;GESTIÓN DE LA INFORMACIÓN;0;3;2;5;4;Null
19;;IV;ESTADÍSTICA SOCIAL;0;4;2;6;5;Null
20;;IV;INVESTIGACIÓN SOCIAL CUALITATIVA I;0;4;2;6;5;Null
21;;IV;TEORÍA SOCIOLÓGICA CLÁSICA;0;4;2;6;5;Null
22;;IV;ANÁLISIS SOCIOLÓGICO DEMOGRÁFICO;0;2;2;4;3;Null
23;;IV;ANÁLISIS SOCIOLÓGICO DEL TRABAJO Y DE LA EMPRESA;0;2;2;4;3;Null
24;;IV;ANÁLISIS SOCIOLÓGICO DE CULTURA Y SOCIEDAD;0;2;2;4;3;Null
25;;V;INVESTIGACIÓN SOCIAL CUANTITATIVA I;0;4;2;6;5;Null
26;;V;TEORÍA SOCIOLÓGICA MODERNA;0;4;2;6;5;Null
27;;V;ANÁLISIS SOCIOLÓGICO URBANO;0;2;2;4;3;Null
28;;V;ANÁLISIS SOCIOLÓGICO DE LAS ORGANIZACIONES E INSTITUCIONES;0;4;2;6;5;Null
29;;V;ANÁLISIS SOCIOLÓGICO POLÍTICO;0;2;2;4;3;Null
30;;V;ANÁLISIS SOCIOLÓGICO AGRARIO;0;2;2;4;3;Null
31;;VI;INVESTIGACIÓN SOCIAL CUALITATIVA II;0;4;2;6;5;Null
32;;VI;TEORÍA SOCIOLÓGICA CONTEMPORÁNEA;0;4;2;6;5;Null
33;;VI;PROCESOS Y PROPUESTAS URBANA;0;2;2;4;3;Null
34;;VI;PROCESOS DE INTERCULTURALIDAD Y SOCIEDAD;0;4;2;6;5;Null
35;;VI;PROCESOS Y PROPUESTAS POLÍTICAS;0;2;2;4;3;Null
36;;VI;PROCESOS Y PROPUESTAS RURALES;0;2;2;4;3;Null
37;;VII;INVESTIGACIÓN SOCIAL CUANTITATIVA II;0;4;2;6;5;Null
38;;VII;TEORÍA SOCIOLÓGICA LATINOAMERICANA;0;4;2;6;5;Null
39;;VII;FUNDAMENTOS DE MACRO Y MICRO ECONOMÍA;0;4;2;6;5;Null
40;;VII;POLÍTICAS PÚBLICAS SOCIALES;0;2;2;4;3;Null
41;;VII;GERENCIA SOCIAL;0;2;2;4;3;Null
42;;VII;MODERNIZACIÓN DE LA GESTIÓN PÚBLICA;0;2;2;4;3;Null
43;;VIII;TALLER DE FORMULACIÓN DEL PROYECTO DE TESIS;0;4;2;6;5;Null
44;;VIII;TEMAS DE SOCIOLOGÍA ACTUAL;0;4;2;6;5;Null
45;;VIII;CONFLICTOS SOCIALES Y NEGOCIACIÓN;0;4;2;6;5;Null
46;;VIII;DIAGNÓSTICO Y ESTUDIOS DE LÍNEA DE BASE;0;2;2;4;3;Null
47;;VIII;PLANEAMIENTO Y GESTIÓN ESTRATÉGICA;0;2;2;4;3;Null
48;;VIII;GESTIÓN PÚBLICA Y GOBIERNO LOCAL;0;2;2;4;3;Null
49;;IX;TALLER DE EJECUCIÓN DEL PROYECTO DE TESIS;0;4;2;6;5;Null
50;;IX;PROGRAMAS Y PROYECTOS SOCIALES;0;4;2;6;5;Null
51;;IX;ESTRATEGIAS Y TÉCNICAS EN RESOLUCIÓN DE CONFLICTOS;0;2;2;4;3;Null
52;;IX;GESTIÓN DE GRUPOS DE INTERÉS Y MERCADEO SOCIAL;0;4;2;6;5;Null
53;;IX;METODOLOGÍAS PARTICIPATIVAS Y HABILIDADES BLANDAS;0;2;2;4;3;Null
54;;IX;DERECHOS HUMANOS, DISCRIMINACIÓN Y GENERO;0;2;2;4;3;Null
55;;X;TALLER DE ELABORACIÓN DEL INFORME DE TESIS;0;4;2;6;5;Null
56;;X;GESTIÓN AMBIENTAL, GOBERNANZA Y DESARROLLO;0;4;2;6;5;Null
57;;X;INTERVENCIÓN EN CONFLICTOS Y RELACIONES COMUNITARIAS;0;4;2;6;5;Null
58;;X;MEDICIÓN DE POBREZA Y FOCALIZACIÓN;0;2;2;4;3;Null
59;;X;PRACTICAS PRE PROFESIONALES;0;2;2;4;3;Null
60;;X;INTERCULTURALIDAD Y POBLACIONES ORIGINARIAS;0;2;2;4;3;Null
61;;X;TRABAJO DE INVESTIGACIÓN;0;0;0;0;0;Null
